1747351457 LOGGER STARTED
Sample #17, Timestamp: 1747351478, CPU_Temperature: 60°C, cpu0: 3642667kHz, cpu1: 3640620kHz, cpu10: 3642273kHz, cpu11: 3642686kHz, cpu2: 3642682kHz, cpu3: 3641439kHz, cpu4: 3647754kHz, cpu5: 3642677kHz, cpu6: 3640985kHz, cpu7: 3642682kHz, cpu8: 3639087kHz, cpu9: 3642528kHz, 
Sample #18, Timestamp: 1747351480, CPU_Temperature: 60°C, cpu0: 3650533kHz, cpu1: 3642692kHz, cpu10: 3641857kHz, cpu11: 3645155kHz, cpu2: 3642691kHz, cpu3: 3641851kHz, cpu4: 3642128kHz, cpu5: 3642405kHz, cpu6: 3642677kHz, cpu7: 3642693kHz, cpu8: 3649444kHz, cpu9: 3642638kHz, 
Sample #19, Timestamp: 1747351481, CPU_Temperature: 60°C, cpu0: 3642682kHz, cpu1: 3652613kHz, cpu10: 3646312kHz, cpu11: 3642555kHz, cpu2: 3642667kHz, cpu3: 3641980kHz, cpu4: 3642487kHz, cpu5: 3642684kHz, cpu6: 3642670kHz, cpu7: 3642676kHz, cpu8: 3642688kHz, cpu9: 3642005kHz, 
Sample #20, Timestamp: 1747351483, CPU_Temperature: 60°C, cpu0: 3642679kHz, cpu1: 3642680kHz, cpu10: 3641736kHz, cpu11: 3642671kHz, cpu2: 3642679kHz, cpu3: 3642701kHz, cpu4: 3642679kHz, cpu5: 3642676kHz, cpu6: 3642682kHz, cpu7: 3642668kHz, cpu8: 3642669kHz, cpu9: 3641534kHz, 
Sample #21, Timestamp: 1747351485, CPU_Temperature: 61°C, cpu0: 3642682kHz, cpu1: 3642679kHz, cpu10: 3642254kHz, cpu11: 3642691kHz, cpu2: 3642689kHz, cpu3: 3641756kHz, cpu4: 3650060kHz, cpu5: 3642682kHz, cpu6: 3642687kHz, cpu7: 3642702kHz, cpu8: 3642675kHz, cpu9: 3642679kHz, 
Sample #22, Timestamp: 1747351486, CPU_Temperature: 61°C, cpu0: 3642680kHz, cpu1: 3642686kHz, cpu10: 3641729kHz, cpu11: 3642689kHz, cpu2: 3642682kHz, cpu3: 3642678kHz, cpu4: 3642120kHz, cpu5: 3642683kHz, cpu6: 3642687kHz, cpu7: 3642682kHz, cpu8: 3642679kHz, cpu9: 3642312kHz, 
Sample #23, Timestamp: 1747351488, CPU_Temperature: 61°C, cpu0: 3642682kHz, cpu1: 3642684kHz, cpu10: 3640971kHz, cpu11: 3642680kHz, cpu2: 3642681kHz, cpu3: 3642109kHz, cpu4: 3641914kHz, cpu5: 3642679kHz, cpu6: 3642682kHz, cpu7: 3642702kHz, cpu8: 3642684kHz, cpu9: 3642532kHz, 
Sample #24, Timestamp: 1747351490, CPU_Temperature: 61°C, cpu0: 3642679kHz, cpu1: 3642680kHz, cpu10: 3642440kHz, cpu11: 3642347kHz, cpu2: 3642678kHz, cpu3: 3641874kHz, cpu4: 3642655kHz, cpu5: 3642686kHz, cpu6: 3642671kHz, cpu7: 3642671kHz, cpu8: 3642694kHz, cpu9: 3642676kHz, 
Sample #25, Timestamp: 1747351491, CPU_Temperature: 61°C, cpu0: 3642699kHz, cpu1: 3642694kHz, cpu10: 3641119kHz, cpu11: 3642687kHz, cpu2: 3642716kHz, cpu3: 3642059kHz, cpu4: 3642685kHz, cpu5: 3646905kHz, cpu6: 3642682kHz, cpu7: 3642682kHz, cpu8: 3642677kHz, cpu9: 3642007kHz, 
Sample #26, Timestamp: 1747351493, CPU_Temperature: 61°C, cpu0: 3642685kHz, cpu1: 3642681kHz, cpu10: 3642564kHz, cpu11: 3642607kHz, cpu2: 3642685kHz, cpu3: 3642351kHz, cpu4: 3641969kHz, cpu5: 3642673kHz, cpu6: 3642685kHz, cpu7: 3642665kHz, cpu8: 3642688kHz, cpu9: 3642204kHz, 
Sample #27, Timestamp: 1747351494, CPU_Temperature: 61°C, cpu0: 3642684kHz, cpu1: 3642679kHz, cpu10: 3641613kHz, cpu11: 3642192kHz, cpu2: 3642683kHz, cpu3: 3642412kHz, cpu4: 3641180kHz, cpu5: 3642534kHz, cpu6: 3642689kHz, cpu7: 3642684kHz, cpu8: 3642678kHz, cpu9: 3641676kHz, 
