Current logical CPUs: 16
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.1.0-34-amd64 (localhost) 	05/15/25 	_x86_64_	(16 CPU)

23:35:45      UID      TGID       TID   cswch/s nvcswch/s  Command
23:35:46        0        15         -     21.78      0.00  rcu_preempt
23:35:46        0         -        15     21.78      0.00  |__rcu_preempt
23:35:46        0        26         -      1.98      0.00  ksoftirqd/2
23:35:46        0         -        26      1.98      0.00  |__ksoftirqd/2
23:35:46        0        27         -      4.95      0.00  kworker/2:0-events
23:35:46        0         -        27      4.95      0.00  |__kworker/2:0-events
23:35:46        0        99         -      5.94      0.00  kworker/u32:5-kec
23:35:46        0         -        99      5.94      0.00  |__kworker/u32:5-kec
23:35:46        0       116         -      1.98      0.00  kcompactd0
23:35:46        0         -       116      1.98      0.00  |__kcompactd0
23:35:46        0       128         -      0.99      0.00  kworker/7:1-mm_percpu_wq
23:35:46        0         -       128      0.99      0.00  |__kworker/7:1-mm_percpu_wq
23:35:46        0       136         -      0.99      0.00  kworker/15:1-events
23:35:46        0         -       136      0.99      0.00  |__kworker/15:1-events
23:35:46        0       218         -      8.91      0.00  kworker/4:2-events
23:35:46        0         -       218      8.91      0.00  |__kworker/4:2-events
23:35:46        0       293         -      2.97      0.00  kworker/6:2-events_power_efficient
23:35:46        0         -       293      2.97      0.00  |__kworker/6:2-events_power_efficient
23:35:46        0       417         -      0.99      0.00  kworker/10:2-mm_percpu_wq
23:35:46        0         -       417      0.99      0.00  |__kworker/10:2-mm_percpu_wq
23:35:46        0       422         -      1.98      0.00  kworker/0:3-events
23:35:46        0         -       422      1.98      0.00  |__kworker/0:3-events
23:35:46        0       424         -      0.99      0.00  kworker/9:2-mm_percpu_wq
23:35:46        0         -       424      0.99      0.00  |__kworker/9:2-mm_percpu_wq
23:35:46        0       427         -      9.90      0.00  kworker/1:2-events
