1747348235 LOGGER STARTED
Sample #1, Timestamp: 1747348235, CPU_Temperature: 49°C, cpu0: 1550000kHz, cpu1: 1550000kHz, cpu10: 1550000kHz, cpu11: 3888210kHz, cpu2: 1550000kHz, cpu3: 3490577kHz, cpu4: 3881695kHz, cpu5: 3833959kHz, cpu6: 2561455kHz, cpu7: 3841876kHz, cpu8: 1536873kHz, cpu9: 3836486kHz, 
Sample #2, Timestamp: 1747348235, CPU_Temperature: 49°C, cpu0: 3667628kHz, cpu1: 3642653kHz, cpu10: 3644728kHz, cpu11: 3642982kHz, cpu2: 3642666kHz, cpu3: 3641004kHz, cpu4: 3642654kHz, cpu5: 3642666kHz, cpu6: 3654480kHz, cpu7: 3642671kHz, cpu8: 3642654kHz, cpu9: 3652526kHz, 
Sample #3, Timestamp: 1747348240, CPU_Temperature: 60°C, cpu0: 3642671kHz, cpu1: 3642669kHz, cpu10: 3642639kHz, cpu11: 3642662kHz, cpu2: 3642673kHz, cpu3: 3642668kHz, cpu4: 3642633kHz, cpu5: 3642664kHz, cpu6: 3642667kHz, cpu7: 3642667kHz, cpu8: 3642665kHz, cpu9: 3642187kHz, 
Sample #4, Timestamp: 1747348246, CPU_Temperature: 61°C, cpu0: 3642663kHz, cpu1: 3642661kHz, cpu10: 3642455kHz, cpu11: 3642667kHz, cpu2: 3642659kHz, cpu3: 3642666kHz, cpu4: 3642565kHz, cpu5: 3642670kHz, cpu6: 3642668kHz, cpu7: 3642661kHz, cpu8: 3642653kHz, cpu9: 3642393kHz, 
Sample #5, Timestamp: 1747348248, CPU_Temperature: 61°C, cpu0: 3642677kHz, cpu1: 3642677kHz, cpu10: 3642571kHz, cpu11: 3642668kHz, cpu2: 3642670kHz, cpu3: 3642641kHz, cpu4: 3642653kHz, cpu5: 3642667kHz, cpu6: 3642680kHz, cpu7: 3642662kHz, cpu8: 3642664kHz, cpu9: 3642149kHz, 
Sample #6, Timestamp: 1747348251, CPU_Temperature: 62°C, cpu0: 3642670kHz, cpu1: 3642663kHz, cpu10: 3642662kHz, cpu11: 3642660kHz, cpu2: 3642659kHz, cpu3: 3642361kHz, cpu4: 3642606kHz, cpu5: 3642669kHz, cpu6: 3642676kHz, cpu7: 3642662kHz, cpu8: 3642659kHz, cpu9: 3642375kHz, 
Sample #7, Timestamp: 1747348253, CPU_Temperature: 62°C, cpu0: 3642672kHz, cpu1: 3642651kHz, cpu10: 3642587kHz, cpu11: 3642667kHz, cpu2: 3642665kHz, cpu3: 3642568kHz, cpu4: 3642658kHz, cpu5: 3642666kHz, cpu6: 3642666kHz, cpu7: 3642671kHz, cpu8: 3642669kHz, cpu9: 3642665kHz, 
Sample #8, Timestamp: 1747348255, CPU_Temperature: 62°C, cpu0: 3642682kHz, cpu1: 3642669kHz, cpu10: 3642675kHz, cpu11: 3642667kHz, cpu2: 3642677kHz, cpu3: 3642667kHz, cpu4: 3642560kHz, cpu5: 3641176kHz, cpu6: 3642685kHz, cpu7: 3642663kHz, cpu8: 3642652kHz, cpu9: 3642312kHz, 
Sample #9, Timestamp: 1747348258, CPU_Temperature: 62°C, cpu0: 3642678kHz, cpu1: 3642668kHz, cpu10: 3642628kHz, cpu11: 3642674kHz, cpu2: 3642671kHz, cpu3: 3642641kHz, cpu4: 3642596kHz, cpu5: 3642661kHz, cpu6: 3642663kHz, cpu7: 3642661kHz, cpu8: 3642669kHz, cpu9: 3642668kHz, 
Sample #10, Timestamp: 1747348260, CPU_Temperature: 62°C, cpu0: 3642669kHz, cpu1: 3642660kHz, cpu10: 3642655kHz, cpu11: 3641909kHz, cpu2: 3642661kHz, cpu3: 3642522kHz, cpu4: 3642519kHz, cpu5: 3642672kHz, cpu6: 3642670kHz, cpu7: 3642669kHz, cpu8: 3642619kHz, cpu9: 3642667kHz, 
Sample #11, Timestamp: 1747348262, CPU_Temperature: 62°C, cpu0: 3642667kHz, cpu1: 3642660kHz, cpu10: 3642507kHz, cpu11: 3642664kHz, cpu2: 3642671kHz, cpu3: 3642681kHz, cpu4: 3642674kHz, cpu5: 3642670kHz, cpu6: 3642670kHz, cpu7: 3642661kHz, cpu8: 3642676kHz, cpu9: 3642334kHz, 
