1748101743 LOGGER STARTED
Sample #1, Timestamp: 1748101743, CPU_Temperature: 37°C, cpu0: 4139642kHz, cpu1: 4812941kHz, cpu10: 3852164kHz, cpu11: 3977267kHz, cpu12: 3855103kHz, cpu13: 3856154kHz, cpu14: 4086752kHz, cpu15: 3872597kHz, cpu16: 4610564kHz, cpu17: 3892530kHz, cpu18: 4573421kHz, cpu19: 4602081kHz, cpu2: 3867747kHz, cpu20: 4807204kHz, cpu21: 4587061kHz, cpu22: 3858527kHz, cpu23: 4593189kHz, cpu24: 3834018kHz, cpu25: 4470466kHz, cpu26: 3857630kHz, cpu27: 4585904kHz, cpu28: 3870648kHz, cpu29: 4531901kHz, cpu3: 4847954kHz, cpu30: 3894926kHz, cpu31: 3873725kHz, cpu4: 4482942kHz, cpu5: 4803326kHz, cpu6: 4547414kHz, cpu7: 4837263kHz, cpu8: 3841323kHz, cpu9: 3944010kHz, 
Sample #2, Timestamp: 1748101743, CPU_Temperature: 38°C, cpu0: 4447810kHz, cpu1: 4447807kHz, cpu10: 4453872kHz, cpu11: 4454047kHz, cpu12: 4449448kHz, cpu13: 4441725kHz, cpu14: 4460318kHz, cpu15: 4441707kHz, cpu16: 4441721kHz, cpu17: 4437343kHz, cpu18: 4427173kHz, cpu19: 4507455kHz, cpu2: 4507434kHz, cpu20: 4431330kHz, cpu21: 4429166kHz, cpu22: 4422861kHz, cpu23: 4422878kHz, cpu24: 4447809kHz, cpu25: 4431735kHz, cpu26: 4431714kHz, cpu27: 4429007kHz, cpu28: 4428968kHz, cpu29: 4479452kHz, cpu3: 4479466kHz, cpu30: 4447191kHz, cpu31: 4416756kHz, cpu4: 4416765kHz, cpu5: 4416756kHz, cpu6: 4407330kHz, cpu7: 4394828kHz, cpu8: 4391765kHz, cpu9: 4401008kHz, 
Sample #3, Timestamp: 1748101744, CPU_Temperature: 43°C, cpu0: 4426430kHz, cpu1: 4385444kHz, cpu10: 4410933kHz, cpu11: 4355196kHz, cpu12: 4366863kHz, cpu13: 4353415kHz, cpu14: 4379989kHz, cpu15: 4373551kHz, cpu16: 4391807kHz, cpu17: 4398557kHz, cpu18: 4360471kHz, cpu19: 4354104kHz, cpu2: 4353940kHz, cpu20: 4366434kHz, cpu21: 4409908kHz, cpu22: 4367337kHz, cpu23: 4413110kHz, cpu24: 4361949kHz, cpu25: 4377470kHz, cpu26: 4379163kHz, cpu27: 4379038kHz, cpu28: 4366862kHz, cpu29: 4372988kHz, cpu3: 4360460kHz, cpu30: 4365343kHz, cpu31: 4362092kHz, cpu4: 4358736kHz, cpu5: 4362297kHz, cpu6: 4352568kHz, cpu7: 4354266kHz, cpu8: 4364860kHz, cpu9: 4371006kHz, 
Sample #4, Timestamp: 1748101744, CPU_Temperature: 48°C, cpu0: 4366849kHz, cpu1: 4366856kHz, cpu10: 4369351kHz, cpu11: 4356600kHz, cpu12: 4366852kHz, cpu13: 4354202kHz, cpu14: 4366861kHz, cpu15: 4360447kHz, cpu16: 4360459kHz, cpu17: 4373001kHz, cpu18: 4360546kHz, cpu19: 4343401kHz, cpu2: 4366865kHz, cpu20: 4352943kHz, cpu21: 4361781kHz, cpu22: 4361608kHz, cpu23: 4341904kHz, cpu24: 4372245kHz, cpu25: 4354204kHz, cpu26: 4354129kHz, cpu27: 4348030kHz, cpu28: 4348036kHz, cpu29: 4348455kHz, cpu3: 4373017kHz, cpu30: 4366879kHz, cpu31: 4366870kHz, cpu4: 4366972kHz, cpu5: 4428060kHz, cpu6: 4379850kHz, cpu7: 4384464kHz, cpu8: 4360000kHz, cpu9: 4348772kHz, 
Sample #5, Timestamp: 1748101744, CPU_Temperature: 52°C, cpu0: 4348020kHz, cpu1: 4348033kHz, cpu10: 4347988kHz, cpu11: 4356631kHz, cpu12: 4350582kHz, cpu13: 4347991kHz, cpu14: 4378556kHz, cpu15: 4372999kHz, cpu16: 4388477kHz, cpu17: 4341888kHz, cpu18: 4413018kHz, cpu19: 4413024kHz, cpu2: 4458131kHz, cpu20: 4350677kHz, cpu21: 4341907kHz, cpu22: 4412051kHz, cpu23: 4329062kHz, cpu24: 4378764kHz, cpu25: 4340014kHz, cpu26: 4323040kHz, cpu27: 4324656kHz, cpu28: 4355893kHz, cpu29: 4360488kHz, cpu3: 4343035kHz, cpu30: 4349160kHz, cpu31: 4348966kHz, cpu4: 4323099kHz, cpu5: 4330041kHz, cpu6: 4323605kHz, cpu7: 4360989kHz, cpu8: 4329871kHz, cpu9: 4354220kHz, 
Sample #6, Timestamp: 1748101745, CPU_Temperature: 55°C, cpu0: 4341896kHz, cpu1: 4341914kHz, cpu10: 4424064kHz, cpu11: 4376102kHz, cpu12: 4349618kHz, cpu13: 4356722kHz, cpu14: 4389818kHz, cpu15: 4395876kHz, cpu16: 4364618kHz, cpu17: 4366856kHz, cpu18: 4341908kHz, cpu19: 4364119kHz, cpu2: 4345374kHz, cpu20: 4360453kHz, cpu21: 4391410kHz, cpu22: 4366856kHz, cpu23: 4354196kHz, cpu24: 4345268kHz, cpu25: 4432793kHz, cpu26: 4395414kHz, cpu27: 4350435kHz, cpu28: 4369060kHz, cpu29: 4496894kHz, cpu3: 4325210kHz, cpu30: 4397166kHz, cpu31: 4360440kHz, cpu4: 4358854kHz, cpu5: 4365239kHz, cpu6: 4343287kHz, cpu7: 4338817kHz, cpu8: 4379209kHz, cpu9: 4335505kHz, 
Sample #7, Timestamp: 1748101745, CPU_Temperature: 57°C, cpu0: 4347995kHz, cpu1: 4359997kHz, cpu10: 4355033kHz, cpu11: 4393369kHz, cpu12: 4341902kHz, cpu13: 4339545kHz, cpu14: 4324339kHz, cpu15: 4354232kHz, cpu16: 4321411kHz, cpu17: 4332636kHz, cpu18: 4340059kHz, cpu19: 4341905kHz, cpu2: 4348053kHz, cpu20: 4341903kHz, cpu21: 4360502kHz, cpu22: 4379178kHz, cpu23: 4344414kHz, cpu24: 4350680kHz, cpu25: 4369160kHz, cpu26: 4360516kHz, cpu27: 4363576kHz, cpu28: 4351458kHz, cpu29: 4342544kHz, cpu3: 4356800kHz, cpu30: 4502176kHz, cpu31: 4330723kHz, cpu4: 4339628kHz, cpu5: 4341901kHz, cpu6: 4331245kHz, cpu7: 4316948kHz, cpu8: 4337367kHz, cpu9: 4391588kHz, 
Sample #8, Timestamp: 1748101746, CPU_Temperature: 58°C, cpu0: 4316959kHz, cpu1: 4316962kHz, cpu10: 4310524kHz, cpu11: 4323035kHz, cpu12: 4292554kHz, cpu13: 4328626kHz, cpu14: 4335479kHz, cpu15: 4309618kHz, cpu16: 4332004kHz, cpu17: 4299269kHz, cpu18: 4341910kHz, cpu19: 4293470kHz, cpu2: 4316947kHz, cpu20: 4319121kHz, cpu21: 4370520kHz, cpu22: 4348030kHz, cpu23: 4320840kHz, cpu24: 4343235kHz, cpu25: 4391543kHz, cpu26: 4356910kHz, cpu27: 4345375kHz, cpu28: 4326439kHz, cpu29: 4347945kHz, cpu3: 4320061kHz, cpu30: 4320079kHz, cpu31: 4351269kHz, cpu4: 4316954kHz, cpu5: 4354267kHz, cpu6: 4310518kHz, cpu7: 4350618kHz, cpu8: 4348008kHz, cpu9: 4360528kHz, 
Sample #9, Timestamp: 1748101746, CPU_Temperature: 59°C, cpu0: 4334931kHz, cpu1: 4329756kHz, cpu10: 4355504kHz, cpu11: 4354798kHz, cpu12: 4348020kHz, cpu13: 4329389kHz, cpu14: 4354196kHz, cpu15: 4322852kHz, cpu16: 4347991kHz, cpu17: 4336108kHz, cpu18: 4336279kHz, cpu19: 4316951kHz, cpu2: 4353283kHz, cpu20: 4340817kHz, cpu21: 4316954kHz, cpu22: 4329266kHz, cpu23: 4299597kHz, cpu24: 4330993kHz, cpu25: 4347991kHz, cpu26: 4316942kHz, cpu27: 4329144kHz, cpu28: 4333438kHz, cpu29: 4354238kHz, cpu3: 4348046kHz, cpu30: 4341910kHz, cpu31: 4333016kHz, cpu4: 4329255kHz, cpu5: 4339066kHz, cpu6: 4329140kHz, cpu7: 4332389kHz, cpu8: 4329281kHz, cpu9: 4316951kHz, 
Sample #10, Timestamp: 1748101747, CPU_Temperature: 60°C, cpu0: 4382428kHz, cpu1: 4315578kHz, cpu10: 4321936kHz, cpu11: 4347966kHz, cpu12: 4344469kHz, cpu13: 4353486kHz, cpu14: 4359894kHz, cpu15: 4359925kHz, cpu16: 4354008kHz, cpu17: 4348035kHz, cpu18: 4354279kHz, cpu19: 4341584kHz, cpu2: 4341912kHz, cpu20: 4323529kHz, cpu21: 4367954kHz, cpu22: 4310562kHz, cpu23: 4341024kHz, cpu24: 4430910kHz, cpu25: 4344018kHz, cpu26: 4329341kHz, cpu27: 4341909kHz, cpu28: 4327668kHz, cpu29: 4351707kHz, cpu3: 4339893kHz, cpu30: 4341908kHz, cpu31: 4350271kHz, cpu4: 4364189kHz, cpu5: 4341916kHz, cpu6: 4332936kHz, cpu7: 4339050kHz, cpu8: 4360477kHz, cpu9: 4351233kHz, 
Sample #11, Timestamp: 1748101747, CPU_Temperature: 60°C, cpu0: 4324680kHz, cpu1: 4319666kHz, cpu10: 4324310kHz, cpu11: 4321999kHz, cpu12: 4322140kHz, cpu13: 4355153kHz, cpu14: 4328645kHz, cpu15: 4317461kHz, cpu16: 4316958kHz, cpu17: 4316936kHz, cpu18: 4347981kHz, cpu19: 4329327kHz, cpu2: 4335427kHz, cpu20: 4317077kHz, cpu21: 4347982kHz, cpu22: 4389268kHz, cpu23: 4381775kHz, cpu24: 4348797kHz, cpu25: 4352439kHz, cpu26: 4360525kHz, cpu27: 4328249kHz, cpu28: 4329270kHz, cpu29: 4348000kHz, cpu3: 4379645kHz, cpu30: 4335496kHz, cpu31: 4364905kHz, cpu4: 4337209kHz, cpu5: 4429281kHz, cpu6: 4395953kHz, cpu7: 4350351kHz, cpu8: 4381835kHz, cpu9: 4366855kHz, 
