Current logical CPUs: 12
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.27-amd64 (localhost) 	05/15/25 	_x86_64_	(12 CPU)

23:45:03      UID      TGID       TID   cswch/s nvcswch/s  Command
23:45:04        0         9         -      0.95      0.00  kworker/0:0-events
23:45:04        0         -         9      0.95      0.00  |__kworker/0:0-events
23:45:04        0        18         -      9.52      0.00  rcu_preempt
23:45:04        0         -        18      9.52      0.00  |__rcu_preempt
23:45:04        0       112         -      1.90      0.00  kcompactd0
23:45:04        0         -       112      1.90      0.00  |__kcompactd0
23:45:04        0       292         -      2.86      0.00  kworker/10:2-mm_percpu_wq
23:45:04        0         -       292      2.86      0.00  |__kworker/10:2-mm_percpu_wq
23:45:04        0       353         -      4.76      0.00  kworker/6:2-events
23:45:04        0         -       353      4.76      0.00  |__kworker/6:2-events
23:45:04        0       467         -      1.90      0.00  kworker/11:2-mm_percpu_wq
23:45:04        0         -       467      1.90      0.00  |__kworker/11:2-mm_percpu_wq
23:45:04        0      4469         -      0.95      0.00  kworker/9:0-events
23:45:04        0         -      4469      0.95      0.00  |__kworker/9:0-events
23:45:04        0      4566         -      0.95      0.00  kworker/7:2-events_freezable
23:45:04        0         -      4566      0.95      0.00  |__kworker/7:2-events_freezable
23:45:04        0      8253         -      0.95      0.00  kworker/1:1-mm_percpu_wq
23:45:04        0         -      8253      0.95      0.00  |__kworker/1:1-mm_percpu_wq
23:45:04        0      8569         -      0.00      6.67  stress-ng-cpu
23:45:04        0         -      8569      0.00      6.67  |__stress-ng-cpu
23:45:04        0      8571         -      0.00      0.95  stress-ng-cpu
23:45:04        0         -      8571      0.00      0.95  |__stress-ng-cpu
23:45:04        0      8572         -      0.00      7.62  stress-ng-cpu
23:45:04        0         -      8572      0.00      7.62  |__stress-ng-cpu
23:45:04        0      8575         -      0.00      4.76  stress-ng-cpu
23:45:04        0         -      8575      0.00      4.76  |__stress-ng-cpu
23:45:04        0      8576         -      0.00      2.86  stress-ng-cpu
23:45:04        0         -      8576      0.00      2.86  |__stress-ng-cpu
23:45:04        0      8579         -      0.00      1.90  stress-ng-cpu
23:45:04        0         -      8579      0.00      1.90  |__stress-ng-cpu
23:45:04        0      8580         -      0.00      0.95  stress-ng-cpu
23:45:04        0         -      8580      0.00      0.95  |__stress-ng-cpu
23:45:04        0      8581         -      0.95      4.76  pidstat
23:45:04        0         -      8581      0.95      4.76  |__pidstat

23:45:04      UID      TGID       TID   cswch/s nvcswch/s  Command
23:45:05        0         9         -      1.00      0.00  kworker/0:0-events
23:45:05        0         -         9      1.00      0.00  |__kworker/0:0-events
23:45:05        0        21         -      1.00      0.00  migration/0
23:45:05        0         -        21      1.00      0.00  |__migration/0
23:45:05        0        26         -      1.00      0.00  migration/1
23:45:05        0         -        26      1.00      0.00  |__migration/1
23:45:05        0        32         -      1.00      0.00  migration/2
23:45:05        0         -        32      1.00      0.00  |__migration/2
23:45:05        0        38         -      1.00      0.00  migration/3
23:45:05        0         -        38      1.00      0.00  |__migration/3
23:45:05        0        44         -      1.00      0.00  migration/4
23:45:05        0         -        44      1.00      0.00  |__migration/4
23:45:05        0        50         -      1.00      0.00  migration/5
23:45:05        0         -        50      1.00      0.00  |__migration/5
23:45:05        0        56         -      1.00      0.00  migration/6
23:45:05        0         -        56      1.00      0.00  |__migration/6
23:45:05        0        62         -      1.00      0.00  migration/7
23:45:05        0         -        62      1.00      0.00  |__migration/7
23:45:05        0        68         -      1.00      0.00  migration/8
23:45:05        0         -        68      1.00      0.00  |__migration/8
23:45:05        0        74         -      1.00      0.00  migration/9
23:45:05        0         -        74      1.00      0.00  |__migration/9
23:45:05        0        80         -      1.00      0.00  migration/10
23:45:05        0         -        80      1.00      0.00  |__migration/10
23:45:05        0        86         -      1.00      0.00  migration/11
23:45:05        0         -        86      1.00      0.00  |__migration/11
23:45:05        0        90         -      2.00      1.00  kworker/u49:0-flush-8:16
23:45:05        0         -        90      2.00      1.00  |__kworker/u49:0-flush-8:16
23:45:05        0       112         -      2.00      0.00  kcompactd0
23:45:05        0         -       112      2.00      0.00  |__kcompactd0
23:45:05        0       126         -      1.00      0.00  kworker/0:1H-kblockd
23:45:05        0         -       126      1.00      0.00  |__kworker/0:1H-kblockd
23:45:05        0       292         -      1.00      0.00  kworker/10:2-mm_percpu_wq
23:45:05        0         -       292      1.00      0.00  |__kworker/10:2-mm_percpu_wq
23:45:05        0       295         -      1.00      0.00  kworker/6:1H-kblockd
23:45:05        0         -       295      1.00      0.00  |__kworker/6:1H-kblockd
23:45:05        0       353         -      7.00      0.00  kworker/6:2-events
23:45:05        0         -       353      7.00      0.00  |__kworker/6:2-events
23:45:05        0       471         -      7.00      0.00  usb-storage
23:45:05        0         -       471      7.00      0.00  |__usb-storage
23:45:05        0      4469         -      2.00      0.00  kworker/9:0-events
23:45:05        0         -      4469      2.00      0.00  |__kworker/9:0-events
23:45:05        0      4566         -      1.00      0.00  kworker/7:2-events_freezable
23:45:05        0         -      4566      1.00      0.00  |__kworker/7:2-events_freezable
23:45:05        0      8243         -      2.00      0.00  kworker/u50:1-events_unbound
23:45:05        0         -      8243      2.00      0.00  |__kworker/u50:1-events_unbound
23:45:05        0      8253         -      1.00      0.00  kworker/1:1-mm_percpu_wq
23:45:05        0         -      8253      1.00      0.00  |__kworker/1:1-mm_percpu_wq
23:45:05        0      8569         -      0.00      9.00  stress-ng-cpu
23:45:05        0         -      8569      0.00      9.00  |__stress-ng-cpu
23:45:05        0      8570         -      0.00      1.00  stress-ng-cpu
23:45:05        0         -      8570      0.00      1.00  |__stress-ng-cpu
23:45:05        0      8571         -      0.00      5.00  stress-ng-cpu
23:45:05        0         -      8571      0.00      5.00  |__stress-ng-cpu
23:45:05        0      8572         -      0.00      4.00  stress-ng-cpu
23:45:05        0         -      8572      0.00      4.00  |__stress-ng-cpu
23:45:05        0      8573         -      0.00      1.00  stress-ng-cpu
23:45:05        0         -      8573      0.00      1.00  |__stress-ng-cpu
23:45:05        0      8574         -      0.00      7.00  stress-ng-cpu
23:45:05        0         -      8574      0.00      7.00  |__stress-ng-cpu
23:45:05        0      8575         -      0.00      9.00  stress-ng-cpu
