Current CPU threads: 32
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

Sleeping for 5 seconds before running pidstat...

>>> [2/2] Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.19-amd64 (pavlik) 	05/01/2025 	_x86_64_	(32 CPU)

10:09:08 PM   UID      TGID       TID   cswch/s nvcswch/s  Command
10:09:09 PM  1000         -      6035     19.51      2.44  |__IPC I/O Child
10:09:09 PM  1000         -      6043      0.81      0.00  |__JS Watchdog
10:09:09 PM  1000         -      6045      8.94      0.00  |__Timer
10:09:09 PM  1000         -      7213     16.26      8.94  |__TaskCon~ller #0
10:09:09 PM  1000         -      7214     28.46     69.92  |__TaskCon~ller #1
10:09:09 PM  1000         -      7215     17.07      0.00  |__TaskCon~ller #2
10:09:09 PM  1000         -      7216     15.45     25.20  |__TaskCon~ller #3
10:09:09 PM  1000         -      7217     18.70     19.51  |__TaskCon~ller #4
10:09:09 PM  1000         -      7218     11.38      4.88  |__TaskCon~ller #5
10:09:09 PM  1000         -      7219     14.63      1.63  |__TaskCon~ller #6
10:09:09 PM  1000         -      7220     21.14     27.64  |__TaskCon~ller #7
10:09:09 PM  1000         -      7253     76.42    112.20  |__DOM Worker
10:09:09 PM  1000         -      7300      0.81      0.00  |__DOM Worker
10:09:09 PM  1000      6645         -      5.69      3.25  code
10:09:09 PM  1000         -      6645      5.69      3.25  |__code
10:09:09 PM  1000         -      6665      2.44      1.63  |__Chrome_IOThread
10:09:09 PM  1000         -      6673      0.81      0.00  |__code
10:09:09 PM  1000         -      6674      2.44      0.00  |__code
10:09:09 PM  1000         -      6675      0.81      0.00  |__code
10:09:09 PM  1000         -      6676      1.63      0.00  |__code
10:09:09 PM  1000         -      6696      7.32      0.00  |__code
10:09:09 PM  1000         -      6788      0.81      0.00  |__code
10:09:09 PM  1000      6760         -      9.76      1.63  code
10:09:09 PM  1000         -      6760      9.76      1.63  |__code
10:09:09 PM  1000         -      6769      0.81      0.00  |__ThreadPoolForeg
10:09:09 PM  1000         -      6771      8.13      0.00  |__Chrome_ChildIOT
10:09:09 PM  1000      6806         -      3.25      0.00  code
10:09:09 PM  1000         -      6806      3.25      0.00  |__code
10:09:09 PM  1000         -      6843      4.88      0.00  |__code
10:09:09 PM  1000      6818         -      0.81      0.00  code
