Current logical CPUs: 12
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.1.0-34-amd64 (localhost) 	05/15/25 	_x86_64_	(12 CPU)

23:03:52      UID      TGID       TID   cswch/s nvcswch/s  Command
23:03:53        0        15         -     10.58      0.00  rcu_preempt
23:03:53        0         -        15     10.58      0.00  |__rcu_preempt
23:03:53        0        16         -      0.96      0.00  migration/0
23:03:53        0         -        16      0.96      0.00  |__migration/0
23:03:53        0        20         -      0.96      0.00  migration/1
23:03:53        0         -        20      0.96      0.00  |__migration/1
23:03:53        0        25         -      0.96      0.00  migration/2
23:03:53        0         -        25      0.96      0.00  |__migration/2
23:03:53        0        26         -      1.92      0.00  ksoftirqd/2
23:03:53        0         -        26      1.92      0.00  |__ksoftirqd/2
23:03:53        0        30         -      0.96      0.00  migration/3
23:03:53        0         -        30      0.96      0.00  |__migration/3
23:03:53        0        35         -      0.96      0.00  migration/4
23:03:53        0         -        35      0.96      0.00  |__migration/4
23:03:53        0        40         -      0.96      0.00  migration/5
23:03:53        0         -        40      0.96      0.00  |__migration/5
23:03:53        0        45         -      0.96      0.00  migration/6
23:03:53        0         -        45      0.96      0.00  |__migration/6
23:03:53        0        50         -      0.96      0.00  migration/7
23:03:53        0         -        50      0.96      0.00  |__migration/7
23:03:53        0        52         -      0.96      0.00  kworker/7:0-mm_percpu_wq
23:03:53        0         -        52      0.96      0.00  |__kworker/7:0-mm_percpu_wq
23:03:53        0        55         -      0.96      0.00  migration/8
23:03:53        0         -        55      0.96      0.00  |__migration/8
23:03:53        0        56         -      0.96      0.00  ksoftirqd/8
23:03:53        0         -        56      0.96      0.00  |__ksoftirqd/8
23:03:53        0        60         -      0.96      0.00  migration/9
23:03:53        0         -        60      0.96      0.00  |__migration/9
23:03:53        0        65         -      0.96      0.00  migration/10
23:03:53        0         -        65      0.96      0.00  |__migration/10
23:03:53        0        70         -      0.96      0.00  migration/11
23:03:53        0         -        70      0.96      0.00  |__migration/11
23:03:53        0        91         -      0.96      0.00  kworker/1:2-mm_percpu_wq
23:03:53        0         -        91      0.96      0.00  |__kworker/1:2-mm_percpu_wq
23:03:53        0        95         -      1.92      0.00  kcompactd0
23:03:53        0         -        95      1.92      0.00  |__kcompactd0
23:03:53        0        97         -      1.92      0.00  khugepaged
23:03:53        0         -        97      1.92      0.00  |__khugepaged
23:03:53        0       112         -      1.92      0.00  kworker/3:1-mm_percpu_wq
23:03:53        0         -       112      1.92      0.00  |__kworker/3:1-mm_percpu_wq
23:03:53        0       125         -      1.92      0.00  kworker/10:1-mm_percpu_wq
23:03:53        0         -       125      1.92      0.00  |__kworker/10:1-mm_percpu_wq
23:03:53        0       126         -      0.96      0.00  kworker/11:1-mm_percpu_wq
23:03:53        0         -       126      0.96      0.00  |__kworker/11:1-mm_percpu_wq
23:03:53        0       159         -      8.65      0.00  kworker/0:3-events
23:03:53        0         -       159      8.65      0.00  |__kworker/0:3-events
23:03:53        0       347         -      3.85      0.00  kworker/5:2-mm_percpu_wq
23:03:53        0         -       347      3.85      0.00  |__kworker/5:2-mm_percpu_wq
23:03:53        0       377         -      2.88      0.00  usb-storage
23:03:53        0         -       377      2.88      0.00  |__usb-storage
23:03:53        0       385         -      1.92      0.00  kworker/2:2-mm_percpu_wq
23:03:53        0         -       385      1.92      0.00  |__kworker/2:2-mm_percpu_wq
23:03:53        0       418         -      1.92      0.00  kworker/8:3-mm_percpu_wq
23:03:53        0         -       418      1.92      0.00  |__kworker/8:3-mm_percpu_wq
23:03:53        0       553         -      0.96      0.00  kworker/9:3-mm_percpu_wq
23:03:53        0         -       553      0.96      0.00  |__kworker/9:3-mm_percpu_wq
23:03:53        0      6482         -      0.96      0.00  kworker/4:0-mm_percpu_wq
23:03:53        0         -      6482      0.96      0.00  |__kworker/4:0-mm_percpu_wq
23:03:53        0     15320         -      0.96      0.00  kworker/u64:3-flush-8:16
23:03:53        0         -     15320      0.96      0.00  |__kworker/u64:3-flush-8:16
23:03:53        0     18705         -      2.88      0.00  kworker/6:2-mm_percpu_wq
23:03:53        0         -     18705      2.88      0.00  |__kworker/6:2-mm_percpu_wq
23:03:53        0     19035         -      0.00      7.69  stress-ng-cpu
23:03:53        0         -     19035      0.00      7.69  |__stress-ng-cpu
23:03:53        0     19036         -      0.00      4.81  stress-ng-cpu
