Current logical CPUs: 16
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.27-amd64 (localhost) 	05/15/25 	_x86_64_	(16 CPU)

22:00:07      UID      TGID       TID   cswch/s nvcswch/s  Command
22:00:08        0        18         -     10.48      0.00  rcu_preempt
22:00:08        0         -        18     10.48      0.00  |__rcu_preempt
22:00:08        0       105         -      0.95      0.00  ksoftirqd/5
22:00:08        0         -       105      0.95      0.00  |__ksoftirqd/5
22:00:08        0       136         -      1.90      0.00  kcompactd0
22:00:08        0         -       136      1.90      0.00  |__kcompactd0
22:00:08        0       292         -     19.05      0.95  kworker/0:1H-kblockd
22:00:08        0         -       292     19.05      0.95  |__kworker/0:1H-kblockd
22:00:08        0       333         -      0.95      0.00  kworker/15:1H-kblockd
22:00:08        0         -       333      0.95      0.00  |__kworker/15:1H-kblockd
22:00:08        0       527         -    175.24      0.00  usb-storage
22:00:08        0         -       527    175.24      0.00  |__usb-storage
22:00:08        0       545         -      3.81      0.95  jbd2/sda3-8
22:00:08        0         -       545      3.81      0.95  |__jbd2/sda3-8
22:00:08        0       916         -     29.52      0.00  kworker/14:2H-kblockd
22:00:08        0         -       916     29.52      0.00  |__kworker/14:2H-kblockd
22:00:08        0      1115         -      0.95      0.00  kworker/13:0-mm_percpu_wq
22:00:08        0         -      1115      0.95      0.00  |__kworker/13:0-mm_percpu_wq
22:00:08        0      1502         -      0.95      0.00  kworker/0:18-events
22:00:08        0         -      1502      0.95      0.00  |__kworker/0:18-events
22:00:08        0      1503         -     33.33      0.00  kworker/u64:0-flush-8:0
22:00:08        0         -      1503     33.33      0.00  |__kworker/u64:0-flush-8:0
22:00:08        0      2426         -      0.95      0.00  kworker/14:11-mm_percpu_wq
22:00:08        0         -      2426      0.95      0.00  |__kworker/14:11-mm_percpu_wq
22:00:08        0      4858         -      0.95      0.00  kworker/5:6-mm_percpu_wq
22:00:08        0         -      4858      0.95      0.00  |__kworker/5:6-mm_percpu_wq
22:00:08        0      5299         -      0.95      0.00  kworker/4:4-events
22:00:08        0         -      5299      0.95      0.00  |__kworker/4:4-events
22:00:08        0      5432         -      0.95      0.00  kworker/3:3-mm_percpu_wq
