Scehdulre Latency test
Current CPU threads:  12
Starting hackbench..
cyclictest latency measurement:
# /dev/cpu_dma_latency set to 0us
policy: fifo: loadavg: 413.68 196.96 74.40 596/1248 3912          

T: 8 ( 3909) P:80 I:200 C:    325 Min:   4842 Act:    5821 Avg:    6525 Max:   10806
T: 9 ( 3910) P:80 I:200 C:    320 Min:   4845 Act:    5316 Avg:    6721 Max:   39235
T:10 ( 3911) P:80 I:200 C:    319 Min:   4747 Act:    5911 Avg:    6356 Max:   17949
T:11 ( 3912) P:80 I:200 C:    169 Min:   4909 Act:    5253 Avg:    5897 Max:    8854
[14Apolicy: fifo: loadavg: 413.68 196.96 74.40 761/1248 3912          

T: 0 ( 3901) P:80 I:200 C:    658 Min:   4256 Act:    5912 Avg:    6383 Max:   42638
T: 1 ( 3902) P:80 I:200 C:    369 Min:   5069 Act:    6215 Avg:    6381 Max:   30495
T: 2 ( 3903) P:80 I:200 C:    289 Min:   4990 Act:    6241 Avg:    6461 Max:   14846
T: 3 ( 3904) P:80 I:200 C:    363 Min:   4667 Act:   18457 Avg:    6938 Max:   75927
T: 4 ( 3905) P:80 I:200 C:    632 Min:   4878 Act:    6532 Avg:    6902 Max:   83334
T: 5 ( 3906) P:80 I:200 C:    368 Min:   5329 Act:    6900 Avg:    6859 Max:   34260
T: 6 ( 3907) P:80 I:200 C:    328 Min:   5418 Act:    6558 Avg:    6810 Max:   15443
T: 7 ( 3908) P:80 I:200 C:    346 Min:   4749 Act:    5677 Avg:    6175 Max:   33139
T: 8 ( 3909) P:80 I:200 C:    376 Min:   4842 Act:    6590 Avg:    6490 Max:   10806
T: 9 ( 3910) P:80 I:200 C:    372 Min:   4845 Act:    6170 Avg:    6666 Max:   39235
T:10 ( 3911) P:80 I:200 C:    370 Min:   4747 Act:   14044 Avg:    6361 Max:   17949
T:11 ( 3912) P:80 I:200 C:    220 Min:   4909 Act:    5921 Avg:    5883 Max:    9606
[14Apolicy: fifo: loadavg: 413.68 196.96 74.40 753/1248 3912          

T: 0 ( 3901) P:80 I:200 C:    720 Min:   4256 Act:    5094 Avg:    6350 Max:   42638
T: 1 ( 3902) P:80 I:200 C:    432 Min:   4889 Act:    6964 Avg:    6373 Max:   30495
T: 2 ( 3903) P:80 I:200 C:    351 Min:   4990 Act:    6674 Avg:    6466 Max:   14846
T: 3 ( 3904) P:80 I:200 C:    426 Min:   4667 Act:    5511 Avg:    6851 Max:   75927
T: 4 ( 3905) P:80 I:200 C:    695 Min:   4878 Act:    7382 Avg:    6857 Max:   83334
T: 5 ( 3906) P:80 I:200 C:    430 Min:   5132 Act:    5761 Avg:    6788 Max:   34260
T: 6 ( 3907) P:80 I:200 C:    390 Min:   5301 Act:    6912 Avg:    6840 Max:   15593
T: 7 ( 3908) P:80 I:200 C:    408 Min:   4749 Act:    6722 Avg:    6204 Max:   33139
T: 8 ( 3909) P:80 I:200 C:    439 Min:   4842 Act:    6057 Avg:    6473 Max:   10806
