Current logical CPUs: 32
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.27-amd64 (localhost) 	05/19/25 	_x86_64_	(32 CPU)

10:08:55      UID      TGID       TID   cswch/s nvcswch/s  Command
10:08:56        0         -      8135      0.00      8.49  |__stress-ng-cpu
10:08:56        0      8136         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8136      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8137         -      0.00      2.83  stress-ng-cpu
10:08:56        0         -      8137      0.00      2.83  |__stress-ng-cpu
10:08:56        0      8138         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8138      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8139         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8139      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8140         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8140      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8141         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8141      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8142         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8142      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8143         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8143      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8144         -      0.00      2.83  stress-ng-cpu
10:08:56        0         -      8144      0.00      2.83  |__stress-ng-cpu
10:08:56        0      8145         -      0.00      4.72  stress-ng-cpu
10:08:56        0         -      8145      0.00      4.72  |__stress-ng-cpu
10:08:56        0      8146         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8146      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8147         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8147      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8148         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8148      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8149         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8149      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8150         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8150      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8151         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8151      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8152         -      0.00      2.83  stress-ng-cpu
10:08:56        0         -      8152      0.00      2.83  |__stress-ng-cpu
10:08:56        0      8153         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8153      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8154         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8154      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8155         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8155      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8156         -      0.00      3.77  stress-ng-cpu
10:08:56        0         -      8156      0.00      3.77  |__stress-ng-cpu
10:08:56        0      8157         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8157      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8158         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8158      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8159         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8159      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8160         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8160      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8161         -      0.00      7.55  stress-ng-cpu
10:08:56        0         -      8161      0.00      7.55  |__stress-ng-cpu
10:08:56        0      8162         -      0.00      1.89  stress-ng-cpu
10:08:56        0         -      8162      0.00      1.89  |__stress-ng-cpu
10:08:56        0      8163         -      0.94      7.55  pidstat
10:08:56        0         -      8163      0.94      7.55  |__pidstat

10:08:56      UID      TGID       TID   cswch/s nvcswch/s  Command
10:08:57        0        21         -      1.00      0.00  migration/0
10:08:57        0         -        21      1.00      0.00  |__migration/0
10:08:57        0        26         -      1.00      0.00  migration/1
10:08:57        0         -        26      1.00      0.00  |__migration/1
10:08:57        0        32         -      1.00      0.00  migration/2
10:08:57        0         -        32      1.00      0.00  |__migration/2
10:08:57        0        38         -      1.00      0.00  migration/3
10:08:57        0         -        38      1.00      0.00  |__migration/3
10:08:57        0        44         -      1.00      0.00  migration/4
10:08:57        0         -        44      1.00      0.00  |__migration/4
10:08:57        0        50         -      1.00      0.00  migration/5
10:08:57        0         -        50      1.00      0.00  |__migration/5
10:08:57        0        56         -      1.00      0.00  migration/6
10:08:57        0         -        56      1.00      0.00  |__migration/6
