Current logical CPUs: 32
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.27-amd64 (localhost) 	05/19/25 	_x86_64_	(32 CPU)

10:30:36      UID      TGID       TID   cswch/s nvcswch/s  Command
10:30:37        0        18         -     12.96      0.00  rcu_preempt
10:30:37        0         -        18     12.96      0.00  |__rcu_preempt
10:30:37        0        58         -      0.93      0.00  kworker/6:0-mm_percpu_wq
10:30:37        0         -        58      0.93      0.00  |__kworker/6:0-mm_percpu_wq
10:30:37        0       124         -      0.93      0.00  ksoftirqd/17
10:30:37        0         -       124      0.93      0.00  |__ksoftirqd/17
10:30:37        0       173         -      0.93      0.00  kworker/25:0-mm_percpu_wq
10:30:37        0         -       173      0.93      0.00  |__kworker/25:0-mm_percpu_wq
10:30:37        0       201         -      0.93      0.00  migration/30
10:30:37        0         -       201      0.93      0.00  |__migration/30
10:30:37        0       207         -      0.93      0.00  migration/31
10:30:37        0         -       207      0.93      0.00  |__migration/31
10:30:37        0       209         -      0.93      0.00  kworker/31:0-mm_percpu_wq
10:30:37        0         -       209      0.93      0.00  |__kworker/31:0-mm_percpu_wq
10:30:37        0       232         -      0.93      0.00  kworker/u130:19-events_unbound
10:30:37        0         -       232      0.93      0.00  |__kworker/u130:19-events_unbound
10:30:37        0       253         -      1.85      0.00  kcompactd0
10:30:37        0         -       253      1.85      0.00  |__kcompactd0
10:30:37        0       262         -      0.93      0.00  kworker/21:1-mm_percpu_wq
10:30:37        0         -       262      0.93      0.00  |__kworker/21:1-mm_percpu_wq
10:30:37        0       273         -      0.93      0.00  kworker/30:1-mm_percpu_wq
10:30:37        0         -       273      0.93      0.00  |__kworker/30:1-mm_percpu_wq
10:30:37        0       288         -      1.85      0.00  kworker/3:1-mm_percpu_wq
10:30:37        0         -       288      1.85      0.00  |__kworker/3:1-mm_percpu_wq
10:30:37        0       413         -      0.93      0.00  kworker/28:1-mm_percpu_wq
10:30:37        0         -       413      0.93      0.00  |__kworker/28:1-mm_percpu_wq
10:30:37        0       414         -      0.93      0.00  kworker/27:1-mm_percpu_wq
10:30:37        0         -       414      0.93      0.00  |__kworker/27:1-mm_percpu_wq
10:30:37        0       415         -      0.93      0.00  kworker/26:1-mm_percpu_wq
10:30:37        0         -       415      0.93      0.00  |__kworker/26:1-mm_percpu_wq
10:30:37        0       416         -      1.85      0.00  kworker/29:1-events
10:30:37        0         -       416      1.85      0.00  |__kworker/29:1-events
10:30:37        0       419         -      5.56      0.00  kworker/24:1-events_power_efficient
10:30:37        0         -       419      5.56      0.00  |__kworker/24:1-events_power_efficient
10:30:37        0       421         -      0.93      0.00  kworker/19:1-mm_percpu_wq
10:30:37        0         -       421      0.93      0.00  |__kworker/19:1-mm_percpu_wq
10:30:37        0       423         -      0.93      0.00  kworker/20:2-mm_percpu_wq
10:30:37        0         -       423      0.93      0.00  |__kworker/20:2-mm_percpu_wq
10:30:37        0       450         -      0.93      0.00  kworker/15:1-mm_percpu_wq
10:30:37        0         -       450      0.93      0.00  |__kworker/15:1-mm_percpu_wq
10:30:37        0       459         -      0.93      0.00  kworker/14:1-mm_percpu_wq
10:30:37        0         -       459      0.93      0.00  |__kworker/14:1-mm_percpu_wq
10:30:37        0       484         -      0.93      0.00  kworker/2:2-mm_percpu_wq
10:30:37        0         -       484      0.93      0.00  |__kworker/2:2-mm_percpu_wq
10:30:37        0       485         -      0.93      0.00  kworker/5:1-mm_percpu_wq
10:30:37        0         -       485      0.93      0.00  |__kworker/5:1-mm_percpu_wq
10:30:37        0       489         -      0.93      0.00  kworker/12:1-mm_percpu_wq
10:30:37        0         -       489      0.93      0.00  |__kworker/12:1-mm_percpu_wq
10:30:37        0       507         -      0.93      0.00  kworker/9:1-mm_percpu_wq
10:30:37        0         -       507      0.93      0.00  |__kworker/9:1-mm_percpu_wq
10:30:37        0       509         -      0.93      0.00  kworker/13:1-mm_percpu_wq
10:30:37        0         -       509      0.93      0.00  |__kworker/13:1-mm_percpu_wq
10:30:37        0       533         -      0.93      0.00  kworker/11:1-mm_percpu_wq
10:30:37        0         -       533      0.93      0.00  |__kworker/11:1-mm_percpu_wq
10:30:37        0       534         -      0.93      0.00  kworker/10:1-mm_percpu_wq
10:30:37        0         -       534      0.93      0.00  |__kworker/10:1-mm_percpu_wq
10:30:37        0       600         -      0.93      0.00  kworker/23:1-mm_percpu_wq
10:30:37        0         -       600      0.93      0.00  |__kworker/23:1-mm_percpu_wq
