Current logical CPUs: 32
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.1.0-34-amd64 (localhost) 	05/19/25 	_x86_64_	(32 CPU)

11:06:13      UID      TGID       TID   cswch/s nvcswch/s  Command
11:06:14        0        15         -     14.02      0.00  rcu_preempt
11:06:14        0         -        15     14.02      0.00  |__rcu_preempt
11:06:14        0        17         -      7.48      0.00  kworker/0:1-events_power_efficient
11:06:14        0         -        17      7.48      0.00  |__kworker/0:1-events_power_efficient
11:06:14        0        21         -      1.87      0.00  ksoftirqd/1
11:06:14        0         -        21      1.87      0.00  |__ksoftirqd/1
11:06:14        0       101         -      2.80      0.00  ksoftirqd/17
11:06:14        0         -       101      2.80      0.00  |__ksoftirqd/17
11:06:14        0       183         -      1.87      0.00  kworker/u64:9-writeback
11:06:14        0         -       183      1.87      0.00  |__kworker/u64:9-writeback
11:06:14        0       211         -      0.93      0.00  kworker/1:2-mm_percpu_wq
11:06:14        0         -       211      0.93      0.00  |__kworker/1:2-mm_percpu_wq
11:06:14        0       215         -      1.87      0.00  kcompactd0
11:06:14        0         -       215      1.87      0.00  |__kcompactd0
11:06:14        0       224         -      0.93      0.00  kworker/16:1-events_power_efficient
11:06:14        0         -       224      0.93      0.00  |__kworker/16:1-events_power_efficient
11:06:14        0       240         -      0.93      0.00  kworker/2:1-mm_percpu_wq
11:06:14        0         -       240      0.93      0.00  |__kworker/2:1-mm_percpu_wq
11:06:14        0       251         -      0.93      0.00  kworker/14:1-mm_percpu_wq
11:06:14        0         -       251      0.93      0.00  |__kworker/14:1-mm_percpu_wq
11:06:14        0       263         -      0.93      0.00  kworker/29:1-mm_percpu_wq
11:06:14        0         -       263      0.93      0.00  |__kworker/29:1-mm_percpu_wq
11:06:14        0       350         -      0.93      0.00  kworker/26:2-events
11:06:14        0         -       350      0.93      0.00  |__kworker/26:2-events
11:06:14        0       485         -      1.87      0.00  kworker/17:2-mm_percpu_wq
11:06:14        0         -       485      1.87      0.00  |__kworker/17:2-mm_percpu_wq
11:06:14        0       546         -      6.54      0.00  usb-storage
11:06:14        0         -       546      6.54      0.00  |__usb-storage
11:06:14        0       639         -      1.87      0.00  kworker/4:2-events
11:06:14        0         -       639      1.87      0.00  |__kworker/4:2-events
11:06:14        0       804         -      0.93      0.00  kworker/20:2-mm_percpu_wq
