1747652868 LOGGER STARTED
Sample #1, Timestamp: 1747652868, CPU_Temperature: 49°C, cpu0: 2873122kHz, cpu1: 2200000kHz, cpu10: 2200000kHz, cpu11: 2200000kHz, cpu12: 2200000kHz, cpu13: 2200000kHz, cpu14: 4310372kHz, cpu15: 4363034kHz, cpu16: 4026638kHz, cpu17: 3050025kHz, cpu18: 4496604kHz, cpu19: 3955103kHz, cpu2: 3400000kHz, cpu20: 3877177kHz, cpu21: 2200000kHz, cpu22: 4589787kHz, cpu23: 3864169kHz, cpu24: 4066583kHz, cpu25: 4425526kHz, cpu26: 3842042kHz, cpu27: 2970148kHz, cpu28: 2882695kHz, cpu29: 2877226kHz, cpu3: 4525498kHz, cpu30: 4497130kHz, cpu31: 3952224kHz, cpu4: 4573655kHz, cpu5: 4569866kHz, cpu6: 4540961kHz, cpu7: 4639719kHz, cpu8: 3590658kHz, cpu9: 3593059kHz, 
Sample #2, Timestamp: 1747652868, CPU_Temperature: 49°C, cpu0: 4435419kHz, cpu1: 4422877kHz, cpu10: 4470934kHz, cpu11: 4404049kHz, cpu12: 4407971kHz, cpu13: 4379215kHz, cpu14: 4391864kHz, cpu15: 4447375kHz, cpu16: 4363603kHz, cpu17: 4363597kHz, cpu18: 4369766kHz, cpu19: 4379136kHz, cpu2: 4368990kHz, cpu20: 4360559kHz, cpu21: 4368600kHz, cpu22: 4368608kHz, cpu23: 4487052kHz, cpu24: 4348068kHz, cpu25: 4359161kHz, cpu26: 4373323kHz, cpu27: 4358855kHz, cpu28: 4341962kHz, cpu29: 4341976kHz, cpu3: 4317002kHz, cpu30: 4317019kHz, cpu31: 4329403kHz, cpu4: 4335586kHz, cpu5: 4335586kHz, cpu6: 4335453kHz, cpu7: 4323125kHz, cpu8: 4323059kHz, cpu9: 4292062kHz, 
Sample #3, Timestamp: 1747652869, CPU_Temperature: 54°C, cpu0: 4300844kHz, cpu1: 4285630kHz, cpu10: 4285629kHz, cpu11: 4298155kHz, cpu12: 4298155kHz, cpu13: 4292064kHz, cpu14: 4406068kHz, cpu15: 4310679kHz, cpu16: 4403621kHz, cpu17: 4280018kHz, cpu18: 4298861kHz, cpu19: 4304421kHz, cpu2: 4286760kHz, cpu20: 4290717kHz, cpu21: 4309161kHz, cpu22: 4309150kHz, cpu23: 4275051kHz, cpu24: 4317009kHz, cpu25: 4314899kHz, cpu26: 4400572kHz, cpu27: 4281990kHz, cpu28: 4390796kHz, cpu29: 4292051kHz, cpu3: 4300978kHz, cpu30: 4349597kHz, cpu31: 4296194kHz, cpu4: 4304432kHz, cpu5: 4267103kHz, cpu6: 4274679kHz, cpu7: 4292059kHz, cpu8: 4305076kHz, cpu9: 4279892kHz, 
Sample #4, Timestamp: 1747652870, CPU_Temperature: 59°C, cpu0: 4285696kHz, cpu1: 4298165kHz, cpu10: 4279423kHz, cpu11: 4298191kHz, cpu12: 4282963kHz, cpu13: 4307233kHz, cpu14: 4298986kHz, cpu15: 4303542kHz, cpu16: 4285656kHz, cpu17: 4295962kHz, cpu18: 4310677kHz, cpu19: 4300129kHz, cpu2: 4308855kHz, cpu20: 4308842kHz, cpu21: 4300014kHz, cpu22: 4317014kHz, cpu23: 4330644kHz, cpu24: 4316138kHz, cpu25: 4310681kHz, cpu26: 4298307kHz, cpu27: 4285702kHz, cpu28: 4273286kHz, cpu29: 4285567kHz, cpu3: 4292054kHz, cpu30: 4371930kHz, cpu31: 4330317kHz, cpu4: 4298149kHz, cpu5: 4298134kHz, cpu6: 4317007kHz, cpu7: 4339625kHz, cpu8: 4310602kHz, cpu9: 4323627kHz, 
Sample #5, Timestamp: 1747652870, CPU_Temperature: 61°C, cpu0: 4301627kHz, cpu1: 4288378kHz, cpu10: 4311858kHz, cpu11: 4292058kHz, cpu12: 4281504kHz, cpu13: 4326463kHz, cpu14: 4326046kHz, cpu15: 4304418kHz, cpu16: 4275348kHz, cpu17: 4285703kHz, cpu18: 4298195kHz, cpu19: 4310270kHz, cpu2: 4304479kHz, cpu20: 4292052kHz, cpu21: 4298142kHz, cpu22: 4298053kHz, cpu23: 4298154kHz, cpu24: 4306268kHz, cpu25: 4279466kHz, cpu26: 4317011kHz, cpu27: 4313266kHz, cpu28: 4304450kHz, cpu29: 4317001kHz, cpu3: 4288206kHz, cpu30: 4332011kHz, cpu31: 4319288kHz, cpu4: 4310612kHz, cpu5: 4302223kHz, cpu6: 4292055kHz, cpu7: 4287727kHz, cpu8: 4287699kHz, cpu9: 4279387kHz, 
Sample #6, Timestamp: 1747652871, CPU_Temperature: 62°C, cpu0: 4292057kHz, cpu1: 4292055kHz, cpu10: 4292061kHz, cpu11: 4292052kHz, cpu12: 4304440kHz, cpu13: 4317015kHz, cpu14: 4292055kHz, cpu15: 4292051kHz, cpu16: 4339634kHz, cpu17: 4398837kHz, cpu18: 4292062kHz, cpu19: 4302857kHz, cpu2: 4302851kHz, cpu20: 4317003kHz, cpu21: 4317004kHz, cpu22: 4293559kHz, cpu23: 4293503kHz, cpu24: 4299977kHz, cpu25: 4292059kHz, cpu26: 4292047kHz, cpu27: 4320951kHz, cpu28: 4292052kHz, cpu29: 4292046kHz, cpu3: 4292067kHz, cpu30: 4317009kHz, cpu31: 4292047kHz, cpu4: 4295323kHz, cpu5: 4285636kHz, cpu6: 4285625kHz, cpu7: 4292045kHz, cpu8: 4301223kHz, cpu9: 4301235kHz, 
Sample #7, Timestamp: 1747652872, CPU_Temperature: 62°C, cpu0: 4304383kHz, cpu1: 4322405kHz, cpu10: 4298697kHz, cpu11: 4316494kHz, cpu12: 4292041kHz, cpu13: 4310656kHz, cpu14: 4292056kHz, cpu15: 4292166kHz, cpu16: 4317008kHz, cpu17: 4325013kHz, cpu18: 4293272kHz, cpu19: 4293269kHz, cpu2: 4315521kHz, cpu20: 4304373kHz, cpu21: 4299505kHz, cpu22: 4299513kHz, cpu23: 4292043kHz, cpu24: 4285694kHz, cpu25: 4290404kHz, cpu26: 4302713kHz, cpu27: 4310628kHz, cpu28: 4327556kHz, cpu29: 4337585kHz, cpu3: 4298166kHz, cpu30: 4323184kHz, cpu31: 4270743kHz, cpu4: 4292062kHz, cpu5: 4298207kHz, cpu6: 4292055kHz, cpu7: 4292068kHz, cpu8: 4285667kHz, cpu9: 4285663kHz, 
Sample #8, Timestamp: 1747652872, CPU_Temperature: 62°C, cpu0: 4285642kHz, cpu1: 4300698kHz, cpu10: 4292045kHz, cpu11: 4317003kHz, cpu12: 4298177kHz, cpu13: 4273070kHz, cpu14: 4285663kHz, cpu15: 4285663kHz, cpu16: 4304321kHz, cpu17: 4292245kHz, cpu18: 4291061kHz, cpu19: 4280543kHz, cpu2: 4272166kHz, cpu20: 4304403kHz, cpu21: 4290604kHz, cpu22: 4292051kHz, cpu23: 4330359kHz, cpu24: 4287825kHz, cpu25: 4298188kHz, cpu26: 4292047kHz, cpu27: 4298151kHz, cpu28: 4310661kHz, cpu29: 4310672kHz, cpu3: 4324233kHz, cpu30: 4324206kHz, cpu31: 4307486kHz, cpu4: 4316990kHz, cpu5: 4333178kHz, cpu6: 4333190kHz, cpu7: 4315317kHz, cpu8: 4295964kHz, cpu9: 4302197kHz, 
Sample #9, Timestamp: 1747652873, CPU_Temperature: 63°C, cpu0: 4304362kHz, cpu1: 4311746kHz, cpu10: 4297743kHz, cpu11: 4285655kHz, cpu12: 4310716kHz, cpu13: 4292066kHz, cpu14: 4292056kHz, cpu15: 4292056kHz, cpu16: 4298038kHz, cpu17: 4292432kHz, cpu18: 4316306kHz, cpu19: 4347453kHz, cpu2: 4340994kHz, cpu20: 4360494kHz, cpu21: 4298130kHz, cpu22: 4298153kHz, cpu23: 4308555kHz, cpu24: 4317006kHz, cpu25: 4333203kHz, cpu26: 4301737kHz, cpu27: 4332942kHz, cpu28: 4317010kHz, cpu29: 4298112kHz, cpu3: 4347875kHz, cpu30: 4357508kHz, cpu31: 4294693kHz, cpu4: 4326811kHz, cpu5: 4304354kHz, cpu6: 4295799kHz, cpu7: 4302124kHz, cpu8: 4314737kHz, cpu9: 4314724kHz, 
Sample #10, Timestamp: 1747652873, CPU_Temperature: 63°C, cpu0: 4388336kHz, cpu1: 4322390kHz, cpu10: 4323785kHz, cpu11: 4335988kHz, cpu12: 4298191kHz, cpu13: 4335625kHz, cpu14: 4317257kHz, cpu15: 4343368kHz, cpu16: 4318659kHz, cpu17: 4309791kHz, cpu18: 4285698kHz, cpu19: 4302808kHz, cpu2: 4298165kHz, cpu20: 4306669kHz, cpu21: 4298187kHz, cpu22: 4320477kHz, cpu23: 4313900kHz, cpu24: 4298158kHz, cpu25: 4315457kHz, cpu26: 4317018kHz, cpu27: 4306107kHz, cpu28: 4317003kHz, cpu29: 4289749kHz, cpu3: 4317000kHz, cpu30: 4342438kHz, cpu31: 4298509kHz, cpu4: 4292058kHz, cpu5: 4285829kHz, cpu6: 4329342kHz, cpu7: 4322853kHz, cpu8: 4323092kHz, cpu9: 4305148kHz, 
Sample #11, Timestamp: 1747652874, CPU_Temperature: 63°C, cpu0: 4285729kHz, cpu1: 4310681kHz, cpu10: 4285660kHz, cpu11: 4323107kHz, cpu12: 4335401kHz, cpu13: 4300707kHz, cpu14: 4285640kHz, cpu15: 4285670kHz, cpu16: 4267097kHz, cpu17: 4292056kHz, cpu18: 4292056kHz, cpu19: 4283436kHz, cpu2: 4281520kHz, cpu20: 4284231kHz, cpu21: 4284223kHz, cpu22: 4281003kHz, cpu23: 4286321kHz, cpu24: 4292050kHz, cpu25: 4296270kHz, cpu26: 4285691kHz, cpu27: 4283767kHz, cpu28: 4270913kHz, cpu29: 4295724kHz, cpu3: 4292061kHz, cpu30: 4292057kHz, cpu31: 4276393kHz, cpu4: 4301095kHz, cpu5: 4292062kHz, cpu6: 4289230kHz, cpu7: 4298190kHz, cpu8: 4326915kHz, cpu9: 4326914kHz, 
