1747349641 LOGGER STARTED
Sample #17, Timestamp: 1747349662, CPU_Temperature: 61°C, cpu0: 3642666kHz, cpu1: 3642669kHz, cpu10: 3642439kHz, cpu11: 3642664kHz, cpu2: 3642679kHz, cpu3: 3641836kHz, cpu4: 3642660kHz, cpu5: 3642659kHz, cpu6: 3642671kHz, cpu7: 3642725kHz, cpu8: 3642671kHz, cpu9: 3642256kHz, 
Sample #18, Timestamp: 1747349663, CPU_Temperature: 61°C, cpu0: 3642663kHz, cpu1: 3642652kHz, cpu10: 3642639kHz, cpu11: 3642659kHz, cpu2: 3642663kHz, cpu3: 3642673kHz, cpu4: 3642672kHz, cpu5: 3642665kHz, cpu6: 3642662kHz, cpu7: 3642666kHz, cpu8: 3642674kHz, cpu9: 3642032kHz, 
Sample #19, Timestamp: 1747349663, CPU_Temperature: 61°C, cpu0: 3642665kHz, cpu1: 3642663kHz, cpu10: 3642669kHz, cpu11: 3642668kHz, cpu2: 3642657kHz, cpu3: 3642660kHz, cpu4: 3642451kHz, cpu5: 3642663kHz, cpu6: 3642667kHz, cpu7: 3642666kHz, cpu8: 3642667kHz, cpu9: 3642637kHz, 
Sample #20, Timestamp: 1747349664, CPU_Temperature: 61°C, cpu0: 3642670kHz, cpu1: 3642661kHz, cpu10: 3642052kHz, cpu11: 3642662kHz, cpu2: 3642676kHz, cpu3: 3642663kHz, cpu4: 3642666kHz, cpu5: 3642668kHz, cpu6: 3642675kHz, cpu7: 3642674kHz, cpu8: 3642659kHz, cpu9: 3642615kHz, 
Sample #21, Timestamp: 1747349665, CPU_Temperature: 61°C, cpu0: 3642653kHz, cpu1: 3642680kHz, cpu10: 3642203kHz, cpu11: 3642665kHz, cpu2: 3642672kHz, cpu3: 3642668kHz, cpu4: 3642290kHz, cpu5: 3642674kHz, cpu6: 3642662kHz, cpu7: 3642665kHz, cpu8: 3642667kHz, cpu9: 3642309kHz, 
Sample #22, Timestamp: 1747349666, CPU_Temperature: 61°C, cpu0: 3642668kHz, cpu1: 3642597kHz, cpu10: 3642666kHz, cpu11: 3642660kHz, cpu2: 3642664kHz, cpu3: 3642566kHz, cpu4: 3642670kHz, cpu5: 3642663kHz, cpu6: 3642670kHz, cpu7: 3642664kHz, cpu8: 3642665kHz, cpu9: 3642257kHz, 
Sample #23, Timestamp: 1747349667, CPU_Temperature: 61°C, cpu0: 3642654kHz, cpu1: 3642666kHz, cpu10: 3641980kHz, cpu11: 3642670kHz, cpu2: 3642672kHz, cpu3: 3642667kHz, cpu4: 3642660kHz, cpu5: 3642674kHz, cpu6: 3642664kHz, cpu7: 3642665kHz, cpu8: 3642670kHz, cpu9: 3642663kHz, 
Sample #24, Timestamp: 1747349668, CPU_Temperature: 61°C, cpu0: 3642669kHz, cpu1: 3642664kHz, cpu10: 3642664kHz, cpu11: 3642661kHz, cpu2: 3642668kHz, cpu3: 3642479kHz, cpu4: 3642257kHz, cpu5: 3642620kHz, cpu6: 3642666kHz, cpu7: 3642659kHz, cpu8: 3642664kHz, cpu9: 3642243kHz, 
Sample #25, Timestamp: 1747349669, CPU_Temperature: 61°C, cpu0: 3642670kHz, cpu1: 3642666kHz, cpu10: 3642667kHz, cpu11: 3642664kHz, cpu2: 3642667kHz, cpu3: 3642659kHz, cpu4: 3642659kHz, cpu5: 3642670kHz, cpu6: 3642660kHz, cpu7: 3642665kHz, cpu8: 3642670kHz, cpu9: 3642670kHz, 
Sample #26, Timestamp: 1747349670, CPU_Temperature: 62°C, cpu0: 3642668kHz, cpu1: 3642666kHz, cpu10: 3642667kHz, cpu11: 3642655kHz, cpu2: 3642674kHz, cpu3: 3642655kHz, cpu4: 3642665kHz, cpu5: 3642668kHz, cpu6: 3642591kHz, cpu7: 3642679kHz, cpu8: 3642670kHz, cpu9: 3642660kHz, 
