1748102227 LOGGER STARTED
Sample #1, Timestamp: 1748102227, CPU_Temperature: 47°C, cpu0: 2850981kHz, cpu1: 2723036kHz, cpu10: 3237734kHz, cpu11: 3685565kHz, cpu12: 3856175kHz, cpu13: 3851281kHz, cpu14: 3870945kHz, cpu15: 4840805kHz, cpu16: 2200000kHz, cpu17: 2200000kHz, cpu18: 2200000kHz, cpu19: 2200000kHz, cpu2: 2956437kHz, cpu20: 3798752kHz, cpu21: 3889484kHz, cpu22: 3838804kHz, cpu23: 3112536kHz, cpu24: 3856484kHz, cpu25: 4554409kHz, cpu26: 3867991kHz, cpu27: 3834888kHz, cpu28: 4313629kHz, cpu29: 3859995kHz, cpu3: 3527938kHz, cpu30: 3837776kHz, cpu31: 3841147kHz, cpu4: 3977955kHz, cpu5: 3835403kHz, cpu6: 3844034kHz, cpu7: 3834143kHz, cpu8: 4167544kHz, cpu9: 3848169kHz, 
Sample #2, Timestamp: 1748102227, CPU_Temperature: 47°C, cpu0: 4409016kHz, cpu1: 4405294kHz, cpu10: 4421300kHz, cpu11: 4421318kHz, cpu12: 4379262kHz, cpu13: 4391906kHz, cpu14: 4416757kHz, cpu15: 4492965kHz, cpu16: 4392630kHz, cpu17: 4491454kHz, cpu18: 4370009kHz, cpu19: 4405765kHz, cpu2: 4358839kHz, cpu20: 4373087kHz, cpu21: 4373084kHz, cpu22: 4362332kHz, cpu23: 4366942kHz, cpu24: 4362848kHz, cpu25: 4383153kHz, cpu26: 4380498kHz, cpu27: 4391912kHz, cpu28: 4391910kHz, cpu29: 4395934kHz, cpu3: 4430969kHz, cpu30: 4357692kHz, cpu31: 4357453kHz, cpu4: 4332329kHz, cpu5: 4335577kHz, cpu6: 4339163kHz, cpu7: 4342005kHz, cpu8: 4329163kHz, cpu9: 4333469kHz, 
Sample #3, Timestamp: 1748102228, CPU_Temperature: 53°C, cpu0: 4347870kHz, cpu1: 4336123kHz, cpu10: 4328974kHz, cpu11: 4323145kHz, cpu12: 4352309kHz, cpu13: 4337772kHz, cpu14: 4310656kHz, cpu15: 4315439kHz, cpu16: 4317050kHz, cpu17: 4345224kHz, cpu18: 4337005kHz, cpu19: 4318641kHz, cpu2: 4317058kHz, cpu20: 4317055kHz, cpu21: 4342013kHz, cpu22: 4335606kHz, cpu23: 4331756kHz, cpu24: 4331780kHz, cpu25: 4325781kHz, cpu26: 4317044kHz, cpu27: 4332488kHz, cpu28: 4332488kHz, cpu29: 4326303kHz, cpu3: 4326293kHz, cpu30: 4335644kHz, cpu31: 4335648kHz, cpu4: 4307832kHz, cpu5: 4371619kHz, cpu6: 4371647kHz, cpu7: 4371632kHz, cpu8: 4367466kHz, cpu9: 4367451kHz, 
Sample #4, Timestamp: 1748102228, CPU_Temperature: 56°C, cpu0: 4317060kHz, cpu1: 4317063kHz, cpu10: 4310648kHz, cpu11: 4310659kHz, cpu12: 4292105kHz, cpu13: 4290450kHz, cpu14: 4302467kHz, cpu15: 4310711kHz, cpu16: 4304454kHz, cpu17: 4300122kHz, cpu18: 4323845kHz, cpu19: 4310700kHz, cpu2: 4310695kHz, cpu20: 4310698kHz, cpu21: 4355261kHz, cpu22: 4303449kHz, cpu23: 4292094kHz, cpu24: 4308091kHz, cpu25: 4304432kHz, cpu26: 4300036kHz, cpu27: 4313525kHz, cpu28: 4317043kHz, cpu29: 4310657kHz, cpu3: 4310670kHz, cpu30: 4293041kHz, cpu31: 4310627kHz, cpu4: 4310618kHz, cpu5: 4311827kHz, cpu6: 4292101kHz, cpu7: 4317041kHz, cpu8: 4317161kHz, cpu9: 4323078kHz, 
Sample #5, Timestamp: 1748102229, CPU_Temperature: 60°C, cpu0: 4317051kHz, cpu1: 4299777kHz, cpu10: 4317048kHz, cpu11: 4304397kHz, cpu12: 4304390kHz, cpu13: 4310705kHz, cpu14: 4310694kHz, cpu15: 4310671kHz, cpu16: 4298150kHz, cpu17: 4406887kHz, cpu18: 4301294kHz, cpu19: 4301220kHz, cpu2: 4307209kHz, cpu20: 4295487kHz, cpu21: 4295662kHz, cpu22: 4292087kHz, cpu23: 4292088kHz, cpu24: 4294265kHz, cpu25: 4334189kHz, cpu26: 4332407kHz, cpu27: 4292102kHz, cpu28: 4297768kHz, cpu29: 4304496kHz, cpu3: 4310747kHz, cpu30: 4346165kHz, cpu31: 4305593kHz, cpu4: 4372923kHz, cpu5: 4321014kHz, cpu6: 4325772kHz, cpu7: 4320475kHz, cpu8: 4332215kHz, cpu9: 4339091kHz, 
Sample #6, Timestamp: 1748102230, CPU_Temperature: 61°C, cpu0: 4323185kHz, cpu1: 4310697kHz, cpu10: 4323152kHz, cpu11: 4342003kHz, cpu12: 4329193kHz, cpu13: 4310892kHz, cpu14: 4329390kHz, cpu15: 4310754kHz, cpu16: 4310760kHz, cpu17: 4310603kHz, cpu18: 4323227kHz, cpu19: 4323207kHz, cpu2: 4335263kHz, cpu20: 4346607kHz, cpu21: 4324149kHz, cpu22: 4315988kHz, cpu23: 4323177kHz, cpu24: 4317044kHz, cpu25: 4329341kHz, cpu26: 4310673kHz, cpu27: 4368681kHz, cpu28: 4317051kHz, cpu29: 4354369kHz, cpu3: 4341733kHz, cpu30: 4310646kHz, cpu31: 4317040kHz, cpu4: 4304484kHz, cpu5: 4317065kHz, cpu6: 4317050kHz, cpu7: 4308710kHz, cpu8: 4317053kHz, cpu9: 4342014kHz, 
Sample #7, Timestamp: 1748102231, CPU_Temperature: 61°C, cpu0: 4341972kHz, cpu1: 4317061kHz, cpu10: 4353473kHz, cpu11: 4361945kHz, cpu12: 4335659kHz, cpu13: 4341995kHz, cpu14: 4337104kHz, cpu15: 4321354kHz, cpu16: 4339975kHz, cpu17: 4314651kHz, cpu18: 4365528kHz, cpu19: 4365525kHz, cpu2: 4325736kHz, cpu20: 4326882kHz, cpu21: 4317038kHz, cpu22: 4342009kHz, cpu23: 4342004kHz, cpu24: 4332608kHz, cpu25: 4322676kHz, cpu26: 4322691kHz, cpu27: 4335682kHz, cpu28: 4317043kHz, cpu29: 4320794kHz, cpu3: 4319223kHz, cpu30: 4344028kHz, cpu31: 4326648kHz, cpu4: 4299655kHz, cpu5: 4311762kHz, cpu6: 4335631kHz, cpu7: 4336360kHz, cpu8: 4336185kHz, cpu9: 4310747kHz, 
Sample #8, Timestamp: 1748102231, CPU_Temperature: 62°C, cpu0: 4317059kHz, cpu1: 4318554kHz, cpu10: 4327511kHz, cpu11: 4306569kHz, cpu12: 4304415kHz, cpu13: 4310668kHz, cpu14: 4298205kHz, cpu15: 4307692kHz, cpu16: 4307811kHz, cpu17: 4298136kHz, cpu18: 4317044kHz, cpu19: 4325690kHz, cpu2: 4317056kHz, cpu20: 4312041kHz, cpu21: 4305568kHz, cpu22: 4342008kHz, cpu23: 4310980kHz, cpu24: 4316872kHz, cpu25: 4304609kHz, cpu26: 4353906kHz, cpu27: 4298601kHz, cpu28: 4323683kHz, cpu29: 4335181kHz, cpu3: 4335181kHz, cpu30: 4330021kHz, cpu31: 4335616kHz, cpu4: 4305504kHz, cpu5: 4292092kHz, cpu6: 4317058kHz, cpu7: 4319751kHz, cpu8: 4304272kHz, cpu9: 4304422kHz, 
Sample #9, Timestamp: 1748102232, CPU_Temperature: 62°C, cpu0: 4354346kHz, cpu1: 4317048kHz, cpu10: 4342995kHz, cpu11: 4342997kHz, cpu12: 4344090kHz, cpu13: 4344094kHz, cpu14: 4310688kHz, cpu15: 4317034kHz, cpu16: 4317041kHz, cpu17: 4317048kHz, cpu18: 4318916kHz, cpu19: 4318908kHz, cpu2: 4322602kHz, cpu20: 4323770kHz, cpu21: 4342284kHz, cpu22: 4341552kHz, cpu23: 4323555kHz, cpu24: 4341714kHz, cpu25: 4310638kHz, cpu26: 4316943kHz, cpu27: 4329397kHz, cpu28: 4310651kHz, cpu29: 4336496kHz, cpu3: 4348111kHz, cpu30: 4354367kHz, cpu31: 4360659kHz, cpu4: 4363009kHz, cpu5: 4324684kHz, cpu6: 4308737kHz, cpu7: 4335617kHz, cpu8: 4335635kHz, cpu9: 4323129kHz, 
Sample #10, Timestamp: 1748102233, CPU_Temperature: 62°C, cpu0: 4317038kHz, cpu1: 4345538kHz, cpu10: 4352906kHz, cpu11: 4352919kHz, cpu12: 4423135kHz, cpu13: 4423620kHz, cpu14: 4300697kHz, cpu15: 4328275kHz, cpu16: 4402648kHz, cpu17: 4304493kHz, cpu18: 4310702kHz, cpu19: 4310700kHz, cpu2: 4323152kHz, cpu20: 4323132kHz, cpu21: 4322932kHz, cpu22: 4323549kHz, cpu23: 4323542kHz, cpu24: 4329985kHz, cpu25: 4354350kHz, cpu26: 4359576kHz, cpu27: 4367840kHz, cpu28: 4341999kHz, cpu29: 4342002kHz, cpu3: 4342001kHz, cpu30: 4348151kHz, cpu31: 4316801kHz, cpu4: 4319835kHz, cpu5: 4338299kHz, cpu6: 4354405kHz, cpu7: 4335657kHz, cpu8: 4326435kHz, cpu9: 4332110kHz, 
Sample #11, Timestamp: 1748102233, CPU_Temperature: 62°C, cpu0: 4317050kHz, cpu1: 4310805kHz, cpu10: 4329245kHz, cpu11: 4317506kHz, cpu12: 4330081kHz, cpu13: 4353521kHz, cpu14: 4334669kHz, cpu15: 4341994kHz, cpu16: 4342010kHz, cpu17: 4331323kHz, cpu18: 4342001kHz, cpu19: 4332867kHz, cpu2: 4332855kHz, cpu20: 4351490kHz, cpu21: 4354110kHz, cpu22: 4342903kHz, cpu23: 4317056kHz, cpu24: 4329402kHz, cpu25: 4310708kHz, cpu26: 4310713kHz, cpu27: 4331301kHz, cpu28: 4329351kHz, cpu29: 4342003kHz, cpu3: 4366965kHz, cpu30: 4328165kHz, cpu31: 4329418kHz, cpu4: 4323814kHz, cpu5: 4341477kHz, cpu6: 4317047kHz, cpu7: 4317043kHz, cpu8: 4322780kHz, cpu9: 4347223kHz, 
