1748101845 LOGGER STARTED
Sample #12, Timestamp: 1748101850, CPU_Temperature: 61°C, cpu0: 4276284kHz, cpu1: 4326438kHz, cpu10: 4323067kHz, cpu11: 4291991kHz, cpu12: 4364259kHz, cpu13: 4323053kHz, cpu14: 4285608kHz, cpu15: 4323082kHz, cpu16: 4314923kHz, cpu17: 4291989kHz, cpu18: 4302659kHz, cpu19: 4319886kHz, cpu2: 4316950kHz, cpu20: 4323093kHz, cpu21: 4330428kHz, cpu22: 4368442kHz, cpu23: 4352856kHz, cpu24: 4323445kHz, cpu25: 4341110kHz, cpu26: 4329495kHz, cpu27: 4304360kHz, cpu28: 4310795kHz, cpu29: 4323812kHz, cpu3: 4292002kHz, cpu30: 4316303kHz, cpu31: 4309834kHz, cpu4: 4315927kHz, cpu5: 4285619kHz, cpu6: 4348003kHz, cpu7: 4316946kHz, cpu8: 4316950kHz, cpu9: 4310560kHz, 
Sample #13, Timestamp: 1748101851, CPU_Temperature: 62°C, cpu0: 4326011kHz, cpu1: 4332460kHz, cpu10: 4329329kHz, cpu11: 4316957kHz, cpu12: 4386548kHz, cpu13: 4310561kHz, cpu14: 4331813kHz, cpu15: 4317840kHz, cpu16: 4291998kHz, cpu17: 4359384kHz, cpu18: 4302113kHz, cpu19: 4295832kHz, cpu2: 4310510kHz, cpu20: 4310613kHz, cpu21: 4335582kHz, cpu22: 4323075kHz, cpu23: 4315254kHz, cpu24: 4298133kHz, cpu25: 4309256kHz, cpu26: 4291996kHz, cpu27: 4313000kHz, cpu28: 4322988kHz, cpu29: 4316943kHz, cpu3: 4317701kHz, cpu30: 4317517kHz, cpu31: 4329324kHz, cpu4: 4316977kHz, cpu5: 4335588kHz, cpu6: 4329429kHz, cpu7: 4304424kHz, cpu8: 4397575kHz, cpu9: 4329290kHz, 
Sample #14, Timestamp: 1748101851, CPU_Temperature: 62°C, cpu0: 4299876kHz, cpu1: 4438270kHz, cpu10: 4383756kHz, cpu11: 4383786kHz, cpu12: 4316945kHz, cpu13: 4333539kHz, cpu14: 4324993kHz, cpu15: 4315106kHz, cpu16: 4314470kHz, cpu17: 4273061kHz, cpu18: 4291998kHz, cpu19: 4313491kHz, cpu2: 4304296kHz, cpu20: 4363621kHz, cpu21: 4304209kHz, cpu22: 4316941kHz, cpu23: 4345049kHz, cpu24: 4323048kHz, cpu25: 4318021kHz, cpu26: 4323010kHz, cpu27: 4295895kHz, cpu28: 4339667kHz, cpu29: 4335576kHz, cpu3: 4316949kHz, cpu30: 4304324kHz, cpu31: 4290385kHz, cpu4: 4279417kHz, cpu5: 4291991kHz, cpu6: 4293065kHz, cpu7: 4293112kHz, cpu8: 4297119kHz, cpu9: 4316940kHz, 
Sample #15, Timestamp: 1748101851, CPU_Temperature: 62°C, cpu0: 4329254kHz, cpu1: 4371362kHz, cpu10: 4305284kHz, cpu11: 4287667kHz, cpu12: 4292001kHz, cpu13: 4342984kHz, cpu14: 4307301kHz, cpu15: 4371220kHz, cpu16: 4337414kHz, cpu17: 4308752kHz, cpu18: 4348033kHz, cpu19: 4300181kHz, cpu2: 4323025kHz, cpu20: 4326879kHz, cpu21: 4436785kHz, cpu22: 4291985kHz, cpu23: 4316947kHz, cpu24: 4332267kHz, cpu25: 4304446kHz, cpu26: 4326145kHz, cpu27: 4298043kHz, cpu28: 4310538kHz, cpu29: 4314285kHz, cpu3: 4347993kHz, cpu30: 4357077kHz, cpu31: 4291996kHz, cpu4: 4377207kHz, cpu5: 4312946kHz, cpu6: 4321316kHz, cpu7: 4315279kHz, cpu8: 4287077kHz, cpu9: 4334223kHz, 
Sample #16, Timestamp: 1748101852, CPU_Temperature: 62°C, cpu0: 4322909kHz, cpu1: 4310529kHz, cpu10: 4316947kHz, cpu11: 4356601kHz, cpu12: 4346596kHz, cpu13: 4335545kHz, cpu14: 4373571kHz, cpu15: 4405455kHz, cpu16: 4367835kHz, cpu17: 4300821kHz, cpu18: 4292011kHz, cpu19: 4324557kHz, cpu2: 4293555kHz, cpu20: 4291998kHz, cpu21: 4318847kHz, cpu22: 4316944kHz, cpu23: 4324672kHz, cpu24: 4298056kHz, cpu25: 4294478kHz, cpu26: 4298129kHz, cpu27: 4326049kHz, cpu28: 4323055kHz, cpu29: 4341905kHz, cpu3: 4430455kHz, cpu30: 4323036kHz, cpu31: 4323050kHz, cpu4: 4308071kHz, cpu5: 4316939kHz, cpu6: 4323055kHz, cpu7: 4364855kHz, cpu8: 4329245kHz, cpu9: 4333805kHz, 
Sample #17, Timestamp: 1748101852, CPU_Temperature: 62°C, cpu0: 4317244kHz, cpu1: 4341373kHz, cpu10: 4291995kHz, cpu11: 4310646kHz, cpu12: 4316960kHz, cpu13: 4304282kHz, cpu14: 4329661kHz, cpu15: 4334461kHz, cpu16: 4329374kHz, cpu17: 4297376kHz, cpu18: 4403595kHz, cpu19: 4374894kHz, cpu2: 4298075kHz, cpu20: 4330572kHz, cpu21: 4329323kHz, cpu22: 4324483kHz, cpu23: 4293351kHz, cpu24: 4268442kHz, cpu25: 4302833kHz, cpu26: 4306033kHz, cpu27: 4339873kHz, cpu28: 4300077kHz, cpu29: 4298083kHz, cpu3: 4306545kHz, cpu30: 4323042kHz, cpu31: 4316939kHz, cpu4: 4326986kHz, cpu5: 4292000kHz, cpu6: 4282017kHz, cpu7: 4310597kHz, cpu8: 4310584kHz, cpu9: 4291996kHz, 
Sample #18, Timestamp: 1748101853, CPU_Temperature: 62°C, cpu0: 4492571kHz, cpu1: 4291990kHz, cpu10: 4340067kHz, cpu11: 4302807kHz, cpu12: 4323035kHz, cpu13: 4310585kHz, cpu14: 4267054kHz, cpu15: 4280588kHz, cpu16: 4290831kHz, cpu17: 4279380kHz, cpu18: 4303303kHz, cpu19: 4303298kHz, cpu2: 4310620kHz, cpu20: 4291996kHz, cpu21: 4285602kHz, cpu22: 4297580kHz, cpu23: 4291534kHz, cpu24: 4273168kHz, cpu25: 4310634kHz, cpu26: 4316889kHz, cpu27: 4316954kHz, cpu28: 4292043kHz, cpu29: 4316946kHz, cpu3: 4329284kHz, cpu30: 4322742kHz, cpu31: 4341195kHz, cpu4: 4328713kHz, cpu5: 4322389kHz, cpu6: 4371009kHz, cpu7: 4330277kHz, cpu8: 4316946kHz, cpu9: 4292938kHz, 
Sample #19, Timestamp: 1748101853, CPU_Temperature: 62°C, cpu0: 4295546kHz, cpu1: 4310528kHz, cpu10: 4285603kHz, cpu11: 4307676kHz, cpu12: 4279346kHz, cpu13: 4288983kHz, cpu14: 4273179kHz, cpu15: 4288454kHz, cpu16: 4322090kHz, cpu17: 4269401kHz, cpu18: 4275521kHz, cpu19: 4292013kHz, cpu2: 4306285kHz, cpu20: 4285565kHz, cpu21: 4306362kHz, cpu22: 4290094kHz, cpu23: 4330915kHz, cpu24: 4292003kHz, cpu25: 4299626kHz, cpu26: 4327836kHz, cpu27: 4318171kHz, cpu28: 4347992kHz, cpu29: 4315518kHz, cpu3: 4292913kHz, cpu30: 4297304kHz, cpu31: 4311330kHz, cpu4: 4311318kHz, cpu5: 4341266kHz, cpu6: 4329815kHz, cpu7: 4469872kHz, cpu8: 4334540kHz, cpu9: 4285612kHz, 
Sample #20, Timestamp: 1748101854, CPU_Temperature: 62°C, cpu0: 4318041kHz, cpu1: 4310556kHz, cpu10: 4293428kHz, cpu11: 4304201kHz, cpu12: 4291995kHz, cpu13: 4285611kHz, cpu14: 4302442kHz, cpu15: 4292007kHz, cpu16: 4314627kHz, cpu17: 4291996kHz, cpu18: 4310606kHz, cpu19: 4292005kHz, cpu2: 4276661kHz, cpu20: 4291991kHz, cpu21: 4292005kHz, cpu22: 4288890kHz, cpu23: 4291986kHz, cpu24: 4291999kHz, cpu25: 4338432kHz, cpu26: 4311328kHz, cpu27: 4323038kHz, cpu28: 4314389kHz, cpu29: 4302862kHz, cpu3: 4291998kHz, cpu30: 4292005kHz, cpu31: 4277341kHz, cpu4: 4316946kHz, cpu5: 4314948kHz, cpu6: 4323028kHz, cpu7: 4292009kHz, cpu8: 4321545kHz, cpu9: 4316946kHz, 
Sample #21, Timestamp: 1748101854, CPU_Temperature: 62°C, cpu0: 4304357kHz, cpu1: 4316873kHz, cpu10: 4323310kHz, cpu11: 4367373kHz, cpu12: 4327767kHz, cpu13: 4355317kHz, cpu14: 4360484kHz, cpu15: 4341922kHz, cpu16: 4330330kHz, cpu17: 4331485kHz, cpu18: 4305637kHz, cpu19: 4319409kHz, cpu2: 4329324kHz, cpu20: 4335533kHz, cpu21: 4288955kHz, cpu22: 4314849kHz, cpu23: 4312625kHz, cpu24: 4302329kHz, cpu25: 4331165kHz, cpu26: 4304347kHz, cpu27: 4421256kHz, cpu28: 4323060kHz, cpu29: 4300924kHz, cpu3: 4307769kHz, cpu30: 4357197kHz, cpu31: 4295110kHz, cpu4: 4295254kHz, cpu5: 4316951kHz, cpu6: 4288328kHz, cpu7: 4289395kHz, cpu8: 4285573kHz, cpu9: 4362763kHz, 
