Current logical CPUs: 32
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.1.0-34-amd64 (localhost) 	05/19/25 	_x86_64_	(32 CPU)

11:17:19      UID      TGID       TID   cswch/s nvcswch/s  Command
11:17:20        0        15         -     11.21      0.00  rcu_preempt
11:17:20        0         -        15     11.21      0.00  |__rcu_preempt
11:17:20        0        17         -      6.54      0.00  kworker/0:1-events_power_efficient
11:17:20        0         -        17      6.54      0.00  |__kworker/0:1-events_power_efficient
11:17:20        0       101         -      3.74      0.00  ksoftirqd/17
11:17:20        0         -       101      3.74      0.00  |__ksoftirqd/17
11:17:20        0       211         -      0.93      0.00  kworker/1:2-mm_percpu_wq
11:17:20        0         -       211      0.93      0.00  |__kworker/1:2-mm_percpu_wq
11:17:20        0       215         -      1.87      0.00  kcompactd0
11:17:20        0         -       215      1.87      0.00  |__kcompactd0
11:17:20        0       244         -      2.80      0.00  kworker/6:1-events
11:17:20        0         -       244      2.80      0.00  |__kworker/6:1-events
11:17:20        0       248         -      0.93      0.00  kworker/10:1-mm_percpu_wq
11:17:20        0         -       248      0.93      0.00  |__kworker/10:1-mm_percpu_wq
11:17:20        0       249         -      0.93      0.00  kworker/11:1-mm_percpu_wq
11:17:20        0         -       249      0.93      0.00  |__kworker/11:1-mm_percpu_wq
11:17:20        0       251         -      1.87      0.00  kworker/14:1-events
11:17:20        0         -       251      1.87      0.00  |__kworker/14:1-events
11:17:20        0       252         -      0.93      0.00  kworker/15:1-mm_percpu_wq
11:17:20        0         -       252      0.93      0.00  |__kworker/15:1-mm_percpu_wq
11:17:20        0       258         -      0.93      0.00  kworker/23:1-mm_percpu_wq
11:17:20        0         -       258      0.93      0.00  |__kworker/23:1-mm_percpu_wq
11:17:20        0       259         -      0.93      0.00  kworker/24:1-mm_percpu_wq
11:17:20        0         -       259      0.93      0.00  |__kworker/24:1-mm_percpu_wq
11:17:20        0       263         -      0.93      0.00  kworker/29:1-mm_percpu_wq
11:17:20        0         -       263      0.93      0.00  |__kworker/29:1-mm_percpu_wq
11:17:20        0       265         -      0.93      0.00  kworker/31:1-mm_percpu_wq
11:17:20        0         -       265      0.93      0.00  |__kworker/31:1-mm_percpu_wq
11:17:20        0       319         -      0.93      0.00  kworker/12:1H-kblockd
