1747653534 LOGGER STARTED
Sample #12, Timestamp: 1747653541, CPU_Temperature: 63°C, cpu0: 4299718kHz, cpu1: 4294138kHz, cpu10: 4365350kHz, cpu11: 4304415kHz, cpu12: 4406558kHz, cpu13: 4304376kHz, cpu14: 4298008kHz, cpu15: 4285650kHz, cpu16: 4297338kHz, cpu17: 4298154kHz, cpu18: 4293229kHz, cpu19: 4315438kHz, cpu2: 4310694kHz, cpu20: 4283745kHz, cpu21: 4292035kHz, cpu22: 4298127kHz, cpu23: 4294839kHz, cpu24: 4279440kHz, cpu25: 4290622kHz, cpu26: 4285680kHz, cpu27: 4272550kHz, cpu28: 4286390kHz, cpu29: 4292490kHz, cpu3: 4292515kHz, cpu30: 4316450kHz, cpu31: 4316477kHz, cpu4: 4298181kHz, cpu5: 4298185kHz, cpu6: 4304816kHz, cpu7: 4304812kHz, cpu8: 4304808kHz, cpu9: 4297884kHz, 
Sample #13, Timestamp: 1747653542, CPU_Temperature: 63°C, cpu0: 4284065kHz, cpu1: 4279408kHz, cpu10: 4273179kHz, cpu11: 4298138kHz, cpu12: 4288874kHz, cpu13: 4273221kHz, cpu14: 4322649kHz, cpu15: 4317456kHz, cpu16: 4298130kHz, cpu17: 4298139kHz, cpu18: 4298169kHz, cpu19: 4292058kHz, cpu2: 4355351kHz, cpu20: 4310653kHz, cpu21: 4343471kHz, cpu22: 4286304kHz, cpu23: 4292059kHz, cpu24: 4304851kHz, cpu25: 4335617kHz, cpu26: 4292058kHz, cpu27: 4303725kHz, cpu28: 4292048kHz, cpu29: 4292050kHz, cpu3: 4317007kHz, cpu30: 4298146kHz, cpu31: 4310643kHz, cpu4: 4337066kHz, cpu5: 4323138kHz, cpu6: 4323143kHz, cpu7: 4299696kHz, cpu8: 4299711kHz, cpu9: 4285619kHz, 
Sample #14, Timestamp: 1747653542, CPU_Temperature: 63°C, cpu0: 4317002kHz, cpu1: 4292040kHz, cpu10: 4338050kHz, cpu11: 4302255kHz, cpu12: 4318459kHz, cpu13: 4346753kHz, cpu14: 4346791kHz, cpu15: 4340803kHz, cpu16: 4340789kHz, cpu17: 4292938kHz, cpu18: 4317008kHz, cpu19: 4310676kHz, cpu2: 4304223kHz, cpu20: 4304821kHz, cpu21: 4305984kHz, cpu22: 4392413kHz, cpu23: 4401378kHz, cpu24: 4304304kHz, cpu25: 4293477kHz, cpu26: 4273138kHz, cpu27: 4298172kHz, cpu28: 4321230kHz, cpu29: 4308704kHz, cpu3: 4292050kHz, cpu30: 4302225kHz, cpu31: 4317003kHz, cpu4: 4285683kHz, cpu5: 4313431kHz, cpu6: 4304455kHz, cpu7: 4288615kHz, cpu8: 4285682kHz, cpu9: 4275500kHz, 
Sample #15, Timestamp: 1747653543, CPU_Temperature: 63°C, cpu0: 4310602kHz, cpu1: 4304154kHz, cpu10: 4292058kHz, cpu11: 4285676kHz, cpu12: 4298154kHz, cpu13: 4297689kHz, cpu14: 4303591kHz, cpu15: 4330193kHz, cpu16: 4406373kHz, cpu17: 4292053kHz, cpu18: 4298167kHz, cpu19: 4310644kHz, cpu2: 4319781kHz, cpu20: 4307838kHz, cpu21: 4307839kHz, cpu22: 4304413kHz, cpu23: 4329378kHz, cpu24: 4302870kHz, cpu25: 4302869kHz, cpu26: 4325731kHz, cpu27: 4302144kHz, cpu28: 4312315kHz, cpu29: 4361757kHz, cpu3: 4315696kHz, cpu30: 4293116kHz, cpu31: 4317015kHz, cpu4: 4317010kHz, cpu5: 4297124kHz, cpu6: 4297128kHz, cpu7: 4291121kHz, cpu8: 4291120kHz, cpu9: 4298125kHz, 
Sample #16, Timestamp: 1747653544, CPU_Temperature: 63°C, cpu0: 4308619kHz, cpu1: 4304399kHz, cpu10: 4304407kHz, cpu11: 4310636kHz, cpu12: 4306712kHz, cpu13: 4306716kHz, cpu14: 4308123kHz, cpu15: 4308111kHz, cpu16: 4335651kHz, cpu17: 4295400kHz, cpu18: 4317009kHz, cpu19: 4326677kHz, cpu2: 4313991kHz, cpu20: 4301065kHz, cpu21: 4301073kHz, cpu22: 4286045kHz, cpu23: 4276152kHz, cpu24: 4341951kHz, cpu25: 4335558kHz, cpu26: 4327394kHz, cpu27: 4357392kHz, cpu28: 4310618kHz, cpu29: 4298138kHz, cpu3: 4297455kHz, cpu30: 4329816kHz, cpu31: 4341461kHz, cpu4: 4335575kHz, cpu5: 4335660kHz, cpu6: 4285717kHz, cpu7: 4352835kHz, cpu8: 4341967kHz, cpu9: 4382857kHz, 
Sample #17, Timestamp: 1747653545, CPU_Temperature: 63°C, cpu0: 4316285kHz, cpu1: 4302150kHz, cpu10: 4300098kHz, cpu11: 4335588kHz, cpu12: 4292061kHz, cpu13: 4293517kHz, cpu14: 4317010kHz, cpu15: 4289539kHz, cpu16: 4292046kHz, cpu17: 4297490kHz, cpu18: 4340612kHz, cpu19: 4335578kHz, cpu2: 4292286kHz, cpu20: 4286124kHz, cpu21: 4292701kHz, cpu22: 4304412kHz, cpu23: 4294722kHz, cpu24: 4329374kHz, cpu25: 4317013kHz, cpu26: 4302806kHz, cpu27: 4312645kHz, cpu28: 4308704kHz, cpu29: 4320824kHz, cpu3: 4329332kHz, cpu30: 4329342kHz, cpu31: 4368761kHz, cpu4: 4310605kHz, cpu5: 4310600kHz, cpu6: 4313834kHz, cpu7: 4301420kHz, cpu8: 4323070kHz, cpu9: 4292055kHz, 
Sample #18, Timestamp: 1747653545, CPU_Temperature: 63°C, cpu0: 4317470kHz, cpu1: 4304915kHz, cpu10: 4297364kHz, cpu11: 4292864kHz, cpu12: 4285674kHz, cpu13: 4324354kHz, cpu14: 4324356kHz, cpu15: 4317006kHz, cpu16: 4299770kHz, cpu17: 4281159kHz, cpu18: 4292060kHz, cpu19: 4292055kHz, cpu2: 4292051kHz, cpu20: 4292072kHz, cpu21: 4294506kHz, cpu22: 4304257kHz, cpu23: 4294899kHz, cpu24: 4279419kHz, cpu25: 4276170kHz, cpu26: 4304771kHz, cpu27: 4292042kHz, cpu28: 4287920kHz, cpu29: 4287907kHz, cpu3: 4267093kHz, cpu30: 4293787kHz, cpu31: 4293776kHz, cpu4: 4298110kHz, cpu5: 4304351kHz, cpu6: 4324523kHz, cpu7: 4274420kHz, cpu8: 4284365kHz, cpu9: 4299213kHz, 
Sample #19, Timestamp: 1747653546, CPU_Temperature: 63°C, cpu0: 4297791kHz, cpu1: 4297678kHz, cpu10: 4316433kHz, cpu11: 4316439kHz, cpu12: 4292051kHz, cpu13: 4361426kHz, cpu14: 4312384kHz, cpu15: 4292056kHz, cpu16: 4305337kHz, cpu17: 4293217kHz, cpu18: 4282724kHz, cpu19: 4287197kHz, cpu2: 4298168kHz, cpu20: 4285722kHz, cpu21: 4275746kHz, cpu22: 4295548kHz, cpu23: 4295409kHz, cpu24: 4313953kHz, cpu25: 4310636kHz, cpu26: 4292052kHz, cpu27: 4298175kHz, cpu28: 4301833kHz, cpu29: 4292058kHz, cpu3: 4292053kHz, cpu30: 4330748kHz, cpu31: 4331708kHz, cpu4: 4299884kHz, cpu5: 4299291kHz, cpu6: 4292061kHz, cpu7: 4267098kHz, cpu8: 4267101kHz, cpu9: 4273199kHz, 
Sample #20, Timestamp: 1747653547, CPU_Temperature: 63°C, cpu0: 4285672kHz, cpu1: 4307412kHz, cpu10: 4269368kHz, cpu11: 4275238kHz, cpu12: 4262832kHz, cpu13: 4262822kHz, cpu14: 4262818kHz, cpu15: 4267097kHz, cpu16: 4281154kHz, cpu17: 4292053kHz, cpu18: 4338940kHz, cpu19: 4304429kHz, cpu2: 4292046kHz, cpu20: 4285627kHz, cpu21: 4292062kHz, cpu22: 4298162kHz, cpu23: 4284849kHz, cpu24: 4267111kHz, cpu25: 4267102kHz, cpu26: 4254513kHz, cpu27: 4254499kHz, cpu28: 4285628kHz, cpu29: 4285634kHz, cpu3: 4292214kHz, cpu30: 4267147kHz, cpu31: 4254604kHz, cpu4: 4280081kHz, cpu5: 4292043kHz, cpu6: 4285693kHz, cpu7: 4285695kHz, cpu8: 4292060kHz, cpu9: 4292049kHz, 
Sample #21, Timestamp: 1747653547, CPU_Temperature: 63°C, cpu0: 4285681kHz, cpu1: 4292066kHz, cpu10: 4292060kHz, cpu11: 4308063kHz, cpu12: 4308067kHz, cpu13: 4270669kHz, cpu14: 4295276kHz, cpu15: 4358193kHz, cpu16: 4348091kHz, cpu17: 4324713kHz, cpu18: 4296204kHz, cpu19: 4343901kHz, cpu2: 4343908kHz, cpu20: 4285695kHz, cpu21: 4312670kHz, cpu22: 4312670kHz, cpu23: 4315955kHz, cpu24: 4306022kHz, cpu25: 4287381kHz, cpu26: 4329853kHz, cpu27: 4316102kHz, cpu28: 4323155kHz, cpu29: 4310611kHz, cpu3: 4316779kHz, cpu30: 4304386kHz, cpu31: 4292517kHz, cpu4: 4286781kHz, cpu5: 4304428kHz, cpu6: 4292060kHz, cpu7: 4292059kHz, cpu8: 4279459kHz, cpu9: 4317013kHz, 
Sample #22, Timestamp: 1747653548, CPU_Temperature: 63°C, cpu0: 4310624kHz, cpu1: 4304410kHz, cpu10: 4308484kHz, cpu11: 4298188kHz, cpu12: 4308780kHz, cpu13: 4327614kHz, cpu14: 4292055kHz, cpu15: 4304434kHz, cpu16: 4278102kHz, cpu17: 4278100kHz, cpu18: 4348065kHz, cpu19: 4316491kHz, cpu2: 4342331kHz, cpu20: 4304532kHz, cpu21: 4323116kHz, cpu22: 4340412kHz, cpu23: 4346916kHz, cpu24: 4303742kHz, cpu25: 4303632kHz, cpu26: 4303329kHz, cpu27: 4326337kHz, cpu28: 4317003kHz, cpu29: 4298133kHz, cpu3: 4312149kHz, cpu30: 4290257kHz, cpu31: 4323116kHz, cpu4: 4323115kHz, cpu5: 4317002kHz, cpu6: 4316999kHz, cpu7: 4316746kHz, cpu8: 4302257kHz, cpu9: 4333386kHz, 
Sample #23, Timestamp: 1747653548, CPU_Temperature: 63°C, cpu0: 4292066kHz, cpu1: 4291836kHz, cpu10: 4312897kHz, cpu11: 4359236kHz, cpu12: 4355599kHz, cpu13: 4327791kHz, cpu14: 4300238kHz, cpu15: 4298195kHz, cpu16: 4297836kHz, cpu17: 4341974kHz, cpu18: 4329637kHz, cpu19: 4354542kHz, cpu2: 4328794kHz, cpu20: 4329958kHz, cpu21: 4317025kHz, cpu22: 4317005kHz, cpu23: 4393118kHz, cpu24: 4393124kHz, cpu25: 4337035kHz, cpu26: 4298103kHz, cpu27: 4298113kHz, cpu28: 4304373kHz, cpu29: 4322084kHz, cpu3: 4322100kHz, cpu30: 4384218kHz, cpu31: 4303038kHz, cpu4: 4309289kHz, cpu5: 4302868kHz, cpu6: 4323117kHz, cpu7: 4323108kHz, cpu8: 4341963kHz, cpu9: 4331268kHz, 
Sample #24, Timestamp: 1747653549, CPU_Temperature: 63°C, cpu0: 4307180kHz, cpu1: 4321457kHz, cpu10: 4310630kHz, cpu11: 4310652kHz, cpu12: 4327887kHz, cpu13: 4304372kHz, cpu14: 4304305kHz, cpu15: 4299316kHz, cpu16: 4292047kHz, cpu17: 4279404kHz, cpu18: 4311040kHz, cpu19: 4316988kHz, cpu2: 4316994kHz, cpu20: 4316999kHz, cpu21: 4329263kHz, cpu22: 4329262kHz, cpu23: 4279617kHz, cpu24: 4279340kHz, cpu25: 4298163kHz, cpu26: 4298144kHz, cpu27: 4329341kHz, cpu28: 4304464kHz, cpu29: 4298910kHz, cpu3: 4362689kHz, cpu30: 4362683kHz, cpu31: 4320442kHz, cpu4: 4369452kHz, cpu5: 4351561kHz, cpu6: 4329340kHz, cpu7: 4341964kHz, cpu8: 4329325kHz, cpu9: 4329324kHz, 
Sample #25, Timestamp: 1747653550, CPU_Temperature: 63°C, cpu0: 4335224kHz, cpu1: 4298274kHz, cpu10: 4304327kHz, cpu11: 4331038kHz, cpu12: 4286625kHz, cpu13: 4298180kHz, cpu14: 4285705kHz, cpu15: 4310685kHz, cpu16: 4292052kHz, cpu17: 4312428kHz, cpu18: 4312427kHz, cpu19: 4323501kHz, cpu2: 4303891kHz, cpu20: 4292052kHz, cpu21: 4314643kHz, cpu22: 4294342kHz, cpu23: 4302074kHz, cpu24: 4302077kHz, cpu25: 4304405kHz, cpu26: 4285686kHz, cpu27: 4320078kHz, cpu28: 4294425kHz, cpu29: 4292052kHz, cpu3: 4287793kHz, cpu30: 4323122kHz, cpu31: 4277985kHz, cpu4: 4279891kHz, cpu5: 4279282kHz, cpu6: 4273183kHz, cpu7: 4285337kHz, cpu8: 4298581kHz, cpu9: 4303765kHz, 
Sample #26, Timestamp: 1747653550, CPU_Temperature: 63°C, cpu0: 4292043kHz, cpu1: 4269317kHz, cpu10: 4274958kHz, cpu11: 4254453kHz, cpu12: 4253298kHz, cpu13: 4260686kHz, cpu14: 4292049kHz, cpu15: 4267105kHz, cpu16: 4267103kHz, cpu17: 4279343kHz, cpu18: 4285674kHz, cpu19: 4278526kHz, cpu2: 4292060kHz, cpu20: 4281933kHz, cpu21: 4295217kHz, cpu22: 4317009kHz, cpu23: 4288189kHz, cpu24: 4287727kHz, cpu25: 4287711kHz, cpu26: 4287838kHz, cpu27: 4292041kHz, cpu28: 4296411kHz, cpu29: 4293431kHz, cpu3: 4286936kHz, cpu30: 4292040kHz, cpu31: 4285665kHz, cpu4: 4285665kHz, cpu5: 4285659kHz, cpu6: 4292051kHz, cpu7: 4292056kHz, cpu8: 4304420kHz, cpu9: 4310258kHz, 
Sample #27, Timestamp: 1747653551, CPU_Temperature: 63°C, cpu0: 4318074kHz, cpu1: 4323096kHz, cpu10: 4317013kHz, cpu11: 4341954kHz, cpu12: 4341955kHz, cpu13: 4335578kHz, cpu14: 4360575kHz, cpu15: 4362720kHz, cpu16: 4354329kHz, cpu17: 4354287kHz, cpu18: 4360481kHz, cpu19: 4370676kHz, cpu2: 4365384kHz, cpu20: 4351894kHz, cpu21: 4348033kHz, cpu22: 4354273kHz, cpu23: 4354286kHz, cpu24: 4366907kHz, cpu25: 4366918kHz, cpu26: 4386433kHz, cpu27: 4386427kHz, cpu28: 4386426kHz, cpu29: 4474392kHz, cpu3: 4474391kHz, cpu30: 4474361kHz, cpu31: 4484610kHz, cpu4: 4459660kHz, cpu5: 4459653kHz, cpu6: 4400854kHz, cpu7: 4401345kHz, cpu8: 4401345kHz, cpu9: 4401326kHz, 
Sample #28, Timestamp: 1747653552, CPU_Temperature: 63°C, cpu0: 4591510kHz, cpu1: 4591485kHz, cpu10: 4591452kHz, cpu11: 4591448kHz, 1747653552 LOGGER STOPPED
