Scehdulre Latency test
Current CPU threads:  12
Starting hackbench..
cyclictest latency measurement:
# /dev/cpu_dma_latency set to 0us
policy: fifo: loadavg: 138.09 205.17 96.78 610/1223 4964          

T: 9 ( 4962) P:80 I:200 C:    330 Min:   4709 Act:    5446 Avg:    6132 Max:   16787
T:10 ( 4963) P:80 I:200 C:    362 Min:   5132 Act:    6760 Avg:    6678 Max:   47985
T:11 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 752/1223 4964          

T: 0 ( 4953) P:80 I:200 C:    873 Min:   4631 Act:    5968 Avg:    6485 Max:  123341
T: 1 ( 4954) P:80 I:200 C:    562 Min:   4462 Act:    4876 Avg:    6071 Max:   78867
T: 2 ( 4955) P:80 I:200 C:    534 Min:   4138 Act:    5175 Avg:    5581 Max:   11212
T: 3 ( 4956) P:80 I:200 C:     49 Min:   4140 Act:    5808 Avg:    5265 Max:    7215
T: 4 ( 4957) P:80 I:200 C:     73 Min:   5015 Act:    5709 Avg:    6200 Max:    8452
T: 5 ( 4958) P:80 I:200 C:    396 Min:   5033 Act:    6330 Avg:    7138 Max:   46258
T: 6 ( 4959) P:80 I:200 C:    410 Min:   4675 Act:    5991 Avg:    6560 Max:   20000
T: 7 ( 4960) P:80 I:200 C:    390 Min:   5001 Act:    7623 Avg:    6735 Max:   27734
T: 8 ( 4961) P:80 I:200 C:    415 Min:   4940 Act:    6457 Avg:    6218 Max:   11665
T: 9 ( 4962) P:80 I:200 C:    381 Min:   4709 Act:    5374 Avg:    6145 Max:   16787
T:10 ( 4963) P:80 I:200 C:    413 Min:   5132 Act:    7108 Avg:    6659 Max:   47985
T:11 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 813/1223 4964          

T: 0 ( 4953) P:80 I:200 C:    923 Min:   4631 Act:    6120 Avg:    6458 Max:  123341
T: 1 ( 4954) P:80 I:200 C:    613 Min:   4462 Act:    6066 Avg:    6054 Max:   78867
T: 2 ( 4955) P:80 I:200 C:    585 Min:   4138 Act:    4712 Avg:    5616 Max:   11212
T: 3 ( 4956) P:80 I:200 C:     99 Min:   4140 Act:    4418 Avg:    5220 Max:    7215
T: 4 ( 4957) P:80 I:200 C:    124 Min:   5015 Act:    6738 Avg:    6528 Max:   32024
T: 5 ( 4958) P:80 I:200 C:    447 Min:   5033 Act:    6679 Avg:    7206 Max:   46258
T: 6 ( 4959) P:80 I:200 C:    461 Min:   4675 Act:    6108 Avg:    6546 Max:   20000
T: 7 ( 4960) P:80 I:200 C:    440 Min:   5001 Act:    6403 Avg:    6740 Max:   27734
T: 8 ( 4961) P:80 I:200 C:    466 Min:   4940 Act:    9660 Avg:    6219 Max:   11665
T: 9 ( 4962) P:80 I:200 C:    431 Min:   4709 Act:    5837 Avg:    6138 Max:   16787
T:10 ( 4963) P:80 I:200 C:    463 Min:   5132 Act:    6339 Avg:    6628 Max:   47985
T:11 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 849/1223 4964          

T: 0 ( 4953) P:80 I:200 C:    975 Min:   4631 Act:    5963 Avg:    6464 Max:  123341
T: 1 ( 4954) P:80 I:200 C:    665 Min:   4462 Act:    5357 Avg:    6038 Max:   78867
T: 2 ( 4955) P:80 I:200 C:    636 Min:   4138 Act:    5300 Avg:    5614 Max:   11212
T: 3 ( 4956) P:80 I:200 C:    151 Min:   4140 Act:    4501 Avg:    5345 Max:   11158
T: 4 ( 4957) P:80 I:200 C:    176 Min:   5015 Act:    5669 Avg:    6459 Max:   32024
T: 5 ( 4958) P:80 I:200 C:    498 Min:   5033 Act:    6015 Avg:    7166 Max:   46258
T: 6 ( 4959) P:80 I:200 C:    543 Min:   4675 Act:    5962 Avg:    6558 Max:   20000
T: 7 ( 4960) P:80 I:200 C:    523 Min:   5001 Act:    6001 Avg:    6708 Max:   27734
T: 8 ( 4961) P:80 I:200 C:    549 Min:   4940 Act:    5872 Avg:    6224 Max:   11665
T: 9 ( 4962) P:80 I:200 C:    514 Min:   4709 Act:    5786 Avg:    6293 Max:   62319
T:10 ( 4963) P:80 I:200 C:    546 Min:   5132 Act:    5567 Avg:    6603 Max:   47985
T:11 (    0) P:80 I:200 C:      0 Min:1000000 Act:       0 Avg:       0 Max:       0
[14Apolicy: fifo: loadavg: 138.09 205.17 96.78 825/1223 4964          

T: 0 ( 4953) P:80 I:200 C:   1075 Min:   4631 Act:    5517 Avg:    6529 Max:  123341
T: 1 ( 4954) P:80 I:200 C:    765 Min:   4462 Act:    6133 Avg:    6004 Max:   78867
T: 2 ( 4955) P:80 I:200 C:    737 Min:   4138 Act:    4779 Avg:    5600 Max:   11212
T: 3 ( 4956) P:80 I:200 C:    251 Min:   4140 Act:    4746 Avg:    5472 Max:   14717
T: 4 ( 4957) P:80 I:200 C:    276 Min:   4914 Act:    5984 Avg:    6320 Max:   32024
T: 5 ( 4958) P:80 I:200 C:    598 Min:   5033 Act:    7352 Avg:    7052 Max:   46258
T: 6 ( 4959) P:80 I:200 C:    613 Min:   4675 Act:    6436 Avg:    6507 Max:   20000
T: 7 ( 4960) P:80 I:200 C:    592 Min:   5001 Act:    6340 Avg:    6676 Max:   27734
T: 8 ( 4961) P:80 I:200 C:    618 Min:   4940 Act:    6291 Avg:    6230 Max:   11665
T: 9 ( 4962) P:80 I:200 C:    583 Min:   4709 Act:    5363 Avg:    6356 Max:   62319
T:10 ( 4963) P:80 I:200 C:    615 Min:   5132 Act:    6306 Avg:    6594 Max:   47985
