=== Scheduler Fairness Test with PID Logging ===
# Logical CPUs: 12
# CLK_TCK: 100

# Starting Group A (nice 18)

# Starting Group B (nice 10)

# Starting Group C (nice 5)

# Starting Group D (nice -5)
Running in process mode with 12 groups using 12 file descriptors each (== 144 tasks)
Each sender will pass 90000 messages of 512 bytes
Running in process mode with 12 groups using 12 file descriptors each (== 144 tasks)
Each sender will pass 90000 messages of 512 bytes
Running in process mode with 12 groups using 12 file descriptors each (== 144 tasks)
Each sender will pass 90000 messages of 512 bytes
Running in process mode with 12 groups using 12 file descriptors each (== 144 tasks)
Each sender will pass 90000 messages of 512 bytes
# Total PIDs being logged: 465
timestamp,starttime,pid,nice,utime,stime
Start logging...
1747352749.194765383,192773,8593,18,0,0
1747352749.194765383,192773,8594,18,0,0
1747352749.194765383,192773,8595,18,0,0
1747352749.194765383,192773,8597,18,0,0
1747352749.194765383,192773,8599,18,0,0
1747352749.194765383,192773,8601,18,0,0
1747352749.194765383,192773,8603,18,0,0
1747352749.194765383,192773,8605,18,0,0
1747352749.194765383,192773,8607,18,0,0
1747352749.194765383,192773,8610,18,0,0
1747352749.194765383,192773,8612,18,0,0
1747352749.194765383,192773,8614,18,0,0
1747352749.194765383,192773,8618,18,0,0
1747352749.194765383,192773,8622,18,0,0
1747352749.194765383,192773,8625,18,0,0
1747352749.194765383,192773,8628,18,0,0
1747352749.194765383,192773,8631,18,0,0
1747352749.194765383,192773,8634,18,0,0
1747352749.194765383,192773,8637,18,0,0
1747352749.194765383,192773,8638,18,0,0
1747352749.194765383,192773,8642,18,0,0
1747352749.194765383,192773,8643,18,0,0
1747352749.194765383,192773,8647,18,0,0
1747352749.194765383,192773,8649,18,0,0
1747352749.194765383,192773,8653,18,0,0
1747352749.194765383,192773,8655,18,0,0
1747352749.194765383,192773,8659,18,0,0
1747352749.194765383,192773,8662,18,0,0
1747352749.194765383,192773,8664,18,0,0
1747352749.194765383,192773,8669,18,0,0
1747352749.194765383,192773,8671,18,0,0
1747352749.194765383,192773,8674,18,0,0
1747352749.194765383,192773,8677,18,0,0
1747352749.194765383,192773,8609,10,0,1
1747352749.194765383,192773,8616,10,0,0
1747352749.194765383,192773,8621,10,0,1
1747352749.194765383,192773,8627,10,0,1
1747352749.194765383,192773,8632,10,0,1
1747352749.194765383,192773,8639,10,0,1
1747352749.194765383,192773,8645,10,0,1
1747352749.194765383,192773,8651,10,0,1
1747352749.194765383,192773,8657,10,0,1
1747352749.194765383,192773,8663,10,0,1
1747352749.194765383,192773,8667,10,0,1
1747352749.194765383,192773,8673,10,0,1
1747352749.194765383,192773,8679,10,0,1
1747352749.194765383,192773,8686,10,0,1
1747352749.194765383,192773,8693,10,1,0
1747352749.194765383,192773,8700,10,0,1
