=== Scheduler Starvation Test ===
# Logical CPUs: 32
# CLK_TCK: 100

# Starting high-priority load (nice -10)

# Starting victim group (nice 19)
Running in process mode with 64 groups using 8 file descriptors each (== 512 tasks)
Each sender will pass 120000 messages of 512 bytes
Running in process mode with 2 groups using 8 file descriptors each (== 16 tasks)
Each sender will pass 120000 messages of 512 bytes
# High-priority PIDs: 512
# Victim PIDs: 16
# Total PIDs being logged: 528
timestamp,starttime,pid,nice,utime,stime
Start logging...
1747654079.000750148,254509,18058,-10,2,28
1747654079.000750148,254509,18059,-10,2,25
1747654079.000750148,254509,18061,-10,2,24
1747654079.000750148,254509,18063,-10,3,23
1747654079.000750148,254509,18065,-10,1,25
1747654079.000750148,254509,18067,-10,2,26
1747654079.000750148,254509,18069,-10,1,26
1747654079.000750148,254509,18071,-10,2,33
1747654079.000750148,254509,18073,-10,2,26
1747654079.000750148,254509,18075,-10,3,21
1747654079.000750148,254509,18077,-10,1,22
1747654079.000750148,254509,18079,-10,1,26
1747654079.000750148,254509,18081,-10,1,23
1747654079.000750148,254509,18083,-10,0,24
1747654079.000750148,254509,18085,-10,1,24
1747654079.000750148,254509,18087,-10,1,23
1747654079.000750148,254509,18089,-10,2,20
1747654079.000750148,254509,18090,-10,2,19
1747654079.000750148,254509,18092,-10,1,21
1747654079.000750148,254509,18093,-10,1,15
1747654079.000750148,254509,18094,-10,0,22
1747654079.000750148,254509,18095,-10,2,20
1747654079.000750148,254509,18096,-10,2,20
1747654079.000750148,254509,18097,-10,1,20
1747654079.000750148,254509,18098,-10,1,19
1747654079.000750148,254509,18099,-10,0,15
1747654079.000750148,254509,18100,-10,1,20
1747654079.000750148,254509,18101,-10,2,19
1747654079.000750148,254509,18102,-10,1,20
1747654079.000750148,254509,18103,-10,2,19
1747654079.000750148,254509,18104,-10,1,20
1747654079.000750148,254509,18105,-10,0,21
1747654079.000750148,254509,18106,-10,2,18
1747654079.000750148,254509,18107,-10,0,16
1747654079.000750148,254509,18108,-10,2,15
1747654079.000750148,254509,18109,-10,1,18
1747654079.000750148,254509,18110,-10,0,21
1747654079.000750148,254509,18111,-10,0,20
1747654079.000750148,254509,18112,-10,1,20
1747654079.000750148,254509,18113,-10,0,20
1747654079.000750148,254509,18114,-10,3,18
1747654079.000750148,254509,18115,-10,2,19
1747654079.000750148,254509,18116,-10,2,19
1747654079.000750148,254509,18117,-10,1,20
1747654079.000750148,254509,18118,-10,1,13
1747654079.000750148,254509,18119,-10,0,13
1747654079.000750148,254509,18120,-10,0,25
1747654079.000750148,254509,18121,-10,0,26
1747654079.000750148,254509,18122,-10,1,23
1747654079.000750148,254509,18123,-10,1,23
1747654079.000750148,254509,18124,-10,0,24
1747654079.000750148,254509,18125,-10,1,22
1747654079.000750148,254509,18126,-10,2,28
1747654079.000750148,254509,18127,-10,1,25
1747654079.000750148,254509,18128,-10,0,24
1747654079.000750148,254509,18129,-10,2,24
1747654079.000750148,254509,18130,-10,2,13
1747654079.000750148,254509,18131,-10,0,14
1747654079.000750148,254510,18132,-10,0,11
1747654079.000750148,254510,18133,-10,2,13
1747654079.000750148,254510,18134,-10,0,14
1747654079.000750148,254510,18135,-10,0,14
1747654079.000750148,254510,18136,-10,0,15
1747654079.000750148,254510,18137,-10,0,15
1747654079.000750148,254510,18138,-10,1,23
1747654079.000750148,254510,18139,-10,0,25
1747654079.000750148,254510,18140,-10,4,20
1747654079.000750148,254510,18141,-10,1,23
1747654079.000750148,254510,18142,-10,1,28
1747654079.000750148,254510,18143,-10,2,24
1747654079.000750148,254510,18144,-10,1,25
1747654079.000750148,254510,18145,-10,0,25
1747654079.000750148,254510,18146,-10,3,56
1747654079.000750148,254510,18147,-10,6,57
1747654079.000750148,254510,18148,-10,2,56
1747654079.000750148,254510,18149,-10,6,54
1747654079.000750148,254510,18150,-10,4,54
1747654079.000750148,254510,18151,-10,2,55
1747654079.000750148,254510,18152,-10,4,68
1747654079.000750148,254510,18153,-10,2,58
1747654079.000750148,254510,18154,-10,3,23
1747654079.000750148,254510,18155,-10,2,24
1747654079.000750148,254510,18156,-10,1,26
1747654079.000750148,254510,18157,-10,4,23
1747654079.000750148,254510,18158,-10,1,26
1747654079.000750148,254510,18159,-10,1,26
1747654079.000750148,254510,18160,-10,1,26
1747654079.000750148,254510,18161,-10,0,25
1747654079.000750148,254510,18162,-10,2,23
1747654079.000750148,254510,18163,-10,1,24
1747654079.000750148,254510,18164,-10,3,25
1747654079.000750148,254510,18165,-10,2,27
1747654079.000750148,254510,18166,-10,1,27
1747654079.000750148,254510,18167,-10,1,29
1747654079.000750148,254510,18168,-10,0,28
1747654079.000750148,254510,18169,-10,1,27
1747654079.000750148,254510,18170,-10,0,22
