Current logical CPUs: 32
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.1.0-34-amd64 (localhost) 	05/19/25 	_x86_64_	(32 CPU)

11:28:24      UID      TGID       TID   cswch/s nvcswch/s  Command
11:28:25        0        15         -     14.02      0.00  rcu_preempt
11:28:25        0         -        15     14.02      0.00  |__rcu_preempt
11:28:25        0        16         -      0.93      0.00  migration/0
11:28:25        0         -        16      0.93      0.00  |__migration/0
11:28:25        0        17         -      6.54      0.00  kworker/0:1-events_power_efficient
11:28:25        0         -        17      6.54      0.00  |__kworker/0:1-events_power_efficient
11:28:25        0        20         -      0.93      0.00  migration/1
11:28:25        0         -        20      0.93      0.00  |__migration/1
11:28:25        0        21         -      2.80      0.00  ksoftirqd/1
11:28:25        0         -        21      2.80      0.00  |__ksoftirqd/1
11:28:25        0        25         -      0.93      0.00  migration/2
11:28:25        0         -        25      0.93      0.00  |__migration/2
11:28:25        0        30         -      0.93      0.00  migration/3
11:28:25        0         -        30      0.93      0.00  |__migration/3
11:28:25        0        35         -      0.93      0.00  migration/4
11:28:25        0         -        35      0.93      0.00  |__migration/4
11:28:25        0        40         -      0.93      0.00  migration/5
11:28:25        0         -        40      0.93      0.00  |__migration/5
11:28:25        0        45         -      0.93      0.00  migration/6
11:28:25        0         -        45      0.93      0.00  |__migration/6
11:28:25        0        50         -      0.93      0.00  migration/7
11:28:25        0         -        50      0.93      0.00  |__migration/7
11:28:25        0        55         -      0.93      0.00  migration/8
11:28:25        0         -        55      0.93      0.00  |__migration/8
11:28:25        0        60         -      0.93      0.00  migration/9
11:28:25        0         -        60      0.93      0.00  |__migration/9
11:28:25        0        65         -      0.93      0.00  migration/10
11:28:25        0         -        65      0.93      0.00  |__migration/10
11:28:25        0        70         -      0.93      0.00  migration/11
11:28:25        0         -        70      0.93      0.00  |__migration/11
11:28:25        0        75         -      0.93      0.00  migration/12
11:28:25        0         -        75      0.93      0.00  |__migration/12
11:28:25        0        80         -      0.93      0.00  migration/13
11:28:25        0         -        80      0.93      0.00  |__migration/13
11:28:25        0        85         -      0.93      0.00  migration/14
11:28:25        0         -        85      0.93      0.00  |__migration/14
11:28:25        0        90         -      0.93      0.00  migration/15
11:28:25        0         -        90      0.93      0.00  |__migration/15
11:28:25        0        95         -      0.93      0.00  migration/16
