1747100305 LOGGER STARTED
Sample #14, Timestamp: 1747100316, CPU_Temperature: 66°C, cpu0: 1800000kHz, cpu1: 1748976kHz, cpu10: 1471289kHz, cpu11: 1499996kHz, cpu12: 1399997kHz, cpu13: 1400008kHz, cpu14: 1500001kHz, cpu15: 1499995kHz, cpu2: 1799990kHz, cpu3: 1700000kHz, cpu4: 1799995kHz, cpu5: 1792983kHz, cpu6: 1775170kHz, cpu7: 1799995kHz, cpu8: 1476840kHz, cpu9: 1499995kHz, 
Sample #15, Timestamp: 1747100316, CPU_Temperature: 65°C, cpu0: 1799990kHz, cpu1: 1800000kHz, cpu10: 1424869kHz, cpu11: 1445899kHz, cpu12: 1400005kHz, cpu13: 1400008kHz, cpu14: 1425140kHz, cpu15: 1463225kHz, cpu2: 1799995kHz, cpu3: 1755456kHz, cpu4: 1724046kHz, cpu5: 1800004kHz, cpu6: 1743171kHz, cpu7: 1799995kHz, cpu8: 1400012kHz, cpu9: 1399997kHz, 
Sample #16, Timestamp: 1747100316, CPU_Temperature: 65°C, cpu0: 1800000kHz, cpu1: 1776740kHz, cpu10: 1499991kHz, cpu11: 1499998kHz, cpu12: 1399995kHz, cpu13: 1400003kHz, cpu14: 1400002kHz, cpu15: 1399993kHz, cpu2: 1800000kHz, cpu3: 1724838kHz, cpu4: 1799149kHz, cpu5: 1778069kHz, cpu6: 1770996kHz, cpu7: 1753644kHz, cpu8: 1470251kHz, cpu9: 1429656kHz, 
Sample #17, Timestamp: 1747100317, CPU_Temperature: 65°C, cpu0: 1796830kHz, cpu1: 1799990kHz, cpu10: 1399992kHz, cpu11: 1400000kHz, cpu12: 1486542kHz, cpu13: 1463831kHz, cpu14: 1436794kHz, cpu15: 1400002kHz, cpu2: 1700000kHz, cpu3: 1705556kHz, cpu4: 1793886kHz, cpu5: 1768961kHz, cpu6: 1699995kHz, cpu7: 1799298kHz, cpu8: 1400000kHz, cpu9: 1399996kHz, 
Sample #18, Timestamp: 1747100317, CPU_Temperature: 65°C, cpu0: 1724274kHz, cpu1: 1800004kHz, cpu10: 1447050kHz, cpu11: 1452925kHz, cpu12: 1446146kHz, cpu13: 1446459kHz, cpu14: 1453363kHz, cpu15: 1471109kHz, cpu2: 1728374kHz, cpu3: 1742488kHz, cpu4: 1778543kHz, cpu5: 1763306kHz, cpu6: 1785518kHz, cpu7: 1753152kHz, cpu8: 1399982kHz, cpu9: 1488321kHz, 
Sample #19, Timestamp: 1747100317, CPU_Temperature: 66°C, cpu0: 1799995kHz, cpu1: 1800000kHz, cpu10: 1399996kHz, cpu11: 1425440kHz, cpu12: 1400006kHz, cpu13: 1399993kHz, cpu14: 1427747kHz, cpu15: 1471457kHz, cpu2: 1734754kHz, cpu3: 1753760kHz, cpu4: 1799995kHz, cpu5: 1755157kHz, cpu6: 1799986kHz, cpu7: 1799990kHz, cpu8: 1479631kHz, cpu9: 1494782kHz, 
Sample #20, Timestamp: 1747100318, CPU_Temperature: 66°C, cpu0: 1800000kHz, cpu1: 1800000kHz, cpu10: 1499983kHz, cpu11: 1500006kHz, cpu12: 1500004kHz, cpu13: 1500005kHz, cpu14: 1499997kHz, cpu15: 1497327kHz, cpu2: 1700004kHz, cpu3: 1705520kHz, cpu4: 1799995kHz, cpu5: 1800000kHz, cpu6: 1770959kHz, cpu7: 1728755kHz, cpu8: 1436557kHz, cpu9: 1499995kHz, 
Sample #21, Timestamp: 1747100318, CPU_Temperature: 66°C, cpu0: 1800004kHz, cpu1: 1800000kHz, cpu10: 1480984kHz, cpu11: 1474215kHz, cpu12: 1400008kHz, cpu13: 1470628kHz, cpu14: 1429493kHz, cpu15: 1477207kHz, cpu2: 1772501kHz, cpu3: 1723935kHz, cpu4: 1800000kHz, cpu5: 1781513kHz, cpu6: 1799995kHz, cpu7: 1800004kHz, cpu8: 1499993kHz, cpu9: 1500002kHz, 
Sample #22, Timestamp: 1747100319, CPU_Temperature: 64°C, cpu0: 1726399kHz, cpu1: 1754074kHz, cpu10: 1418592kHz, cpu11: 1499997kHz, cpu12: 1448117kHz, cpu13: 1400001kHz, cpu14: 1405429kHz, cpu15: 1499999kHz, cpu2: 1787552kHz, cpu3: 1712681kHz, cpu4: 1800004kHz, cpu5: 1800000kHz, cpu6: 1799990kHz, cpu7: 1800009kHz, cpu8: 1499988kHz, cpu9: 1499995kHz, 
Sample #23, Timestamp: 1747100319, CPU_Temperature: 64°C, cpu0: 1752870kHz, cpu1: 1800000kHz, cpu10: 1399989kHz, cpu11: 1456168kHz, cpu12: 1400007kHz, cpu13: 1499987kHz, cpu14: 1493204kHz, cpu15: 1499999kHz, cpu2: 1700000kHz, cpu3: 1799995kHz, cpu4: 1799995kHz, cpu5: 1777041kHz, cpu6: 1800009kHz, cpu7: 1800004kHz, cpu8: 1500006kHz, cpu9: 1500001kHz, 
Sample #24, Timestamp: 1747100320, CPU_Temperature: 64°C, cpu0: 1800000kHz, cpu1: 1773966kHz, cpu10: 1453632kHz, cpu11: 1500000kHz, cpu12: 1499994kHz, cpu13: 1499994kHz, cpu14: 1500011kHz, cpu15: 1399998kHz, cpu2: 1755578kHz, cpu3: 1767314kHz, cpu4: 1776181kHz, cpu5: 1776171kHz, cpu6: 1747132kHz, cpu7: 1752077kHz, cpu8: 1500003kHz, cpu9: 1499999kHz, 
Sample #25, Timestamp: 1747100320, CPU_Temperature: 65°C, cpu0: 1799995kHz, cpu1: 1700000kHz, cpu10: 1399999kHz, cpu11: 1422540kHz, cpu12: 1499992kHz, cpu13: 1454851kHz, cpu14: 1500004kHz, cpu15: 1399998kHz, cpu2: 1706204kHz, cpu3: 1700004kHz, cpu4: 1800000kHz, cpu5: 1800000kHz, cpu6: 1788425kHz, cpu7: 1699991kHz, cpu8: 1462113kHz, cpu9: 1499990kHz, 
Sample #26, Timestamp: 1747100321, CPU_Temperature: 65°C, cpu0: 1800000kHz, cpu1: 1799995kHz, cpu10: 1456410kHz, cpu11: 1500000kHz, cpu12: 1499991kHz, cpu13: 1447430kHz, cpu14: 1477356kHz, cpu15: 1500003kHz, cpu2: 1800000kHz, cpu3: 1772423kHz, cpu4: 1800000kHz, cpu5: 1800000kHz, cpu6: 1755127kHz, cpu7: 1755283kHz, cpu8: 1500007kHz, cpu9: 1499994kHz, 
Sample #27, Timestamp: 1747100321, CPU_Temperature: 65°C, cpu0: 1762726kHz, cpu1: 1800000kHz, cpu10: 1424351kHz, cpu11: 1500012kHz, cpu12: 1471351kHz, cpu13: 1499996kHz, cpu14: 1493570kHz, cpu15: 1400003kHz, cpu2: 1725745kHz, cpu3: 1799986kHz, cpu4: 1800000kHz, cpu5: 1800004kHz, cpu6: 1800004kHz, cpu7: 1800004kHz, cpu8: 1500004kHz, cpu9: 1499998kHz, 
