1747353586 LOGGER STARTED
Sample #14, Timestamp: 1747353595, CPU_Temperature: 56°C, cpu0: 1800000kHz, cpu1: 1799995kHz, cpu10: 1499988kHz, cpu11: 1499987kHz, cpu12: 1500005kHz, cpu13: 1500011kHz, cpu14: 1500007kHz, cpu15: 1500005kHz, cpu2: 1800004kHz, cpu3: 1800000kHz, cpu4: 1800000kHz, cpu5: 1800000kHz, cpu6: 1799995kHz, cpu7: 1800004kHz, cpu8: 1499996kHz, cpu9: 1499988kHz, 
Sample #15, Timestamp: 1747353595, CPU_Temperature: 60°C, cpu0: 1803286kHz, cpu1: 1839902kHz, cpu10: 1500010kHz, cpu11: 1500006kHz, cpu12: 1500002kHz, cpu13: 1500005kHz, cpu14: 1500003kHz, cpu15: 1499989kHz, cpu2: 1799995kHz, cpu3: 1899995kHz, cpu4: 1838903kHz, cpu5: 1800000kHz, cpu6: 1800004kHz, cpu7: 1855492kHz, cpu8: 1500002kHz, cpu9: 1499997kHz, 
Sample #16, Timestamp: 1747353596, CPU_Temperature: 60°C, cpu0: 1800004kHz, cpu1: 1815400kHz, cpu10: 1500007kHz, cpu11: 1499997kHz, cpu12: 1499992kHz, cpu13: 1500005kHz, cpu14: 1500005kHz, cpu15: 1499994kHz, cpu2: 1855694kHz, cpu3: 1881493kHz, cpu4: 1900000kHz, cpu5: 1817993kHz, cpu6: 1824348kHz, cpu7: 1815624kHz, cpu8: 1499992kHz, cpu9: 1499990kHz, 
Sample #17, Timestamp: 1747353596, CPU_Temperature: 60°C, cpu0: 1868328kHz, cpu1: 1842507kHz, cpu10: 1500012kHz, cpu11: 1500012kHz, cpu12: 1500001kHz, cpu13: 1500001kHz, cpu14: 1500005kHz, cpu15: 1499998kHz, cpu2: 1828794kHz, cpu3: 1869021kHz, cpu4: 1842900kHz, cpu5: 1800000kHz, cpu6: 1856329kHz, cpu7: 1832974kHz, cpu8: 1499993kHz, cpu9: 1500004kHz, 
Sample #18, Timestamp: 1747353596, CPU_Temperature: 61°C, cpu0: 1835269kHz, cpu1: 1799990kHz, cpu10: 1499986kHz, cpu11: 1500004kHz, cpu12: 1500004kHz, cpu13: 1500005kHz, cpu14: 1499993kHz, cpu15: 1500007kHz, cpu2: 1861758kHz, cpu3: 1797536kHz, cpu4: 1700000kHz, cpu5: 1700000kHz, cpu6: 1700008kHz, cpu7: 1400000kHz, cpu8: 1200007kHz, cpu9: 1099992kHz, 
Sample #19, Timestamp: 1747353597, CPU_Temperature: 61°C, cpu0: 999994kHz, cpu1: 999997kHz, cpu10: 900001kHz, cpu11: 900005kHz, cpu12: 799994kHz, cpu13: 800005kHz, cpu14: 799996kHz, cpu15: 799999kHz, cpu2: 900002kHz, cpu3: 900002kHz, cpu4: 900004kHz, cpu5: 900000kHz, cpu6: 900002kHz, cpu7: 900009kHz, cpu8: 799997kHz, cpu9: 799999kHz, 
Sample #20, Timestamp: 1747353597, CPU_Temperature: 56°C, cpu0: 900000kHz, cpu1: 900002kHz, cpu10: 800000kHz, cpu11: 799998kHz, cpu12: 800003kHz, cpu13: 799996kHz, cpu14: 799995kHz, cpu15: 799996kHz, cpu2: 900006kHz, cpu3: 900006kHz, cpu4: 900004kHz, cpu5: 899995kHz, cpu6: 899997kHz, cpu7: 899993kHz, cpu8: 800000kHz, cpu9: 800002kHz, 
Sample #21, Timestamp: 1747353598, CPU_Temperature: 56°C, cpu0: 900000kHz, cpu1: 837819kHz, cpu10: 800001kHz, cpu11: 800001kHz, cpu12: 771138kHz, cpu13: 758314kHz, cpu14: 756906kHz, cpu15: 795785kHz, cpu2: 889675kHz, cpu3: 779831kHz, cpu4: 900004kHz, cpu5: 899995kHz, cpu6: 873948kHz, cpu7: 900002kHz, cpu8: 800001kHz, cpu9: 799992kHz, 
Sample #22, Timestamp: 1747353598, CPU_Temperature: 55°C, cpu0: 900000kHz, cpu1: 882350kHz, cpu10: 800001kHz, cpu11: 899998kHz, cpu12: 900000kHz, cpu13: 999997kHz, cpu14: 1200001kHz, cpu15: 1199997kHz, cpu2: 1600004kHz, cpu3: 1599995kHz, cpu4: 1600004kHz, cpu5: 1700004kHz, cpu6: 1700000kHz, cpu7: 1699995kHz, cpu8: 1400000kHz, cpu9: 1400015kHz, 
Sample #23, Timestamp: 1747353599, CPU_Temperature: 55°C, cpu0: 1800009kHz, cpu1: 1799995kHz, cpu10: 1500005kHz, cpu11: 1499994kHz, cpu12: 1499986kHz, cpu13: 1500010kHz, cpu14: 1500000kHz, cpu15: 1500009kHz, cpu2: 1799995kHz, cpu3: 1800000kHz, cpu4: 1800004kHz, cpu5: 1800000kHz, cpu6: 1800000kHz, cpu7: 1800000kHz, cpu8: 1500008kHz, cpu9: 1499997kHz, 
Sample #24, Timestamp: 1747353599, CPU_Temperature: 55°C, cpu0: 1892462kHz, cpu1: 1858617kHz, cpu10: 1500007kHz, cpu11: 1499988kHz, cpu12: 1500000kHz, cpu13: 1499989kHz, cpu14: 1499999kHz, cpu15: 1500003kHz, cpu2: 1803662kHz, cpu3: 1829370kHz, cpu4: 1800000kHz, cpu5: 1831124kHz, cpu6: 1867579kHz, cpu7: 1845098kHz, cpu8: 1499996kHz, cpu9: 1500006kHz, 
Sample #25, Timestamp: 1747353600, CPU_Temperature: 61°C, cpu0: 1869272kHz, cpu1: 1808554kHz, cpu10: 1500006kHz, cpu11: 1500007kHz, cpu12: 1499994kHz, cpu13: 1500007kHz, cpu14: 1499982kHz, cpu15: 1500012kHz, cpu2: 1863371kHz, cpu3: 1855314kHz, cpu4: 1900000kHz, cpu5: 1800000kHz, cpu6: 1799990kHz, cpu7: 1895057kHz, cpu8: 1499993kHz, cpu9: 1500002kHz, 
Sample #26, Timestamp: 1747353600, CPU_Temperature: 61°C, cpu0: 1830920kHz, cpu1: 1807033kHz, cpu10: 1499987kHz, cpu11: 1500002kHz, cpu12: 1500001kHz, cpu13: 1499994kHz, cpu14: 1499985kHz, cpu15: 1499995kHz, cpu2: 1870388kHz, cpu3: 1844368kHz, cpu4: 1800000kHz, cpu5: 1899995kHz, cpu6: 1900004kHz, cpu7: 1600004kHz, cpu8: 1400007kHz, cpu9: 1099998kHz, 
Sample #27, Timestamp: 1747353601, CPU_Temperature: 57°C, cpu0: 1000004kHz, cpu1: 999997kHz, cpu10: 900000kHz, cpu11: 900002kHz, cpu12: 899996kHz, cpu13: 899994kHz, cpu14: 900001kHz, cpu15: 900002kHz, cpu2: 1000002kHz, cpu3: 1000002kHz, cpu4: 900004kHz, cpu5: 899990kHz, cpu6: 900006kHz, cpu7: 899995kHz, cpu8: 799993kHz, cpu9: 800001kHz, 
Sample #28, Timestamp: 1747353601, CPU_Temperature: 57°C, cpu0: 900000kHz, cpu1: 900000kHz, cpu10: 800002kHz, cpu11: 799994kHz, cpu12: 799997kHz, cpu13: 800001kHz, cpu14: 800001kHz, cpu15: 799998kHz, cpu2: 899997kHz, cpu3: 900004kHz, cpu4: 900002kHz, cpu5: 899997kHz, cpu6: 900004kHz, cpu7: 899990kHz, cpu8: 799989kHz, cpu9: 799994kHz, 
Sample #29, Timestamp: 1747353602, CPU_Temperature: 56°C, cpu0: 864700kHz, cpu1: 839410kHz, cpu10: 764168kHz, cpu11: 716557kHz, cpu12: 729665kHz, cpu13: 799999kHz, cpu14: 800000kHz, cpu15: 799994kHz, cpu2: 800004kHz, cpu3: 799995kHz, cpu4: 900006kHz, cpu5: 900004kHz, cpu6: 836498kHz, cpu7: 900000kHz, cpu8: 800004kHz, cpu9: 800007kHz, 
