1747348943 LOGGER STARTED
Sample #17, Timestamp: 1747348962, CPU_Temperature: 62°C, cpu0: 3642667kHz, cpu1: 3642670kHz, cpu10: 3642629kHz, cpu11: 3642668kHz, cpu2: 3642662kHz, cpu3: 3642428kHz, cpu4: 3642670kHz, cpu5: 3642673kHz, cpu6: 3642668kHz, cpu7: 3642661kHz, cpu8: 3642672kHz, cpu9: 3642579kHz, 
Sample #18, Timestamp: 1747348962, CPU_Temperature: 62°C, cpu0: 3642658kHz, cpu1: 3642681kHz, cpu10: 3642676kHz, cpu11: 3642663kHz, cpu2: 3642671kHz, cpu3: 3642395kHz, cpu4: 3642671kHz, cpu5: 3642663kHz, cpu6: 3642666kHz, cpu7: 3642666kHz, cpu8: 3642666kHz, cpu9: 3642473kHz, 
Sample #19, Timestamp: 1747348963, CPU_Temperature: 62°C, cpu0: 3642677kHz, cpu1: 3642668kHz, cpu10: 3642627kHz, cpu11: 3642662kHz, cpu2: 3642663kHz, cpu3: 3642671kHz, cpu4: 3642670kHz, cpu5: 3642671kHz, cpu6: 3642675kHz, cpu7: 3642660kHz, cpu8: 3642668kHz, cpu9: 3642343kHz, 
Sample #20, Timestamp: 1747348964, CPU_Temperature: 62°C, cpu0: 3642667kHz, cpu1: 3642669kHz, cpu10: 3642633kHz, cpu11: 3642672kHz, cpu2: 3642671kHz, cpu3: 3642669kHz, cpu4: 3642670kHz, cpu5: 3642682kHz, cpu6: 3642666kHz, cpu7: 3642671kHz, cpu8: 3642670kHz, cpu9: 3642663kHz, 
Sample #21, Timestamp: 1747348965, CPU_Temperature: 62°C, cpu0: 3642665kHz, cpu1: 3642676kHz, cpu10: 3642593kHz, cpu11: 3642665kHz, cpu2: 3642668kHz, cpu3: 3642466kHz, cpu4: 3642649kHz, cpu5: 3642675kHz, cpu6: 3642670kHz, cpu7: 3642672kHz, cpu8: 3642675kHz, cpu9: 3642562kHz, 
Sample #22, Timestamp: 1747348966, CPU_Temperature: 62°C, cpu0: 3642666kHz, cpu1: 3642667kHz, cpu10: 3642670kHz, cpu11: 3642673kHz, cpu2: 3642669kHz, cpu3: 3642364kHz, cpu4: 3642439kHz, cpu5: 3642674kHz, cpu6: 3642665kHz, cpu7: 3642676kHz, cpu8: 3642677kHz, cpu9: 3642390kHz, 
Sample #23, Timestamp: 1747348966, CPU_Temperature: 62°C, cpu0: 3642677kHz, cpu1: 3642662kHz, cpu10: 3642584kHz, cpu11: 3642675kHz, cpu2: 3642668kHz, cpu3: 3642148kHz, cpu4: 3642551kHz, cpu5: 3642658kHz, cpu6: 3642658kHz, cpu7: 3642673kHz, cpu8: 3642677kHz, cpu9: 3642015kHz, 
Sample #24, Timestamp: 1747348967, CPU_Temperature: 62°C, cpu0: 3642658kHz, cpu1: 3642661kHz, cpu10: 3642620kHz, cpu11: 3642670kHz, cpu2: 3642676kHz, cpu3: 3642233kHz, cpu4: 3642657kHz, cpu5: 3642663kHz, cpu6: 3642665kHz, cpu7: 3642663kHz, cpu8: 3642655kHz, cpu9: 3642622kHz, 
Sample #25, Timestamp: 1747348968, CPU_Temperature: 62°C, cpu0: 3642674kHz, cpu1: 3642679kHz, cpu10: 3642637kHz, cpu11: 3642675kHz, cpu2: 3642662kHz, cpu3: 3642584kHz, cpu4: 3642565kHz, cpu5: 3642667kHz, cpu6: 3642661kHz, cpu7: 3642655kHz, cpu8: 3642663kHz, cpu9: 3642571kHz, 
Sample #26, Timestamp: 1747348968, CPU_Temperature: 62°C, cpu0: 3642670kHz, cpu1: 3642664kHz, cpu10: 3642756kHz, cpu11: 3642671kHz, cpu2: 3642664kHz, cpu3: 3642674kHz, cpu4: 3642624kHz, cpu5: 3642657kHz, cpu6: 3642675kHz, cpu7: 3642669kHz, cpu8: 3642671kHz, cpu9: 3642664kHz, 
Sample #27, Timestamp: 1747348968, CPU_Temperature: 62°C, cpu0: 3642661kHz, cpu1: 3642658kHz, cpu10: 3642577kHz, cpu11: 3642656kHz, cpu2: 3642677kHz, cpu3: 3642579kHz, cpu4: 3642642kHz, cpu5: 3642671kHz, cpu6: 3642671kHz, cpu7: 3642666kHz, cpu8: 3642663kHz, cpu9: 3642444kHz, 
Sample #28, Timestamp: 1747348969, CPU_Temperature: 62°C, cpu0: 3642660kHz, cpu1: 3642659kHz, cpu10: 3642676kHz, cpu11: 3642660kHz, cpu2: 3642671kHz, cpu3: 3642667kHz, cpu4: 3642662kHz, cpu5: 3642658kHz, cpu6: 3642661kHz, cpu7: 3642671kHz, cpu8: 3642675kHz, cpu9: 3642671kHz, 
Sample #29, Timestamp: 1747348970, CPU_Temperature: 62°C, cpu0: 3642676kHz, cpu1: 3642662kHz, cpu10: 3642659kHz, cpu11: 3642663kHz, cpu2: 3642671kHz, cpu3: 3642579kHz, cpu4: 3642670kHz, cpu5: 3642671kHz, cpu6: 3642664kHz, cpu7: 3642675kHz, cpu8: 3642665kHz, cpu9: 3642528kHz, 
Sample #30, Timestamp: 1747348970, CPU_Temperature: 62°C, cpu0: 3642666kHz, cpu1: 3642666kHz, cpu10: 3642662kHz, cpu11: 3642667kHz, cpu2: 3642670kHz, cpu3: 3642663kHz, cpu4: 3642649kHz, cpu5: 3642674kHz, cpu6: 3642658kHz, cpu7: 3642669kHz, cpu8: 3642660kHz, cpu9: 3642330kHz, 
Sample #31, Timestamp: 1747348971, CPU_Temperature: 62°C, cpu0: 3642672kHz, cpu1: 3642674kHz, cpu10: 3642669kHz, cpu11: 3642665kHz, cpu2: 3642670kHz, cpu3: 3642670kHz, cpu4: 3642673kHz, cpu5: 3642667kHz, cpu6: 3642675kHz, cpu7: 3642658kHz, cpu8: 3642670kHz, cpu9: 3642504kHz, 
Sample #32, Timestamp: 1747348971, CPU_Temperature: 62°C, cpu0: 3642671kHz, cpu1: 3642677kHz, cpu10: 3642524kHz, cpu11: 3642666kHz, cpu2: 3642673kHz, cpu3: 3642623kHz, cpu4: 3642599kHz, cpu5: 3642664kHz, cpu6: 3642677kHz, cpu7: 3642658kHz, cpu8: 3642665kHz, cpu9: 3642168kHz, 
Sample #33, Timestamp: 1747348972, CPU_Temperature: 62°C, cpu0: 3642671kHz, cpu1: 3642662kHz, cpu10: 3642674kHz, cpu11: 3642672kHz, cpu2: 3642660kHz, cpu3: 3642658kHz, cpu4: 3642644kHz, cpu5: 3642672kHz, cpu6: 3642676kHz, cpu7: 3642670kHz, cpu8: 3642656kHz, cpu9: 3642663kHz, 
Sample #34, Timestamp: 1747348973, CPU_Temperature: 62°C, cpu0: 3642662kHz, cpu1: 3642672kHz, cpu10: 3642471kHz, cpu11: 3642681kHz, cpu2: 3642671kHz, cpu3: 3642670kHz, cpu4: 3642513kHz, cpu5: 3642666kHz, cpu6: 3642670kHz, cpu7: 3642675kHz, cpu8: 3642662kHz, cpu9: 3642666kHz, 
Sample #35, Timestamp: 1747348975, CPU_Temperature: 62°C, cpu0: 3642668kHz, cpu1: 3642671kHz, cpu10: 3642441kHz, cpu11: 3642658kHz, cpu2: 3642674kHz, cpu3: 3642656kHz, cpu4: 3642633kHz, cpu5: 3642666kHz, cpu6: 3642662kHz, cpu7: 3642669kHz, cpu8: 3642660kHz, cpu9: 3642368kHz, 
Sample #36, Timestamp: 1747348975, CPU_Temperature: 62°C, cpu0: 3642665kHz, cpu1: 3642679kHz, cpu10: 3642679kHz, cpu11: 3642666kHz, cpu2: 3642666kHz, cpu3: 3642615kHz, cpu4: 3642547kHz, cpu5: 3642660kHz, cpu6: 3642675kHz, cpu7: 3642658kHz, cpu8: 3642667kHz, cpu9: 3642513kHz, 
Sample #37, Timestamp: 1747348977, CPU_Temperature: 63°C, cpu0: 3642664kHz, cpu1: 3642664kHz, cpu10: 3642664kHz, cpu11: 3642668kHz, cpu2: 3642670kHz, cpu3: 3642210kHz, cpu4: 3642670kHz, cpu5: 3642672kHz, cpu6: 3642676kHz, cpu7: 3642666kHz, cpu8: 3642665kHz, cpu9: 3642570kHz, 
Sample #38, Timestamp: 1747348977, CPU_Temperature: 63°C, cpu0: 3642668kHz, cpu1: 3642666kHz, cpu10: 3642539kHz, cpu11: 3642668kHz, cpu2: 3642667kHz, cpu3: 3642331kHz, cpu4: 3642654kHz, cpu5: 3642659kHz, cpu6: 3642664kHz, cpu7: 3642667kHz, cpu8: 3642671kHz, cpu9: 3642593kHz, 
Sample #39, Timestamp: 1747348978, CPU_Temperature: 63°C, cpu0: 3642672kHz, cpu1: 3642661kHz, cpu10: 3642661kHz, cpu11: 3642667kHz, cpu2: 3642669kHz, cpu3: 3642671kHz, cpu4: 3642454kHz, cpu5: 3641383kHz, cpu6: 3642671kHz, cpu7: 3642673kHz, cpu8: 3642662kHz, cpu9: 3642579kHz, 
Sample #40, Timestamp: 1747348978, CPU_Temperature: 63°C, cpu0: 3642662kHz, cpu1: 3642673kHz, cpu10: 3642658kHz, cpu11: 3641323kHz, cpu2: 3642672kHz, cpu3: 3642669kHz, cpu4: 3642666kHz, cpu5: 3642679kHz, cpu6: 3642662kHz, cpu7: 3642664kHz, cpu8: 3642666kHz, cpu9: 3642635kHz, 
Sample #41, Timestamp: 1747348980, CPU_Temperature: 63°C, cpu0: 3642670kHz, cpu1: 3642670kHz, cpu10: 3642656kHz, cpu11: 3642665kHz, cpu2: 3642672kHz, cpu3: 3642512kHz, cpu4: 3642643kHz, cpu5: 3642660kHz, cpu6: 3642670kHz, cpu7: 3642669kHz, cpu8: 3642672kHz, cpu9: 3642668kHz, 
Sample #42, Timestamp: 1747348981, CPU_Temperature: 63°C, cpu0: 3642669kHz, cpu1: 3642666kHz, cpu10: 3642615kHz, cpu11: 3642671kHz, cpu2: 3642672kHz, cpu3: 3642588kHz, cpu4: 3642672kHz, cpu5: 3642676kHz, cpu6: 3642669kHz, cpu7: 3642663kHz, cpu8: 3642670kHz, cpu9: 3642427kHz, 
Sample #43, Timestamp: 1747348982, CPU_Temperature: 63°C, cpu0: 3642664kHz, cpu1: 3642672kHz, cpu10: 3642610kHz, cpu11: 3642662kHz, cpu2: 3642678kHz, cpu3: 3642670kHz, cpu4: 3642677kHz, cpu5: 3642659kHz, cpu6: 3642669kHz, cpu7: 3642669kHz, cpu8: 3642663kHz, cpu9: 3642430kHz, 
Sample #44, Timestamp: 1747348983, CPU_Temperature: 63°C, cpu0: 3642672kHz, cpu1: 3642661kHz, cpu10: 3642594kHz, cpu11: 3642662kHz, cpu2: 3642675kHz, cpu3: 3642662kHz, cpu4: 3642420kHz, cpu5: 3642660kHz, cpu6: 3642672kHz, cpu7: 3642676kHz, cpu8: 3642678kHz, cpu9: 3642454kHz, 
Sample #45, Timestamp: 1747348983, CPU_Temperature: 63°C, cpu0: 3642661kHz, cpu1: 3642669kHz, cpu10: 3642665kHz, cpu11: 3642674kHz, cpu2: 3642677kHz, cpu3: 3642359kHz, cpu4: 3642494kHz, cpu5: 3642674kHz, cpu6: 3642670kHz, cpu7: 3642664kHz, cpu8: 3642668kHz, cpu9: 3642664kHz, 
Sample #46, Timestamp: 1747348984, CPU_Temperature: 63°C, cpu0: 3642680kHz, cpu1: 3642669kHz, cpu10: 3642670kHz, cpu11: 3642667kHz, cpu2: 3642675kHz, cpu3: 3642538kHz, cpu4: 3642673kHz, cpu5: 3642675kHz, cpu6: 3642661kHz, cpu7: 3642675kHz, cpu8: 3642670kHz, cpu9: 3642513kHz, 
Sample #47, Timestamp: 1747348984, CPU_Temperature: 63°C, cpu0: 3642661kHz, cpu1: 3642666kHz, cpu10: 3642674kHz, cpu11: 3642660kHz, cpu2: 3642665kHz, cpu3: 3642618kHz, cpu4: 3642675kHz, cpu5: 3642670kHz, cpu6: 3642667kHz, cpu7: 3642660kHz, cpu8: 3642667kHz, cpu9: 3642484kHz, 
