Sample #14, Timestamp: 1747088909, CPU_Temperature: 64°C, cpu0: 1769546kHz, cpu1: 1800000kHz, cpu10: 1424318kHz, cpu11: 1499999kHz, cpu12: 1500007kHz, cpu13: 1500008kHz, cpu14: 1500004kHz, cpu15: 1408257kHz, cpu2: 1800004kHz, cpu3: 1799990kHz, cpu4: 1800000kHz, cpu5: 1800004kHz, cpu6: 1800000kHz, cpu7: 1799995kHz, cpu8: 1499983kHz, cpu9: 1500005kHz, 
Sample #15, Timestamp: 1747088909, CPU_Temperature: 64°C, cpu0: 1800000kHz, cpu1: 1800009kHz, cpu10: 1479885kHz, cpu11: 1467195kHz, cpu12: 1499992kHz, cpu13: 1400015kHz, cpu14: 1481886kHz, cpu15: 1478326kHz, cpu2: 1800000kHz, cpu3: 1720742kHz, cpu4: 1800000kHz, cpu5: 1800000kHz, cpu6: 1799995kHz, cpu7: 1800009kHz, cpu8: 1500006kHz, cpu9: 1499998kHz, 
Sample #16, Timestamp: 1747088910, CPU_Temperature: 66°C, cpu0: 1799995kHz, cpu1: 1800004kHz, cpu10: 1500005kHz, cpu11: 1499999kHz, cpu12: 1499994kHz, cpu13: 1499998kHz, cpu14: 1499997kHz, cpu15: 1500000kHz, cpu2: 1800004kHz, cpu3: 1800004kHz, cpu4: 1799995kHz, cpu5: 1800000kHz, cpu6: 1799995kHz, cpu7: 1800004kHz, cpu8: 1500000kHz, cpu9: 1499997kHz, 
Sample #17, Timestamp: 1747088910, CPU_Temperature: 66°C, cpu0: 1799995kHz, cpu1: 1800000kHz, cpu10: 1500007kHz, cpu11: 1500001kHz, cpu12: 1499998kHz, cpu13: 1500008kHz, cpu14: 1499996kHz, cpu15: 1499994kHz, cpu2: 1799995kHz, cpu3: 1800000kHz, cpu4: 1800004kHz, cpu5: 1799995kHz, cpu6: 1800000kHz, cpu7: 1799995kHz, cpu8: 1499993kHz, cpu9: 1499998kHz, 
Sample #18, Timestamp: 1747088911, CPU_Temperature: 64°C, cpu0: 1799995kHz, cpu1: 1800004kHz, cpu10: 1500001kHz, cpu11: 1500003kHz, cpu12: 1499997kHz, cpu13: 1499989kHz, cpu14: 1499987kHz, cpu15: 1499994kHz, cpu2: 1799995kHz, cpu3: 1799995kHz, cpu4: 1800004kHz, cpu5: 1800000kHz, cpu6: 1800000kHz, cpu7: 1800004kHz, cpu8: 1500007kHz, cpu9: 1500003kHz, 
Sample #19, Timestamp: 1747088912, CPU_Temperature: 64°C, cpu0: 1800004kHz, cpu1: 1800000kHz, cpu10: 1500004kHz, cpu11: 1499991kHz, cpu12: 1500006kHz, cpu13: 1499996kHz, cpu14: 1499999kHz, cpu15: 1500005kHz, cpu2: 1800004kHz, cpu3: 1800013kHz, cpu4: 1799995kHz, cpu5: 1799995kHz, cpu6: 1800000kHz, cpu7: 1800000kHz, cpu8: 1499998kHz, cpu9: 1499997kHz, 
Sample #20, Timestamp: 1747088912, CPU_Temperature: 66°C, cpu0: 1800000kHz, cpu1: 1800004kHz, cpu10: 1499995kHz, cpu11: 1500006kHz, cpu12: 1500000kHz, cpu13: 1499981kHz, cpu14: 1499995kHz, cpu15: 1500006kHz, cpu2: 1800000kHz, cpu3: 1849490kHz, cpu4: 1800004kHz, cpu5: 1799990kHz, cpu6: 1799995kHz, cpu7: 1849140kHz, cpu8: 1500000kHz, cpu9: 1500004kHz, 
Sample #21, Timestamp: 1747088913, CPU_Temperature: 66°C, cpu0: 1800004kHz, cpu1: 1800000kHz, cpu10: 1499987kHz, cpu11: 1500000kHz, cpu12: 1499989kHz, cpu13: 1499996kHz, cpu14: 1500003kHz, cpu15: 1500004kHz, cpu2: 1800000kHz, cpu3: 1800000kHz, cpu4: 1800000kHz, cpu5: 1800009kHz, cpu6: 1800000kHz, cpu7: 1799995kHz, cpu8: 1500003kHz, cpu9: 1500000kHz, 
Sample #22, Timestamp: 1747088913, CPU_Temperature: 64°C, cpu0: 1880151kHz, cpu1: 1804077kHz, cpu10: 1500002kHz, cpu11: 1500008kHz, cpu12: 1500007kHz, cpu13: 1499992kHz, cpu14: 1500006kHz, cpu15: 1500007kHz, cpu2: 1800004kHz, cpu3: 1800000kHz, cpu4: 1800000kHz, cpu5: 1799990kHz, cpu6: 1800004kHz, cpu7: 1804562kHz, cpu8: 1499996kHz, cpu9: 1500011kHz, 
Sample #23, Timestamp: 1747088914, CPU_Temperature: 64°C, cpu0: 1799995kHz, cpu1: 1800004kHz, cpu10: 1500014kHz, cpu11: 1499991kHz, cpu12: 1499990kHz, cpu13: 1500013kHz, cpu14: 1499990kHz, cpu15: 1499992kHz, cpu2: 1842380kHz, cpu3: 1800004kHz, cpu4: 1880327kHz, cpu5: 1800009kHz, cpu6: 1800000kHz, cpu7: 1800004kHz, cpu8: 1499999kHz, cpu9: 1499987kHz, 
Sample #24, Timestamp: 1747088914, CPU_Temperature: 66°C, cpu0: 1815987kHz, cpu1: 1852235kHz, cpu10: 1499994kHz, cpu11: 1499988kHz, cpu12: 1499998kHz, cpu13: 1499995kHz, cpu14: 1500006kHz, cpu15: 1500006kHz, cpu2: 1799990kHz, cpu3: 1800000kHz, cpu4: 1820767kHz, cpu5: 1800000kHz, cpu6: 1800009kHz, cpu7: 1800000kHz, cpu8: 1499996kHz, cpu9: 1500004kHz, 
Sample #25, Timestamp: 1747088915, CPU_Temperature: 66°C, cpu0: 1800004kHz, cpu1: 1799995kHz, cpu10: 1499996kHz, cpu11: 1499986kHz, cpu12: 1500000kHz, cpu13: 1500001kHz, cpu14: 1500012kHz, cpu15: 1500000kHz, cpu2: 1799990kHz, cpu3: 1800004kHz, cpu4: 1800000kHz, cpu5: 1799995kHz, cpu6: 1800004kHz, cpu7: 1824580kHz, cpu8: 1499988kHz, cpu9: 1499994kHz, 
Sample #26, Timestamp: 1747088915, CPU_Temperature: 66°C, cpu0: 1800000kHz, cpu1: 1807383kHz, cpu10: 1499986kHz, cpu11: 1499994kHz, cpu12: 1499999kHz, cpu13: 1500015kHz, cpu14: 1499992kHz, cpu15: 1500012kHz, cpu2: 1800000kHz, cpu3: 1799995kHz, cpu4: 1800000kHz, cpu5: 1858167kHz, cpu6: 1800000kHz, cpu7: 1800000kHz, cpu8: 1500005kHz, cpu9: 1499989kHz, 
