Current logical CPUs: 12
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.27-amd64 (localhost) 	05/15/25 	_x86_64_	(12 CPU)

23:33:47      UID      TGID       TID   cswch/s nvcswch/s  Command
23:33:48        0         9         -      0.94      0.00  kworker/0:0-events
23:33:48        0         -         9      0.94      0.00  |__kworker/0:0-events
23:33:48        0        18         -     10.38      0.00  rcu_preempt
23:33:48        0         -        18     10.38      0.00  |__rcu_preempt
23:33:48        0        90         -      0.94      0.00  kworker/u49:0-events_unbound
23:33:48        0         -        90      0.94      0.00  |__kworker/u49:0-events_unbound
23:33:48        0       112         -      2.83      0.00  kcompactd0
23:33:48        0         -       112      2.83      0.00  |__kcompactd0
23:33:48        0       291         -      0.94      0.00  kworker/10:1H-kblockd
23:33:48        0         -       291      0.94      0.00  |__kworker/10:1H-kblockd
23:33:48        0       292         -      0.94      0.00  kworker/10:2-mm_percpu_wq
23:33:48        0         -       292      0.94      0.00  |__kworker/10:2-mm_percpu_wq
23:33:48        0       460         -      0.94      0.00  kworker/8:2-mm_percpu_wq
23:33:48        0         -       460      0.94      0.00  |__kworker/8:2-mm_percpu_wq
23:33:48        0       467         -      0.94      0.00  kworker/11:2-events
23:33:48        0         -       467      0.94      0.00  |__kworker/11:2-events
23:33:48        0       471         -      2.83      0.00  usb-storage
23:33:48        0         -       471      2.83      0.00  |__usb-storage
23:33:48        0      1805         -      0.94      0.00  kworker/4:1-mm_percpu_wq
23:33:48        0         -      1805      0.94      0.00  |__kworker/4:1-mm_percpu_wq
23:33:48        0      4469         -      0.94      0.00  kworker/9:0-mm_percpu_wq
23:33:48        0         -      4469      0.94      0.00  |__kworker/9:0-mm_percpu_wq
23:33:48        0      4560         -      2.83      0.00  kworker/1:2-events_freezable_pwr_efficient
23:33:48        0         -      4560      2.83      0.00  |__kworker/1:2-events_freezable_pwr_efficient
23:33:48        0      4566         -      5.66      0.00  kworker/7:2-events
23:33:48        0         -      4566      5.66      0.00  |__kworker/7:2-events
23:33:48        0      4592         -      0.94      0.00  kworker/5:0-mm_percpu_wq
23:33:48        0         -      4592      0.94      0.00  |__kworker/5:0-mm_percpu_wq
23:33:48        0      4871         -      0.00      1.89  stress-ng-cpu
23:33:48        0         -      4871      0.00      1.89  |__stress-ng-cpu
23:33:48        0      4872         -      0.00      1.89  stress-ng-cpu
23:33:48        0         -      4872      0.00      1.89  |__stress-ng-cpu
23:33:48        0      4873         -      0.00      1.89  stress-ng-cpu
23:33:48        0         -      4873      0.00      0.94  |__stress-ng-cpu
23:33:48        0      4874         -      0.00      5.66  stress-ng-cpu
23:33:48        0         -      4874      0.00      5.66  |__stress-ng-cpu
23:33:48        0      4875         -      0.00      2.83  stress-ng-cpu
23:33:48        0         -      4875      0.00      2.83  |__stress-ng-cpu
23:33:48        0      4876         -      0.00      3.77  stress-ng-cpu
23:33:48        0         -      4876      0.00      3.77  |__stress-ng-cpu
23:33:48        0      4877         -      0.00      2.83  stress-ng-cpu
23:33:48        0         -      4877      0.00      2.83  |__stress-ng-cpu
23:33:48        0      4878         -      0.00      1.89  stress-ng-cpu
23:33:48        0         -      4878      0.00      1.89  |__stress-ng-cpu
23:33:48        0      4879         -      0.00      1.89  stress-ng-cpu
23:33:48        0         -      4879      0.00      1.89  |__stress-ng-cpu
23:33:48        0      4880         -      0.00      6.60  stress-ng-cpu
23:33:48        0         -      4880      0.00      6.60  |__stress-ng-cpu
23:33:48        0      4881         -      0.00      7.55  stress-ng-cpu
23:33:48        0         -      4881      0.00      7.55  |__stress-ng-cpu
23:33:48        0      4882         -      0.00      1.89  stress-ng-cpu
23:33:48        0         -      4882      0.00      1.89  |__stress-ng-cpu
23:33:48        0      4883         -      0.94      5.66  pidstat
23:33:48        0         -      4883      0.94      5.66  |__pidstat

23:33:48      UID      TGID       TID   cswch/s nvcswch/s  Command
23:33:49        0         9         -      1.00      0.00  kworker/0:0-events
23:33:49        0         -         9      1.00      0.00  |__kworker/0:0-events
23:33:49        0        21         -      1.00      0.00  migration/0
23:33:49        0         -        21      1.00      0.00  |__migration/0
23:33:49        0        26         -      1.00      0.00  migration/1
23:33:49        0         -        26      1.00      0.00  |__migration/1
23:33:49        0        32         -      1.00      0.00  migration/2
23:33:49        0         -        32      1.00      0.00  |__migration/2
23:33:49        0        38         -      1.00      0.00  migration/3
23:33:49        0         -        38      1.00      0.00  |__migration/3
23:33:49        0        44         -      1.00      0.00  migration/4
23:33:49        0         -        44      1.00      0.00  |__migration/4
23:33:49        0        50         -      1.00      0.00  migration/5
23:33:49        0         -        50      1.00      0.00  |__migration/5
23:33:49        0        56         -      1.00      0.00  migration/6
23:33:49        0         -        56      1.00      0.00  |__migration/6
23:33:49        0        62         -      1.00      0.00  migration/7
23:33:49        0         -        62      1.00      0.00  |__migration/7
23:33:49        0        68         -      1.00      0.00  migration/8
23:33:49        0         -        68      1.00      0.00  |__migration/8
23:33:49        0        74         -      1.00      0.00  migration/9
23:33:49        0         -        74      1.00      0.00  |__migration/9
23:33:49        0        80         -      1.00      0.00  migration/10
23:33:49        0         -        80      1.00      0.00  |__migration/10
23:33:49        0        86         -      1.00      0.00  migration/11
23:33:49        0         -        86      1.00      0.00  |__migration/11
23:33:49        0        90         -      1.00      0.00  kworker/u49:0-events_unbound
23:33:49        0         -        90      1.00      0.00  |__kworker/u49:0-events_unbound
23:33:49        0        96         -      2.00      2.00  kworker/u50:4-writeback
23:33:49        0         -        96      2.00      2.00  |__kworker/u50:4-writeback
23:33:49        0       102         -      1.00      0.00  kworker/u50:10-flush-8:16
23:33:49        0         -       102      1.00      0.00  |__kworker/u50:10-flush-8:16
23:33:49        0       112         -      1.00      0.00  kcompactd0
23:33:49        0         -       112      1.00      0.00  |__kcompactd0
23:33:49        0       270         -      1.00      0.00  kworker/3:1H-kblockd
23:33:49        0         -       270      1.00      0.00  |__kworker/3:1H-kblockd
23:33:49        0       292         -      1.00      0.00  kworker/10:2-mm_percpu_wq
23:33:49        0         -       292      1.00      0.00  |__kworker/10:2-mm_percpu_wq
23:33:49        0       460         -      1.00      0.00  kworker/8:2-mm_percpu_wq
