Current logical CPUs: 16
Test duration: 30 seconds
=== Scheduler Context Switching Test ===

>>> Measuring per-thread context switches with pidstat -w -t
Starting stress-ng again for detailed tracking...

--- pidstat -w -t output ---
Linux 6.12.27-amd64 (localhost) 	05/15/25 	_x86_64_	(16 CPU)

22:11:11      UID      TGID       TID   cswch/s nvcswch/s  Command
22:11:13        0      9751         -      1.00      0.00  kworker/4:1-mm_percpu_wq
22:11:13        0         -      9751      1.00      0.00  |__kworker/4:1-mm_percpu_wq
22:11:13        0      9866         -      3.00      0.00  kworker/3:1H
22:11:13        0         -      9866      3.00      0.00  |__kworker/3:1H
22:11:13        0      9867         -     16.00      3.00  kworker/3:5-mm_percpu_wq
22:11:13        0         -      9867     16.00      3.00  |__kworker/3:5-mm_percpu_wq
22:11:13        0      9972         -      1.00      0.00  kworker/10:1-mm_percpu_wq
22:11:13        0         -      9972      1.00      0.00  |__kworker/10:1-mm_percpu_wq
22:11:13        0     10008         -      1.00      0.00  kworker/5:2-mm_percpu_wq
22:11:13        0         -     10008      1.00      0.00  |__kworker/5:2-mm_percpu_wq
22:11:13        0     10365         -      7.00      0.00  kworker/14:6-events
22:11:13        0         -     10365      7.00      0.00  |__kworker/14:6-events
22:11:13        0     10398         -      0.00      1.00  stress-ng-cpu
22:11:13        0         -     10398      0.00      1.00  |__stress-ng-cpu
22:11:13        0     10399         -      0.00     15.00  stress-ng-cpu
22:11:13        0         -     10399      0.00     15.00  |__stress-ng-cpu
22:11:13        0     10401         -      0.00      1.00  stress-ng-cpu
22:11:13        0         -     10401      0.00      1.00  |__stress-ng-cpu
22:11:13        0     10403         -      0.00      1.00  stress-ng-cpu
22:11:13        0         -     10403      0.00      1.00  |__stress-ng-cpu
22:11:13        0     10404         -      0.00      8.00  stress-ng-cpu
22:11:13        0         -     10404      0.00      8.00  |__stress-ng-cpu
22:11:13        0     10405         -      0.00      2.00  stress-ng-cpu
22:11:13        0         -     10405      0.00      2.00  |__stress-ng-cpu
22:11:13        0     10406         -      0.00     21.00  stress-ng-cpu
22:11:13        0         -     10406      0.00     21.00  |__stress-ng-cpu
22:11:13        0     10407         -      0.00      6.00  stress-ng-cpu
22:11:13        0         -     10407      0.00      6.00  |__stress-ng-cpu
22:11:13        0     10408         -      0.00     12.00  stress-ng-cpu
22:11:13        0         -     10408      0.00     12.00  |__stress-ng-cpu
22:11:13        0     10409         -      0.00      1.00  stress-ng-cpu
22:11:13        0         -     10409      0.00      1.00  |__stress-ng-cpu
22:11:13        0     10410         -      0.00      3.00  stress-ng-cpu
22:11:13        0         -     10410      0.00      3.00  |__stress-ng-cpu
22:11:13        0     10411         -      0.00      9.00  stress-ng-cpu
22:11:13        0         -     10411      0.00      9.00  |__stress-ng-cpu
22:11:13        0     10414         -      5.00      0.00  kworker/3:0
22:11:13        0         -     10414      5.00      0.00  |__kworker/3:0
22:11:13        0     10415         -      6.00      1.00  kworker/3:1-kacpi_notify
22:11:13        0         -     10415      6.00      1.00  |__kworker/3:1-kacpi_notify
22:11:13        0     10416         -      1.00     11.00  pidstat
22:11:13        0         -     10416      1.00     11.00  |__pidstat
22:11:13        0     10417         -      2.00      0.00  kworker/3:0H
22:11:13        0         -     10417      2.00      0.00  |__kworker/3:0H
22:11:13        0     10418         -     18.00      2.00  kworker/3:2-kacpi_notify
22:11:13        0         -     10418     18.00      2.00  |__kworker/3:2-kacpi_notify
22:11:13        0     10419         -      2.00      0.00  kworker/3:3
22:11:13        0         -     10419      2.00      0.00  |__kworker/3:3

22:11:13      UID      TGID       TID   cswch/s nvcswch/s  Command
22:11:14        0        17         -      3.00      0.00  ksoftirqd/0
22:11:14        0         -        17      3.00      0.00  |__ksoftirqd/0
22:11:14        0        18         -     16.00      0.00  rcu_preempt
22:11:14        0         -        18     16.00      0.00  |__rcu_preempt
22:11:14        0        21         -      1.00      0.00  migration/0
22:11:14        0         -        21      1.00      0.00  |__migration/0
22:11:14        0        26         -      1.00      0.00  migration/2
22:11:14        0         -        26      1.00      0.00  |__migration/2
22:11:14        0        32         -      1.00      0.00  migration/4
22:11:14        0         -        32      1.00      0.00  |__migration/4
22:11:14        0        38         -      1.00      0.00  migration/6
