1747100113 LOGGER STARTED
Sample #1, Timestamp: 1747100113, CPU_Temperature: 57°C, cpu0: 835045kHz, cpu1: 3671666kHz, cpu10: 400000kHz, cpu11: 400000kHz, cpu12: 400000kHz, cpu13: 400000kHz, cpu14: 400000kHz, cpu15: 400000kHz, cpu2: 745130kHz, cpu3: 399754kHz, cpu4: 2945564kHz, cpu5: 400000kHz, cpu6: 457927kHz, cpu7: 587091kHz, cpu8: 400000kHz, cpu9: 400000kHz, 
Sample #2, Timestamp: 1747100113, CPU_Temperature: 57°C, cpu0: 3800000kHz, cpu1: 3799990kHz, cpu10: 2900016kHz, cpu11: 2900004kHz, cpu12: 2900005kHz, cpu13: 2899987kHz, cpu14: 2830907kHz, cpu15: 2799997kHz, cpu2: 3800000kHz, cpu3: 3800009kHz, cpu4: 3800009kHz, cpu5: 3799990kHz, cpu6: 3800000kHz, cpu7: 3799990kHz, cpu8: 2800018kHz, cpu9: 2799989kHz, 
Sample #3, Timestamp: 1747100114, CPU_Temperature: 57°C, cpu0: 3800000kHz, cpu1: 3800000kHz, cpu10: 2799996kHz, cpu11: 2800001kHz, cpu12: 2799990kHz, cpu13: 2799995kHz, cpu14: 2799997kHz, cpu15: 2800007kHz, cpu2: 3800009kHz, cpu3: 3800000kHz, cpu4: 3800009kHz, cpu5: 3800000kHz, cpu6: 3800009kHz, cpu7: 3799990kHz, cpu8: 2800020kHz, cpu9: 2800000kHz, 
Sample #4, Timestamp: 1747100116, CPU_Temperature: 89°C, cpu0: 3799990kHz, cpu1: 3800009kHz, cpu10: 2800021kHz, cpu11: 2799987kHz, cpu12: 2800012kHz, cpu13: 2800023kHz, cpu14: 2800004kHz, cpu15: 2800005kHz, cpu2: 3800000kHz, cpu3: 3799990kHz, cpu4: 3800000kHz, cpu5: 3800009kHz, cpu6: 3800009kHz, cpu7: 3799990kHz, cpu8: 2799992kHz, cpu9: 2799992kHz, 
Sample #5, Timestamp: 1747100116, CPU_Temperature: 89°C, cpu0: 3800000kHz, cpu1: 3800009kHz, cpu10: 2799998kHz, cpu11: 2800013kHz, cpu12: 2800004kHz, cpu13: 2800019kHz, cpu14: 2799995kHz, cpu15: 2800005kHz, cpu2: 3799990kHz, cpu3: 3800000kHz, cpu4: 3800000kHz, cpu5: 3800000kHz, cpu6: 3800000kHz, cpu7: 3799990kHz, cpu8: 2799997kHz, cpu9: 2799998kHz, 
Sample #6, Timestamp: 1747100116, CPU_Temperature: 89°C, cpu0: 3800000kHz, cpu1: 3800000kHz, cpu10: 2800012kHz, cpu11: 2800013kHz, cpu12: 2800001kHz, cpu13: 2800020kHz, cpu14: 2800013kHz, cpu15: 2761230kHz, cpu2: 3700000kHz, cpu3: 3683482kHz, cpu4: 3699990kHz, cpu5: 3700000kHz, cpu6: 3700000kHz, cpu7: 3699990kHz, cpu8: 2799973kHz, cpu9: 2800029kHz, 
Sample #7, Timestamp: 1747100118, CPU_Temperature: 91°C, cpu0: 3700000kHz, cpu1: 3700000kHz, cpu10: 2800011kHz, cpu11: 2799993kHz, cpu12: 2800014kHz, cpu13: 2800008kHz, cpu14: 2800001kHz, cpu15: 2799985kHz, cpu2: 3740221kHz, cpu3: 3700000kHz, cpu4: 3700000kHz, cpu5: 3624411kHz, cpu6: 3700009kHz, cpu7: 3700009kHz, cpu8: 2762274kHz, cpu9: 2762294kHz, 
Sample #8, Timestamp: 1747100119, CPU_Temperature: 91°C, cpu0: 3662731kHz, cpu1: 1700004kHz, cpu10: 1400008kHz, cpu11: 1399994kHz, cpu12: 1400001kHz, cpu13: 1400000kHz, cpu14: 1399997kHz, cpu15: 1399994kHz, cpu2: 1722297kHz, cpu3: 1700000kHz, cpu4: 1699995kHz, cpu5: 1749363kHz, cpu6: 1773801kHz, cpu7: 1751029kHz, cpu8: 1458451kHz, cpu9: 1423059kHz, 
Sample #9, Timestamp: 1747100121, CPU_Temperature: 70°C, cpu0: 1702267kHz, cpu1: 1700004kHz, cpu10: 1471364kHz, cpu11: 1399995kHz, cpu12: 1404470kHz, cpu13: 1428953kHz, cpu14: 1421336kHz, cpu15: 1399990kHz, cpu2: 1700000kHz, cpu3: 1722214kHz, cpu4: 1797563kHz, cpu5: 1748543kHz, cpu6: 1700450kHz, cpu7: 1749958kHz, cpu8: 1443636kHz, cpu9: 1406563kHz, 
Sample #10, Timestamp: 1747100121, CPU_Temperature: 70°C, cpu0: 1748160kHz, cpu1: 1776200kHz, cpu10: 1422918kHz, cpu11: 1451384kHz, cpu12: 1423304kHz, cpu13: 1399999kHz, cpu14: 1400000kHz, cpu15: 1400001kHz, cpu2: 1712836kHz, cpu3: 1749580kHz, cpu4: 1719949kHz, cpu5: 1749852kHz, cpu6: 1700004kHz, cpu7: 1799995kHz, cpu8: 1413253kHz, cpu9: 1468346kHz, 
Sample #11, Timestamp: 1747100122, CPU_Temperature: 70°C, cpu0: 1721412kHz, cpu1: 1777946kHz, cpu10: 1403048kHz, cpu11: 1402182kHz, cpu12: 1499993kHz, cpu13: 1422910kHz, cpu14: 1417461kHz, cpu15: 1399994kHz, cpu2: 1781286kHz, cpu3: 1750328kHz, cpu4: 1718366kHz, cpu5: 1800004kHz, cpu6: 1756069kHz, cpu7: 1730414kHz, cpu8: 1455596kHz, cpu9: 1480791kHz, 
