=== Scheduler Starvation Test ===
# Logical CPUs: 16
# CLK_TCK: 100

# Starting high-priority load (nice -10)

# Starting victim group (nice 19)
Running in process mode with 32 groups using 8 file descriptors each (== 256 tasks)
Each sender will pass 120000 messages of 512 bytes
Running in process mode with 2 groups using 8 file descriptors each (== 16 tasks)
Each sender will pass 120000 messages of 512 bytes
# High-priority PIDs: 256
# Victim PIDs: 16
# Total PIDs being logged: 272
timestamp,starttime,pid,nice,utime,stime
Start logging...
1747348380.853669789,319012,19179,-10,5,26
1747348380.853669789,319012,19180,-10,6,25
1747348380.853669789,319013,19181,-10,5,26
1747348380.853669789,319013,19182,-10,4,27
1747348380.853669789,319013,19184,-10,5,24
1747348380.853669789,319013,19186,-10,2,27
1747348380.853669789,319013,19188,-10,5,24
1747348380.853669789,319013,19189,-10,5,24
1747348380.853669789,319013,19192,-10,4,23
1747348380.853669789,319013,19194,-10,3,24
1747348380.853669789,319013,19196,-10,6,21
1747348380.853669789,319013,19198,-10,5,23
1747348380.853669789,319013,19200,-10,3,22
1747348380.853669789,319013,19202,-10,6,19
1747348380.853669789,319013,19203,-10,5,20
1747348380.853669789,319013,19205,-10,4,21
1747348380.853669789,319013,19207,-10,6,26
1747348380.853669789,319013,19210,-10,7,24
1747348380.853669789,319013,19212,-10,5,26
1747348380.853669789,319013,19214,-10,6,27
1747348380.853669789,319013,19215,-10,8,23
1747348380.853669789,319013,19216,-10,5,24
1747348380.853669789,319013,19217,-10,5,25
1747348380.853669789,319013,19218,-10,4,26
1747348380.853669789,319013,19219,-10,3,33
1747348380.853669789,319013,19220,-10,2,35
1747348380.853669789,319013,19221,-10,2,34
1747348380.853669789,319013,19222,-10,3,33
1747348380.853669789,319013,19223,-10,3,30
1747348380.853669789,319013,19224,-10,2,30
1747348380.853669789,319013,19225,-10,1,32
1747348380.853669789,319013,19226,-10,1,32
1747348380.853669789,319013,19227,-10,1,32
1747348380.853669789,319013,19228,-10,2,30
1747348380.853669789,319013,19229,-10,4,29
1747348380.853669789,319013,19230,-10,3,30
1747348380.853669789,319013,19231,-10,4,26
1747348380.853669789,319013,19232,-10,2,28
1747348380.853669789,319013,19233,-10,5,25
1747348380.853669789,319013,19234,-10,2,28
1747348380.853669789,319013,19235,-10,2,33
1747348380.853669789,319013,19236,-10,5,31
1747348380.853669789,319013,19237,-10,2,34
1747348380.853669789,319013,19238,-10,3,32
1747348380.853669789,319013,19239,-10,3,29
1747348380.853669789,319013,19240,-10,3,29
1747348380.853669789,319013,19241,-10,2,30
1747348380.853669789,319013,19242,-10,2,31
1747348380.853669789,319013,19243,-10,2,31
1747348380.853669789,319013,19244,-10,4,28
1747348380.853669789,319013,19245,-10,4,29
1747348380.853669789,319013,19246,-10,2,30
1747348380.853669789,319013,19247,-10,3,26
1747348380.853669789,319013,19248,-10,3,27
1747348380.853669789,319013,19249,-10,2,27
1747348380.853669789,319013,19250,-10,1,29
1747348380.853669789,319013,19251,-10,3,32
1747348380.853669789,319013,19252,-10,2,32
1747348380.853669789,319013,19253,-10,4,32
1747348380.853669789,319013,19254,-10,2,34
1747348380.853669789,319013,19255,-10,1,30
1747348380.853669789,319013,19256,-10,3,29
1747348380.853669789,319013,19257,-10,1,31
1747348380.853669789,319013,19258,-10,5,27
1747348380.853669789,319013,19267,-10,4,31
1747348380.853669789,319013,19268,-10,6,30
1747348380.853669789,319013,19269,-10,5,31
1747348380.853669789,319013,19270,-10,5,31
1747348380.853669789,319013,19271,-10,5,28
1747348380.853669789,319013,19272,-10,6,29
1747348380.853669789,319013,19273,-10,5,30
1747348380.853669789,319013,19274,-10,5,30
1747348380.853669789,319013,19275,-10,5,26
1747348380.853669789,319013,19276,-10,4,27
1747348380.853669789,319013,19277,-10,7,24
1747348380.853669789,319013,19278,-10,7,24
1747348380.853669789,319013,19279,-10,8,21
1747348380.853669789,319013,19280,-10,5,24
1747348380.853669789,319013,19281,-10,6,24
1747348380.853669789,319013,19282,-10,5,25
1747348380.853669789,319013,19283,-10,6,29
1747348380.853669789,319013,19284,-10,7,28
1747348380.853669789,319013,19285,-10,6,29
1747348380.853669789,319013,19286,-10,5,29
1747348380.853669789,319013,19287,-10,5,27
1747348380.853669789,319013,19288,-10,7,25
1747348380.853669789,319013,19289,-10,6,26
1747348380.853669789,319013,19290,-10,6,26
1747348380.853669789,319013,19291,-10,4,31
1747348380.853669789,319013,19292,-10,7,28
1747348380.853669789,319013,19293,-10,12,23
1747348380.853669789,319013,19294,-10,7,28
1747348380.853669789,319013,19295,-10,6,26
1747348380.853669789,319013,19296,-10,4,28
1747348380.853669789,319013,19297,-10,6,25
1747348380.853669789,319013,19298,-10,2,30
1747348380.853669789,319013,19299,-10,5,29
1747348380.853669789,319013,19300,-10,3,31
1747348380.853669789,319013,19301,-10,3,32
1747348380.853669789,319013,19302,-10,2,33
1747348380.853669789,319013,19303,-10,4,27
1747348380.853669789,319013,19304,-10,4,27
1747348380.853669789,319013,19305,-10,1,30
1747348380.853669789,319013,19306,-10,2,29
1747348380.853669789,319013,19307,-10,1,35
1747348380.853669789,319013,19308,-10,4,33
1747348380.853669789,319013,19309,-10,3,34
1747348380.853669789,319013,19310,-10,3,33
1747348380.853669789,319013,19311,-10,2,32
1747348380.853669789,319013,19312,-10,2,33
1747348380.853669789,319013,19313,-10,3,30
1747348380.853669789,319013,19314,-10,1,32
1747348380.853669789,319013,19315,-10,2,31
1747348380.853669789,319013,19316,-10,7,26
1747348380.853669789,319013,19317,-10,5,28
1747348380.853669789,319013,19318,-10,7,26
1747348380.853669789,319013,19319,-10,6,25
1747348380.853669789,319013,19320,-10,6,24
1747348380.853669789,319013,19321,-10,3,27
1747348380.853669789,319013,19322,-10,6,24
1747348380.853669789,319013,19323,-10,6,27
1747348380.853669789,319013,19324,-10,4,28
1747348380.853669789,319013,19325,-10,6,26
1747348380.853669789,319013,19326,-10,7,25
1747348380.853669789,319013,19327,-10,6,24
1747348380.853669789,319013,19328,-10,7,23
1747348380.853669789,319013,19329,-10,9,21
