Time (s),CPU Temp (°C),Avg CPU0–7 (GHz),Avg CPU8–15 (GHz)
161,46,1.0702508928571428,0.6673568035714286
162,46,1.1345545178571428,0.6099218928571428
163,46,1.0244428392857143,0.6311301428571429
164,46,1.1635732321428571,0.6879969285714286
165,46,1.1413958392857144,0.6074982321428571
166,46,1.0754695357142856,0.568056
167,46,1.1705445714285714,0.6725897321428571
168,45.714285714285715,1.179103357142857,0.6742677321428572
169,45.285714285714285,1.1838464464285714,0.6715767857142857
170,45.857142857142854,1.2553787321428571,0.5910019285714285
171,45,1.061057,0.6872784166666667
172,45,1.2634025714285715,0.5460780357142857
173,44,1.1001557857142856,0.6429734107142857
174,45,1.2052683392857142,0.7263694642857143
175,45,1.1522331428571428,0.6197517321428572
176,45,1.2662893035714287,0.6823908928571428
177,44,1.1127270357142858,0.673778375
178,44,1.2408000535714285,0.63873075
179,44.857142857142854,1.0582718392857142,0.6691049642857143
180,45,1.4351725,1.0529873250000001
181,62.5,3.8000003749999998,2.838446625
182,80,3.799997375,2.79999675
184,85.5,3.7597208125000003,2.79999925
186,89,3.7147265,2.799993
188,92,1.723521625,1.42787125
189,66,1.755278125,1.464109
190,66,1.7915744375,1.4605374375
191,66,1.799997875,1.495878
192,65.5,1.7983745625,1.478332875
193,64.5,1.793203,1.4946415625
194,64,1.7908563124999999,1.4890789375
195,64,1.7999995625,1.4999991874999998
196,64,1.793037,1.4984063125
197,66,1.7999989374999998,1.499999375
198,66,1.8000015,1.49999525
199,64.66666666666667,1.8246971666666667,1.5000010833333333
200,64,1.83892825,1.5000028125
201,64,1.8434759375,1.5000001875
202,65,1.855539375,1.5000019999999998
203,65,1.8494143125,1.49999825
204,64,1.8581042499999998,1.4999993125
205,64,1.858511625,1.4999995625
206,64.66666666666667,1.8480492083333333,1.4999968333333333
207,66,1.8187338125,1.4999949375
208,64,1.8518546875,1.5
209,64,1.854991,1.499999
210,64,1.8461756249999999,1.4999989375
211,64.66666666666667,1.8945292083333334,1.4999987916666666
212,66,1.8900155,1.50000125
213,64,1.9499999375,1.5499998750000001
214,66,1.90633915,1.3735243
215,59.142857142857146,1.5911511607142856,1.1089254642857143
216,57.25,1.752142265625,1.082627796875
217,57,1.6263101071428572,1.059830482142857
218,56.375,1.7232445625,1.003301390625
219,55.42857142857143,1.5266944821428572,1.0519872142857143
220,55,1.6065840468750001,1.04278415625
221,55,1.7682882678571428,1.026025875
222,54.625,1.755201953125,1.104629546875
223,54,1.6511111428571428,1.0312618035714285
224,53.75,2.0226203125,1.12774840625
225,53,1.66418325,1.1315183035714285
226,52.875,1.700670890625,1.083672765625
227,52,1.6713233571428572,1.1007899642857142
228,51,1.845786046875,1.071137984375
229,52,1.7307385,1.0583586071428572
230,51.125,1.759939625,1.0423218593749999
231,51,1.6748940714285714,1.1380883214285715
232,51,1.8107991875,1.07805625
233,51,1.5867163392857142,1.0744071964285713
234,51,1.574840390625,1.0853291875
235,51,1.7629044642857143,1.0645226964285714
236,51,1.5767108392857143,1.0916371964285714
237,51,1.87537453125,1.023574625
238,50.714285714285715,1.6740758571428571,1.0926144107142857
239,50,1.616963515625,1.06697478125
240,50.142857142857146,2.016404375,1.1479145535714286
241,50.875,1.64454,1.017256765625
242,50,1.7993078214285714,1.0665147321428572
243,49,1.646763953125,1.118901046875
244,50,1.698349642857143,1.074556107142857
245,48.25,1.522240359375,1.08901965625
246,48.857142857142854,1.7019302678571429,1.0623423392857143
247,49,1.819582453125,1.07060840625
248,47.57142857142857,1.7571397857142856,1.0501801071428571
249,47.625,1.65614353125,1.080213578125
250,47.42857142857143,1.5131044285714286,1.0605121071428572
251,47.5,1.489338578125,1.069212203125
252,48,1.6610621964285714,1.028424607142857
253,48.285714285714285,1.66835275,1.0511530178571429
254,48.5,1.72823790625,1.02190659375
255,47,1.5109975357142857,1.0588667142857142
256,47.125,1.65538103125,1.069593171875
257,48,1.7518810357142858,1.10016275
258,48,1.65203509375,1.080158875
259,47,1.7034605714285715,1.0712002857142857
260,47,1.793006515625,1.0792220625
261,47,1.8152613928571428,1.1323208392857143
262,46.25,1.55183146875,1.062421796875
263,46.714285714285715,1.9010599107142858,1.1179848392857143
264,47,1.7319901785714287,1.1063907321428572
265,46.5,1.54069453125,1.101712359375
266,46,1.6397122857142856,1.1107987857142858
267,46,1.671396921875,1.066500546875
268,46,1.7417988214285713,1.0881345178571429
269,46,1.882482265625,1.1092644375
270,46,1.5970262678571427,1.0966961964285713
271,46,1.7390699375,1.112817859375
272,46,1.7822399642857143,1.11265125
273,46,1.817487140625,1.043520984375
274,46,1.836078017857143,1.250366732142857
275,61,3.4575099375000002,2.2623564375
276,86,3.799994875,2.7999975
277,85,3.799998375,2.79999675
279,88,3.690535375,2.8000045
280,89,3.6734108125000002,2.77721325
281,89,2.227077125,2.15340425
283,67,1.784937625,1.462682625
284,66,1.776861625,1.4832075625
285,64,1.796125875,1.48129675
286,66,1.800001125,1.49204975
287,65,1.8000015624999999,1.4999994375
288,66,1.80269775,1.500000375
289,66,1.81966975,1.500000125
290,64,1.8184871875,1.5000010000000001
291,66,1.8171505625000002,1.49999825
292,64,1.8066958125,1.5000006250000002
293,63.5,1.8140153125,1.4999994375
294,63.5,1.852513875,1.4999988125
295,64,1.836150375,1.500002125
296,64,1.8289485625,1.500001625
297,64,1.8687590625000001,1.4999993125
298,66,1.88231025,1.5000025
299,65,1.846213625,1.5000008125000002
300,64,1.8279425,1.4999961874999999
301,64,1.8412288125,1.4999976875
302,64,1.8545543125,1.4999988750000002
303,64,1.8556206875,1.50000175
304,63,1.900000875,1.50000075
305,64,1.872465875,1.4999965
306,65,1.89374975,1.499999125
307,64,1.8929855,1.4999977916666667
308,65.33333333333333,1.9001525833333335,1.5333344583333333
309,64,1.9142503125,1.5999985625000002
310,64,2.0039157750000003,1.619998875
311,61,2.419967017857143,1.2559244285714286
312,57.375,2.4866367499999997,1.3072365625
313,57.25,2.236123109375,1.324561359375
314,56,2.4431404821428573,1.3004294107142857
315,56,2.40317084375,1.353636875
316,56,2.57615015625,1.28179403125
317,55.75,2.35648703125,1.397741484375
318,54.857142857142854,2.5600764107142857,1.3884433035714285
319,54,2.3684355,1.232070390625
320,54.125,2.2996654375,1.26774428125
321,55,2.2663568214285714,1.3172601607142858
322,53,2.204546,1.3286324375
323,53,2.298607984375,1.286987984375
324,53,2.367741375,1.3321509285714286
325,53,2.42365915625,1.306269625
326,53.875,2.6239386875,1.333538984375
327,53.142857142857146,2.47542675,1.2596991607142858
328,52.25,2.287606921875,1.27140578125
329,51.25,2.1735613593750003,1.3828159687500001
330,51,2.441211390625,1.326217765625
331,51,2.355087607142857,1.342532642857143
332,51,2.308932875,1.320769328125
333,51,2.459513359375,1.282605734375
334,51,2.58924515625,1.2720674375
335,51,2.340003392857143,1.2513369107142858
336,50.5,2.4427580937499997,1.297997390625
337,50,2.263045515625,1.268985125
338,50.42857142857143,2.5143152321428572,1.3188807142857142
339,50.625,2.24367890625,1.2940511875
340,50.285714285714285,2.4931865714285713,1.3269335535714286
341,50.75,2.426797421875,1.2849133125
342,50,2.460548984375,1.290999875
343,50,2.4191335535714287,1.285598267857143
344,50,2.47658925,1.26626409375
345,50,2.501601890625,1.4055233281250001
346,50,2.229054515625,1.2923381250000001
347,50,2.4896575892857142,1.323208375
348,50,2.383827375,1.36894165625
349,49,2.418838734375,1.294695984375
350,49,2.581733421875,1.345682375
351,49,2.572015017857143,1.2936901071428573
352,48.125,2.406742046875,1.29802809375
353,48,2.36541296875,1.3556108281250001
354,48.857142857142854,2.365036339285714,1.3597385535714286
355,48.25,2.4221584375000003,1.311426171875
356,47.25,2.190242109375,1.328316859375
357,48.42857142857143,2.406199517857143,1.411984625
358,48.375,2.39404028125,1.294745
359,47.375,2.273145453125,1.3612398125
360,47.625,2.3847655625,1.2754938125
361,48,2.2044444107142858,1.2664812142857143
362,48,2.271414453125,1.349356453125
363,48,2.2368015892857143,1.3528863928571428
364,48,2.490838984375,1.359997203125
365,47.625,2.41807953125,1.336326671875
366,47.375,2.21903771875,1.28823328125
367,47.714285714285715,2.3815567142857144,1.3230800892857142
368,47.25,2.36756375,1.28405965625
369,48,2.1701065625,1.25774390625
370,48,2.4540756785714284,1.2632374464285714
371,48,3.121309175,1.772166325
374,86,3.7394755,2.800000625
376,90,3.7508294166666665,2.79821
377,92,2.208881,1.953156
379,69,1.758090375,1.478116
380,66,1.7949098124999998,1.4867451875
381,66,1.79789325,1.499996
382,66,1.800000625,1.49999825
383,66,1.8237755,1.5000005625
384,66,1.819505,1.50000125
385,65,1.819820625,1.49999875
386,65,1.823572875,1.5000003125
387,65,1.83573475,1.500000875
388,64.66666666666667,1.8224275,1.4999983333333333
389,66,1.799997875,1.4999995
390,64.5,1.8473239375000001,1.4999975625
391,64.5,1.8485586875,1.499998875
392,64,1.8556835624999999,1.49999875
393,64,1.8367895,1.500001
394,66,1.8721635,1.5000005
395,66,1.8726969375,1.500002875
396,65,1.870840125,1.4999989999999999
397,65,1.87083675,1.4999999375000002
398,65,1.8510595625000001,1.499999125
399,65,1.864314625,1.5000014375
400,65,1.857094625,1.4999992500000001
