1748102105 LOGGER STARTED
Sample #1, Timestamp: 1748102105, CPU_Temperature: 38°C, cpu0: 3920613kHz, cpu1: 3912227kHz, cpu10: 2200000kHz, cpu11: 2200000kHz, cpu12: 2200000kHz, cpu13: 2200000kHz, cpu14: 2200000kHz, cpu15: 2200000kHz, cpu16: 2200000kHz, cpu17: 2200000kHz, cpu18: 2200000kHz, cpu19: 3810063kHz, cpu2: 3792781kHz, cpu20: 3709799kHz, cpu21: 3691960kHz, cpu22: 3138140kHz, cpu23: 3880560kHz, cpu24: 4277077kHz, cpu25: 4579422kHz, cpu26: 4481659kHz, cpu27: 4049693kHz, cpu28: 3668775kHz, cpu29: 3093180kHz, cpu3: 3596883kHz, cpu30: 3684732kHz, cpu31: 3857201kHz, cpu4: 3589521kHz, cpu5: 3689218kHz, cpu6: 3157743kHz, cpu7: 3202363kHz, cpu8: 4890811kHz, cpu9: 3912112kHz, 
Sample #2, Timestamp: 1748102105, CPU_Temperature: 39°C, cpu0: 4487077kHz, cpu1: 4456087kHz, cpu10: 4435415kHz, cpu11: 4440400kHz, cpu12: 4440411kHz, cpu13: 4448910kHz, cpu14: 4607258kHz, cpu15: 4435494kHz, cpu16: 4416867kHz, cpu17: 4422520kHz, cpu18: 4385525kHz, cpu19: 4391914kHz, cpu2: 4483224kHz, cpu20: 4585610kHz, cpu21: 4384799kHz, cpu22: 4380127kHz, cpu23: 4524820kHz, cpu24: 4379366kHz, cpu25: 4390621kHz, cpu26: 4391904kHz, cpu27: 4373031kHz, cpu28: 4381706kHz, cpu29: 4370566kHz, cpu3: 4354321kHz, cpu30: 4361628kHz, cpu31: 4361628kHz, cpu4: 4375629kHz, cpu5: 4391897kHz, cpu6: 4362917kHz, cpu7: 4362922kHz, cpu8: 4352124kHz, cpu9: 4362731kHz, 
Sample #3, Timestamp: 1748102106, CPU_Temperature: 49°C, cpu0: 4449029kHz, cpu1: 4415816kHz, cpu10: 4415796kHz, cpu11: 4368683kHz, cpu12: 4342003kHz, cpu13: 4341996kHz, cpu14: 4342010kHz, cpu15: 4381067kHz, cpu16: 4391668kHz, cpu17: 4366951kHz, cpu18: 4354299kHz, cpu19: 4346366kHz, cpu2: 4383329kHz, cpu20: 4375435kHz, cpu21: 4375432kHz, cpu22: 4344246kHz, cpu23: 4370492kHz, cpu24: 4370485kHz, cpu25: 4379361kHz, cpu26: 4379367kHz, cpu27: 4357184kHz, cpu28: 4345287kHz, cpu29: 4344816kHz, cpu3: 4345204kHz, cpu30: 4447439kHz, cpu31: 4357886kHz, cpu4: 4390600kHz, cpu5: 4445289kHz, cpu6: 4342005kHz, cpu7: 4342003kHz, cpu8: 4354337kHz, cpu9: 4329415kHz, 
Sample #4, Timestamp: 1748102107, CPU_Temperature: 52°C, cpu0: 4466215kHz, cpu1: 4479150kHz, cpu10: 4331254kHz, cpu11: 4317046kHz, cpu12: 4340060kHz, cpu13: 4342005kHz, cpu14: 4342008kHz, cpu15: 4338381kHz, cpu16: 4444252kHz, cpu17: 4444243kHz, cpu18: 4382876kHz, cpu19: 4357072kHz, cpu2: 4357076kHz, cpu20: 4342004kHz, cpu21: 4335595kHz, cpu22: 4337979kHz, cpu23: 4360546kHz, cpu24: 4343590kHz, cpu25: 4343590kHz, cpu26: 4532794kHz, cpu27: 4532796kHz, cpu28: 4340573kHz, cpu29: 4329381kHz, cpu3: 4342002kHz, cpu30: 4341994kHz, cpu31: 4331537kHz, cpu4: 4331530kHz, cpu5: 4323155kHz, cpu6: 4360569kHz, cpu7: 4430692kHz, cpu8: 4367634kHz, cpu9: 4336298kHz, 
Sample #5, Timestamp: 1748102107, CPU_Temperature: 56°C, cpu0: 4381747kHz, cpu1: 4373062kHz, cpu10: 4341993kHz, cpu11: 4342407kHz, cpu12: 4320092kHz, cpu13: 4341999kHz, cpu14: 4339028kHz, cpu15: 4332348kHz, cpu16: 4341995kHz, cpu17: 4341999kHz, cpu18: 4335617kHz, cpu19: 4350593kHz, cpu2: 4345762kHz, cpu20: 4339534kHz, cpu21: 4335635kHz, cpu22: 4329269kHz, cpu23: 4340437kHz, cpu24: 4328018kHz, cpu25: 4328027kHz, cpu26: 4379292kHz, cpu27: 4373117kHz, cpu28: 4373115kHz, cpu29: 4329343kHz, cpu3: 4348148kHz, cpu30: 4360588kHz, cpu31: 4354187kHz, cpu4: 4360833kHz, cpu5: 4391410kHz, cpu6: 4353473kHz, cpu7: 4353496kHz, cpu8: 4353476kHz, cpu9: 4348625kHz, 
Sample #6, Timestamp: 1748102108, CPU_Temperature: 58°C, cpu0: 4347843kHz, cpu1: 4335618kHz, cpu10: 4363447kHz, cpu11: 4376243kHz, cpu12: 4373072kHz, cpu13: 4353130kHz, cpu14: 4348826kHz, cpu15: 4398812kHz, cpu16: 4378916kHz, cpu17: 4378929kHz, cpu18: 4341994kHz, cpu19: 4342007kHz, cpu2: 4366965kHz, cpu20: 4404218kHz, cpu21: 4354544kHz, cpu22: 4335597kHz, cpu23: 4372374kHz, cpu24: 4385851kHz, cpu25: 4510956kHz, cpu26: 4389435kHz, cpu27: 4369200kHz, cpu28: 4341995kHz, cpu29: 4341996kHz, cpu3: 4342011kHz, cpu30: 4359360kHz, cpu31: 4391917kHz, cpu4: 4342017kHz, cpu5: 4357822kHz, cpu6: 4362219kHz, cpu7: 4364648kHz, cpu8: 4391861kHz, cpu9: 4373072kHz, 
Sample #7, Timestamp: 1748102109, CPU_Temperature: 59°C, cpu0: 4342005kHz, cpu1: 4342010kHz, cpu10: 4349974kHz, cpu11: 4360040kHz, cpu12: 4373079kHz, cpu13: 4379114kHz, cpu14: 4348455kHz, cpu15: 4366240kHz, cpu16: 4373947kHz, cpu17: 4366968kHz, cpu18: 4348127kHz, cpu19: 4349856kHz, cpu2: 4349860kHz, cpu20: 4342008kHz, cpu21: 4341994kHz, cpu22: 4360578kHz, cpu23: 4380894kHz, cpu24: 4424747kHz, cpu25: 4366963kHz, cpu26: 4366954kHz, cpu27: 4354304kHz, cpu28: 4354318kHz, cpu29: 4373048kHz, cpu3: 4363731kHz, cpu30: 4345051kHz, cpu31: 4344931kHz, cpu4: 4344925kHz, cpu5: 4360531kHz, cpu6: 4363125kHz, cpu7: 4375400kHz, cpu8: 4361868kHz, cpu9: 4342006kHz, 
Sample #8, Timestamp: 1748102109, CPU_Temperature: 60°C, cpu0: 4349217kHz, cpu1: 4354163kHz, cpu10: 4353345kHz, cpu11: 4384767kHz, cpu12: 4348087kHz, cpu13: 4360603kHz, cpu14: 4329611kHz, cpu15: 4366386kHz, cpu16: 4378550kHz, cpu17: 4378539kHz, cpu18: 4335643kHz, cpu19: 4391554kHz, cpu2: 4373153kHz, cpu20: 4445523kHz, cpu21: 4329953kHz, cpu22: 4328313kHz, cpu23: 4334256kHz, cpu24: 4342011kHz, cpu25: 4329385kHz, cpu26: 4335617kHz, cpu27: 4358552kHz, cpu28: 4350667kHz, cpu29: 4348097kHz, cpu3: 4342003kHz, cpu30: 4342006kHz, cpu31: 4351430kHz, cpu4: 4388943kHz, cpu5: 4369827kHz, cpu6: 4345077kHz, cpu7: 4351848kHz, cpu8: 4360553kHz, cpu9: 4366957kHz, 
Sample #9, Timestamp: 1748102110, CPU_Temperature: 60°C, cpu0: 4379335kHz, cpu1: 4385483kHz, cpu10: 4404279kHz, cpu11: 4342014kHz, cpu12: 4342006kHz, cpu13: 4359228kHz, cpu14: 4366956kHz, cpu15: 4366950kHz, cpu16: 4366951kHz, cpu17: 4366959kHz, cpu18: 4360569kHz, cpu19: 4335623kHz, cpu2: 4335600kHz, cpu20: 4434082kHz, cpu21: 4486180kHz, cpu22: 4341998kHz, cpu23: 4366967kHz, cpu24: 4366949kHz, cpu25: 4348152kHz, cpu26: 4391901kHz, cpu27: 4391914kHz, cpu28: 4391916kHz, cpu29: 4350476kHz, cpu3: 4366959kHz, cpu30: 4366961kHz, cpu31: 4379307kHz, cpu4: 4358039kHz, cpu5: 4337600kHz, cpu6: 4337588kHz, cpu7: 4342010kHz, cpu8: 4342023kHz, cpu9: 4341979kHz, 
Sample #10, Timestamp: 1748102110, CPU_Temperature: 60°C, cpu0: 4335656kHz, cpu1: 4329738kHz, cpu10: 4341062kHz, cpu11: 4348924kHz, cpu12: 4353539kHz, cpu13: 4342830kHz, cpu14: 4342794kHz, cpu15: 4373069kHz, cpu16: 4354342kHz, cpu17: 4348090kHz, cpu18: 4348090kHz, cpu19: 4343386kHz, cpu2: 4358992kHz, cpu20: 4380756kHz, cpu21: 4380777kHz, cpu22: 4323114kHz, cpu23: 4335609kHz, cpu24: 4335627kHz, cpu25: 4335615kHz, cpu26: 4342005kHz, cpu27: 4342003kHz, cpu28: 4345592kHz, cpu29: 4345595kHz, cpu3: 4380126kHz, cpu30: 4332323kHz, cpu31: 4369785kHz, cpu4: 4317045kHz, cpu5: 4370130kHz, cpu6: 4342010kHz, cpu7: 4341999kHz, cpu8: 4341996kHz, cpu9: 4342007kHz, 
Sample #11, Timestamp: 1748102111, CPU_Temperature: 60°C, cpu0: 4355533kHz, cpu1: 4342730kHz, cpu10: 4353600kHz, cpu11: 4434006kHz, cpu12: 4378957kHz, cpu13: 4347828kHz, cpu14: 4385616kHz, cpu15: 4366961kHz, cpu16: 4360686kHz, cpu17: 4360574kHz, cpu18: 4361509kHz, cpu19: 4347182kHz, cpu2: 4359641kHz, cpu20: 4359643kHz, cpu21: 4350540kHz, cpu22: 4360565kHz, cpu23: 4384107kHz, cpu24: 4366957kHz, cpu25: 4373095kHz, cpu26: 4366958kHz, cpu27: 4350431kHz, cpu28: 4369338kHz, cpu29: 4329356kHz, cpu3: 4351478kHz, cpu30: 4345110kHz, cpu31: 4357712kHz, cpu4: 4363522kHz, cpu5: 4356978kHz, cpu6: 4356969kHz, cpu7: 4366962kHz, cpu8: 4364232kHz, cpu9: 4369206kHz, 
