1748102166 LOGGER STARTED
Sample #1, Timestamp: 1748102166, CPU_Temperature: 46°C, cpu0: 2200000kHz, cpu1: 4726571kHz, cpu10: 2998962kHz, cpu11: 2886134kHz, cpu12: 2200000kHz, cpu13: 2200000kHz, cpu14: 2200000kHz, cpu15: 2200000kHz, cpu16: 3899200kHz, cpu17: 3901625kHz, cpu18: 3893441kHz, cpu19: 3941600kHz, cpu2: 2200000kHz, cpu20: 4022989kHz, cpu21: 4023321kHz, cpu22: 4003340kHz, cpu23: 3945433kHz, cpu24: 2200000kHz, cpu25: 2200000kHz, cpu26: 2865886kHz, cpu27: 2872655kHz, cpu28: 3592947kHz, cpu29: 2870313kHz, cpu3: 3977900kHz, cpu30: 3809440kHz, cpu31: 3662578kHz, cpu4: 3938449kHz, cpu5: 3861720kHz, cpu6: 3918849kHz, cpu7: 3871082kHz, cpu8: 3863862kHz, cpu9: 2934476kHz, 
Sample #2, Timestamp: 1748102166, CPU_Temperature: 47°C, cpu0: 4415671kHz, cpu1: 4441275kHz, cpu10: 4410245kHz, cpu11: 4398196kHz, cpu12: 4397992kHz, cpu13: 4508105kHz, cpu14: 4415491kHz, cpu15: 4380660kHz, cpu16: 4373064kHz, cpu17: 4500448kHz, cpu18: 4425018kHz, cpu19: 4362477kHz, cpu2: 4389733kHz, cpu20: 4366957kHz, cpu21: 4366967kHz, cpu22: 4390647kHz, cpu23: 4376069kHz, cpu24: 4357456kHz, cpu25: 4348122kHz, cpu26: 4341990kHz, cpu27: 4328776kHz, cpu28: 4335667kHz, cpu29: 4335696kHz, cpu3: 4342016kHz, cpu30: 4348101kHz, cpu31: 4348094kHz, cpu4: 4342008kHz, cpu5: 4354385kHz, cpu6: 4354376kHz, cpu7: 4330119kHz, cpu8: 4347535kHz, cpu9: 4335346kHz, 
Sample #3, Timestamp: 1748102167, CPU_Temperature: 53°C, cpu0: 4337254kHz, cpu1: 4335631kHz, cpu10: 4340079kHz, cpu11: 4398201kHz, cpu12: 4325803kHz, cpu13: 4358791kHz, cpu14: 4358771kHz, cpu15: 4317061kHz, cpu16: 4323157kHz, cpu17: 4329315kHz, cpu18: 4327380kHz, cpu19: 4340427kHz, cpu2: 4346839kHz, cpu20: 4328211kHz, cpu21: 4322069kHz, cpu22: 4347031kHz, cpu23: 4297512kHz, cpu24: 4341205kHz, cpu25: 4304412kHz, cpu26: 4354402kHz, cpu27: 4335971kHz, cpu28: 4335990kHz, cpu29: 4357407kHz, cpu3: 4388505kHz, cpu30: 4388515kHz, cpu31: 4317040kHz, cpu4: 4317052kHz, cpu5: 4317049kHz, cpu6: 4292095kHz, cpu7: 4453020kHz, cpu8: 4475335kHz, cpu9: 4298228kHz, 
Sample #4, Timestamp: 1748102168, CPU_Temperature: 58°C, cpu0: 4335855kHz, cpu1: 4341746kHz, cpu10: 4317197kHz, cpu11: 4317199kHz, cpu12: 4317043kHz, cpu13: 4317052kHz, cpu14: 4347466kHz, cpu15: 4330104kHz, cpu16: 4350029kHz, cpu17: 4435994kHz, cpu18: 4344917kHz, cpu19: 4345149kHz, cpu2: 4338510kHz, cpu20: 4314588kHz, cpu21: 4319128kHz, cpu22: 4335584kHz, cpu23: 4335582kHz, cpu24: 4335607kHz, cpu25: 4317048kHz, cpu26: 4304298kHz, cpu27: 4332250kHz, cpu28: 4317046kHz, cpu29: 4317052kHz, cpu3: 4347416kHz, cpu30: 4345510kHz, cpu31: 4317039kHz, cpu4: 4348127kHz, cpu5: 4375781kHz, cpu6: 4374902kHz, cpu7: 4335607kHz, cpu8: 4317056kHz, cpu9: 4310679kHz, 
Sample #5, Timestamp: 1748102168, CPU_Temperature: 59°C, cpu0: 4318481kHz, cpu1: 4334040kHz, cpu10: 4343546kHz, cpu11: 4343718kHz, cpu12: 4318820kHz, cpu13: 4312937kHz, cpu14: 4341971kHz, cpu15: 4335658kHz, cpu16: 4323149kHz, cpu17: 4326005kHz, cpu18: 4320314kHz, cpu19: 4342006kHz, cpu2: 4343087kHz, cpu20: 4320837kHz, cpu21: 4323168kHz, cpu22: 4327282kHz, cpu23: 4352456kHz, cpu24: 4313673kHz, cpu25: 4305721kHz, cpu26: 4387314kHz, cpu27: 4317064kHz, cpu28: 4335325kHz, cpu29: 4323178kHz, cpu3: 4317044kHz, cpu30: 4317058kHz, cpu31: 4336651kHz, cpu4: 4322079kHz, cpu5: 4310690kHz, cpu6: 4310682kHz, cpu7: 4323185kHz, cpu8: 4323191kHz, cpu9: 4318732kHz, 
Sample #6, Timestamp: 1748102169, CPU_Temperature: 60°C, cpu0: 4339261kHz, cpu1: 4339264kHz, cpu10: 4329409kHz, cpu11: 4310649kHz, cpu12: 4310645kHz, cpu13: 4310646kHz, cpu14: 4342003kHz, cpu15: 4348156kHz, cpu16: 4331621kHz, cpu17: 4399745kHz, cpu18: 4325054kHz, cpu19: 4321362kHz, cpu2: 4317045kHz, cpu20: 4329414kHz, cpu21: 4318578kHz, cpu22: 4352963kHz, cpu23: 4310678kHz, cpu24: 4341990kHz, cpu25: 4329355kHz, cpu26: 4342706kHz, cpu27: 4354987kHz, cpu28: 4348225kHz, cpu29: 4341874kHz, cpu3: 4317042kHz, cpu30: 4346706kHz, cpu31: 4334845kHz, cpu4: 4346045kHz, cpu5: 4310641kHz, cpu6: 4342001kHz, cpu7: 4310620kHz, cpu8: 4346386kHz, cpu9: 4331422kHz, 
Sample #7, Timestamp: 1748102170, CPU_Temperature: 61°C, cpu0: 4326642kHz, cpu1: 4316793kHz, cpu10: 4406324kHz, cpu11: 4319318kHz, cpu12: 4335631kHz, cpu13: 4321336kHz, cpu14: 4314114kHz, cpu15: 4329381kHz, cpu16: 4323140kHz, cpu17: 4341714kHz, cpu18: 4341719kHz, cpu19: 4390670kHz, cpu2: 4323140kHz, cpu20: 4335647kHz, cpu21: 4353197kHz, cpu22: 4337918kHz, cpu23: 4330809kHz, cpu24: 4324839kHz, cpu25: 4348117kHz, cpu26: 4348102kHz, cpu27: 4318908kHz, cpu28: 4318912kHz, cpu29: 4356603kHz, cpu3: 4323141kHz, cpu30: 4342000kHz, cpu31: 4325701kHz, cpu4: 4353410kHz, cpu5: 4332176kHz, cpu6: 4338625kHz, cpu7: 4332764kHz, cpu8: 4323149kHz, cpu9: 4326196kHz, 
Sample #8, Timestamp: 1748102170, CPU_Temperature: 61°C, cpu0: 4321470kHz, cpu1: 4308879kHz, cpu10: 4320257kHz, cpu11: 4317040kHz, cpu12: 4329435kHz, cpu13: 4348148kHz, cpu14: 4316143kHz, cpu15: 4323153kHz, cpu16: 4342018kHz, cpu17: 4354250kHz, cpu18: 4329160kHz, cpu19: 4341998kHz, cpu2: 4329384kHz, cpu20: 4419128kHz, cpu21: 4330660kHz, cpu22: 4310668kHz, cpu23: 4323152kHz, cpu24: 4315380kHz, cpu25: 4317056kHz, cpu26: 4323163kHz, cpu27: 4321016kHz, cpu28: 4330967kHz, cpu29: 4328268kHz, cpu3: 4311752kHz, cpu30: 4310649kHz, cpu31: 4317042kHz, cpu4: 4317040kHz, cpu5: 4326547kHz, cpu6: 4326539kHz, cpu7: 4401791kHz, cpu8: 4401767kHz, cpu9: 4362844kHz, 
Sample #9, Timestamp: 1748102171, CPU_Temperature: 61°C, cpu0: 4318463kHz, cpu1: 4310670kHz, cpu10: 4408286kHz, cpu11: 4323097kHz, cpu12: 4323102kHz, cpu13: 4319864kHz, cpu14: 4341994kHz, cpu15: 4310696kHz, cpu16: 4316877kHz, cpu17: 4316893kHz, cpu18: 4342542kHz, cpu19: 4333720kHz, cpu2: 4340608kHz, cpu20: 4355833kHz, cpu21: 4318440kHz, cpu22: 4310678kHz, cpu23: 4317053kHz, cpu24: 4323180kHz, cpu25: 4320662kHz, cpu26: 4326704kHz, cpu27: 4317060kHz, cpu28: 4354395kHz, cpu29: 4320410kHz, cpu3: 4320584kHz, cpu30: 4320603kHz, cpu31: 4384060kHz, cpu4: 4298128kHz, cpu5: 4310669kHz, cpu6: 4317046kHz, cpu7: 4302257kHz, cpu8: 4342003kHz, cpu9: 4310683kHz, 
Sample #10, Timestamp: 1748102171, CPU_Temperature: 61°C, cpu0: 4304148kHz, cpu1: 4292083kHz, cpu10: 4316859kHz, cpu11: 4304439kHz, cpu12: 4329307kHz, cpu13: 4317050kHz, cpu14: 4323152kHz, cpu15: 4317609kHz, cpu16: 4414516kHz, cpu17: 4332273kHz, cpu18: 4312575kHz, cpu19: 4306528kHz, cpu2: 4355989kHz, cpu20: 4344253kHz, cpu21: 4361712kHz, cpu22: 4361714kHz, cpu23: 4320567kHz, cpu24: 4335629kHz, cpu25: 4363614kHz, cpu26: 4342006kHz, cpu27: 4335593kHz, cpu28: 4332257kHz, cpu29: 4317035kHz, cpu3: 4332169kHz, cpu30: 4329332kHz, cpu31: 4350713kHz, cpu4: 4343106kHz, cpu5: 4317057kHz, cpu6: 4317037kHz, cpu7: 4317042kHz, cpu8: 4350269kHz, cpu9: 4293962kHz, 
Sample #11, Timestamp: 1748102172, CPU_Temperature: 61°C, cpu0: 4384225kHz, cpu1: 4322833kHz, cpu10: 4335426kHz, cpu11: 4304274kHz, cpu12: 4432261kHz, cpu13: 4340642kHz, cpu14: 4296343kHz, cpu15: 4317052kHz, cpu16: 4354342kHz, cpu17: 4352269kHz, cpu18: 4344081kHz, cpu19: 4402927kHz, cpu2: 4356906kHz, cpu20: 4317052kHz, cpu21: 4298177kHz, cpu22: 4317040kHz, cpu23: 4307653kHz, cpu24: 4323011kHz, cpu25: 4323009kHz, cpu26: 4310687kHz, cpu27: 4302023kHz, cpu28: 4325322kHz, cpu29: 4335591kHz, cpu3: 4292094kHz, cpu30: 4286291kHz, cpu31: 4292091kHz, cpu4: 4310628kHz, cpu5: 4317040kHz, cpu6: 4317054kHz, cpu7: 4311383kHz, cpu8: 4311399kHz, cpu9: 4305233kHz, 
